,电影名,上映时间,评分,主演,图片
0,怦然心动,上映时间：2010-07-26(美国),8.9,"
                主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹•奎因
        ",https://p0.meituan.net/movie/15f1ac49b6d1ff7b71207672993ed6901536456.jpg@160w_220h_1e_1c
1,阿甘正传,上映时间：1994-07-06(美国),9.4,"
                主演：汤姆·汉克斯,罗宾·怀特,加里·西尼斯
        ",https://p0.meituan.net/movie/b41795c4a88479137e40ebdc3d7dc040238291.jpg@160w_220h_1e_1c
2,千与千寻,上映时间：2019-06-21,9.3,"
                主演：柊瑠美,周冬雨,入野自由
        ",https://p0.meituan.net/movie/30b20139e68c46d02e0893277d633b701292458.jpg@160w_220h_1e_1c
3,触不可及,上映时间：2011-11-02(法国),9.1,"
                主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼
        ",https://p0.meituan.net/moviemachine/eb5e33480a3d3b0f813673a33eb556381148211.jpg@160w_220h_1e_1c
4,星际穿越,上映时间：2014-11-12,9.3,"
                主演：马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦
        ",https://p0.meituan.net/moviemachine/94138dc0290a74b35786b6e3b8ece8607940668.jpg@160w_220h_1e_1c
5,楚门的世界,上映时间：1998(罗马尼亚),8.9,"
                主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇
        ",https://p0.meituan.net/movie/59c05effc4755c627901fb7e044d071d851055.jpg@160w_220h_1e_1c
6,辛德勒的名单,上映时间：1993-11-30(美国),9.2,"
                主演：连姆·尼森,拉尔夫·费因斯,本·金斯利
        ",https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@160w_220h_1e_1c
7,摔跤吧！爸爸,上映时间：2017-05-05,9.8,"
                主演：阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡
        ",https://p0.meituan.net/movie/aeb864fa21d578d845b9cefc056e40cb2874891.jpg@160w_220h_1e_1c
8,寻梦环游记,上映时间：2017-11-24,9.6,"
                主演：安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔
        ",https://p0.meituan.net/movie/f433a705dd26d96e95ba6582ddccf5ad1159253.jpg@160w_220h_1e_1c
9,少年派的奇幻漂流,上映时间：2012-11-22,9.0,"
                主演：苏拉·沙玛,伊尔凡·可汗,塔布
        ",https://p0.meituan.net/movie/34998e31c6d07475f1add6b8b16fd21d192579.jpg@160w_220h_1e_1c
