,电影名,上映时间,评分,主演,图片
0,天使爱美丽,上映时间：2001-04-25(比利时),8.4,"
                主演：奥黛丽·塔图,马修·卡索维茨,吕菲斯
        ",https://p0.meituan.net/movie/ecb99c1c324d6a50bb6c3303e9d49488216865.jpg@160w_220h_1e_1c
1,飞越疯人院,上映时间：1975-11-19(美国),8.8,"
                主演：杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森
        ",https://p1.meituan.net/movie/757329b238641ca206127656a5f4ec44205272.jpg@160w_220h_1e_1c
2,窃听风暴,上映时间：2006-03-23(德国),9.0,"
                主演：乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克
        ",https://p0.meituan.net/movie/28e51e8dac4bb132a037824227e54df9438711.jpg@160w_220h_1e_1c
3,美国往事,上映时间：2015-04-23,9.1,"
                主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文
        ",https://p1.meituan.net/movie/f86c7056a060f9144272d0ad7352fbd3302202.jpg@160w_220h_1e_1c
4,乱世佳人,上映时间：1939-12-15(美国),9.1,"
                主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰
        ",https://p0.meituan.net/movie/223c3e186db3ab4ea3bb14508c709400427933.jpg@160w_220h_1e_1c
5,大话西游之大圣娶亲,上映时间：2014-10-24,8.8,"
                主演：周星驰,朱茵,莫文蔚
        ",https://p1.meituan.net/moviemachine/508056769092059fe43a611b949f27d14863831.jpg@160w_220h_1e_1c
6,美丽心灵,上映时间：2001-12-13(美国),8.8,"
                主演：罗素·克劳,詹妮弗·康纳利,艾德·哈里斯
        ",https://p0.meituan.net/movie/738840c7fc0d0fa3cd431f57f9d5a195337471.jpg@160w_220h_1e_1c
7,消失的爱人,上映时间：2014-09-26(美国),8.7,"
                主演：本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯
        ",https://p0.meituan.net/movie/6ad00fae7818c87d4f4f623ee8708c421368881.jpg@160w_220h_1e_1c
8,一一,上映时间：2017-07-28(中国台湾),8.9,"
                主演：吴念真,金燕玲,李凯莉
        ",https://p0.meituan.net/movie/6cb23356f9d8e0b506349561c633310d102189.jpg@160w_220h_1e_1c
9,罗马假日,上映时间：1953-08-20(意大利),9.1,"
                主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特
        ",https://p0.meituan.net/movie/289f98ceaa8a0ae737d3dc01cd05ab052213631.jpg@160w_220h_1e_1c
