,电影名,上映时间,评分,主演,图片
0,死亡诗社,上映时间：1989-06-02(加拿大),8.7,"
                主演：罗宾·威廉姆斯,伊桑·霍克,柯特伍德·史密斯
        ",https://p1.meituan.net/movie/9cf8e45d467cc4da1f7e42f2678219ed129962.jpg@160w_220h_1e_1c
1,闻香识女人,上映时间：1992-12-23(美国),8.8,"
                主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔
        ",https://p1.meituan.net/movie/8d7b0b902afd4ec1a3dd7a9c6149463c187734.jpg@160w_220h_1e_1c
2,疯狂动物城,上映时间：2016-03-04,9.5,"
                主演：金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴
        ",https://p0.meituan.net/moviemachine/92a2d32c3ccfd7f54111b6ae7ff85267256782.webp@160w_220h_1e_1c
3,末代皇帝,上映时间：1987-10-04(日本),8.8,"
                主演：尊龙,陈冲,彼得·奥图尔
        ",https://p0.meituan.net/moviemachine/081194992e014d3d7ff17aa7d0598179919881.jpg@160w_220h_1e_1c
4,西西里的美丽传说,上映时间：2000-10-26(意大利),8.2,"
                主演：莫妮卡·安娜·玛丽亚·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳
        ",https://p0.meituan.net/movie/3d5db7fcda3d9f9df772fca36145c35483938.jpg@160w_220h_1e_1c
5,让子弹飞,上映时间：2010-12-16,8.5,"
                主演：姜文,周润发,葛优
        ",https://p0.meituan.net/movie/3ae02de0ce5504f12cb798b9d4ad0f07371622.jpg@160w_220h_1e_1c
6,本杰明·巴顿奇事,上映时间：2008-12-25(美国),8.8,"
                主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森
        ",https://p0.meituan.net/movie/15983d78f1450ac2c73a7d4417536714337582.jpg@160w_220h_1e_1c
7,阿凡达,上映时间：2010-01-04,9.4,"
                主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹
        ",https://p1.meituan.net/moviemachine/f7086730608eb956c7c27e9eb3b5cc415439205.jpg@160w_220h_1e_1c
8,搏击俱乐部,上映时间：1999-09-10(意大利),8.8,"
                主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特
        ",https://p0.meituan.net/movie/b3defc07dfaa1b6f5b74852ce38a3f8f242792.jpg@160w_220h_1e_1c
9,飞屋环游记,上映时间：2009-08-04,8.9,"
                主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森
        ",https://p0.meituan.net/movie/32ae5d0f25996ec169def65459a0f52f386220.jpg@160w_220h_1e_1c
