,电影名,上映时间,评分,主演,图片
0,蝴蝶效应,上映时间：2004-01-23(美国),8.7,"
                主演：约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特
        ",https://p0.meituan.net/movie/eec5ce0066f81a649c4f7d2ffd353f22272301.jpg@160w_220h_1e_1c
1,心灵奇旅,上映时间：2020-12-25,9.3,"
                主演：杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德
        ",https://p0.meituan.net/moviemachine/38cdf0810cad207ef0917abe4fa1e3ef5788447.jpg@160w_220h_1e_1c
2,布达佩斯大饭店,上映时间：2014-06-14,8.7,"
                主演：拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南
        ",https://p0.meituan.net/movie/b6167a97f67993bfef5053f7c78cfdc81986322.jpg@160w_220h_1e_1c
3,低俗小说,上映时间：1994-05-21(法国),8.7,"
                主演：约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊
        ",https://p0.meituan.net/movie/621a8ea3736dfd97ca9cc05698d9bb71330853.jpg@160w_220h_1e_1c
4,海边的曼彻斯特,上映时间：2017-08-25,8.8,"
                主演：卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯
        ",https://p0.meituan.net/movie/14dce6c3d296dd12a1d0841def25162b321241.jpg@160w_220h_1e_1c
5,爱在黎明破晓前,上映时间：1995-01-27(美国),8.7,"
                主演：伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特
        ",https://p0.meituan.net/movie/32958f447a4319a9483c300b2b4e1adc375046.jpg@160w_220h_1e_1c
6,七宗罪,上映时间：1995-09-22(美国),8.7,"
                主演：布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛
        ",https://p0.meituan.net/movie/2e43117ed0e932e71c0e52d7e88588df330131.jpg@160w_220h_1e_1c
7,菊次郎的夏天,上映时间：2020-09-25,8.8,"
                主演：北野武,关口雄介,岸本 加世子
        ",https://p0.meituan.net/movie/0bd752877b95b8eac2d0704c783f372c4625354.jpg@160w_220h_1e_1c
8,超脱,上映时间：2011-04-25(美国),8.7,"
                主演：艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩
        ",https://p1.meituan.net/movie/73c84696b0795c8d0c736857ebac8e951698003.jpg@160w_220h_1e_1c
9,海蒂和爷爷,上映时间：2019-05-16,9.5,"
                主演：阿努克·斯特芬,布鲁诺·甘茨,昆林·艾格匹
        ",https://p0.meituan.net/movie/f2a32a5369a76ee11ee37947a0003254629750.jpg@160w_220h_1e_1c
