,电影名,上映时间,评分,主演,图片
0,何以为家,上映时间：2019-04-29,9.3,"
                主演：赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔
        ",https://p1.meituan.net/movie/d28b729ffe72353a72d1e7ef8a9b90591544978.jpg@160w_220h_1e_1c
1,小丑,上映时间：2019-10-04(美国),8.6,"
                主演：华金·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温
        ",https://p0.meituan.net/moviemachine/7707dc3478f9ab26871688f4964ae45d6672925.jpg@160w_220h_1e_1c
2,忠犬八公的故事,上映时间：2009-06-13(美国),9.3,"
                主演：Forest,理查·基尔,琼·艾伦
        ",https://p0.meituan.net/movie/04263651e43c11ce538b180988ff0a5e231189.jpg@160w_220h_1e_1c
3,情书,上映时间：1999-03-01,8.7,"
                主演：中山美穗,丰川悦司,范文雀
        ",https://p0.meituan.net/moviemachine/8503c98fa2a02df648f6a59448c4c99078837.jpg@160w_220h_1e_1c
4,泰坦尼克号,上映时间：1998-04-03,9.4,"
                主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩
        ",https://p0.meituan.net/moviemachine/e7dd6b1f77fba08c1f20a3b20b156621642576.jpg@160w_220h_1e_1c
5,当幸福来敲门,上映时间：2008-01-17,9.3,"
                主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿
        ",https://p0.meituan.net/moviemachine/e5daa8748733820faab91102bd0bc4507730353.jpg@160w_220h_1e_1c
6,三傻大闹宝莱坞,上映时间：2011-12-08,9.1,"
                主演：阿米尔·汗,黄渤,卡琳娜·卡普
        ",https://p1.meituan.net/movie/ca4a128a5a54d5b5e35ceba622636c831810197.jpg@160w_220h_1e_1c
7,龙猫,上映时间：2018-12-14,9.2,"
                主演：秦岚,糸井重里,岛本须美
        ",https://p0.meituan.net/movie/c304c687e287c7c2f9e22cf78257872d277201.jpg@160w_220h_1e_1c
8,放牛班的春天,上映时间：2004-10-16,8.8,"
                主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔
        ",https://p0.meituan.net/movie/70de97ebb6b5251ecb7c3f6d7a782a7f189340.jpg@160w_220h_1e_1c
9,熔炉,上映时间：2011-09-22(韩国),8.8,"
                主演：孔刘,郑有美,金智英
        ",https://p1.meituan.net/movie/2a0783b4fd95566568f24adfad2181bb5392280.jpg@160w_220h_1e_1c
