,电影名,上映时间,评分,主演,图片
0,釜山行,上映时间：2016-05-13(法国),8.9,"
                主演：孔刘,郑有美,马东锡
        ",https://p0.meituan.net/movie/13cc737c14e76278db116cf9210f697a371891.jpg@160w_220h_1e_1c
1,春光乍泄,上映时间：1997-05-30(中国香港),9.2,"
                主演：张国荣,梁朝伟,张震
        ",https://p0.meituan.net/moviemachine/cd1906f2ec6a137a5902bfbcbbd5bafd1635014.jpg@160w_220h_1e_1c
2,无间道,上映时间：2003-09-05,9.1,"
                主演：刘德华,梁朝伟,黄秋生
        ",https://p0.meituan.net/movie/606de8f394d40dbcbb9b87943fec71a2130408.jpg@160w_220h_1e_1c
3,爱在日落黄昏时,上映时间：2015-04-20,8.7,"
                主演：伊桑·霍克,朱莉·德尔佩,弗农·多布切夫
        ",https://p1.meituan.net/movie/20b81c48788d6f73a07fec370baabad4103840.jpg@160w_220h_1e_1c
4,剪刀手爱德华,上映时间：1990-12-06(美国),8.8,"
                主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·威斯特
        ",https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@160w_220h_1e_1c
5,辩护人,上映时间：2013-12-18(韩国),8.8,"
                主演：宋康昊,郭度沅,吴达洙
        ",https://p1.meituan.net/movie/389058d95ea9e464d695cd1a8c7e285f440657.jpg@160w_220h_1e_1c
6,心灵捕手,上映时间：1997-12-05(美国),8.4,"
                主演：罗宾·威廉姆斯,马特·达蒙,明妮·德里弗
        ",https://p1.meituan.net/movie/76476c7f8c6de60df8da6efae60c3542399799.jpg@160w_220h_1e_1c
7,穿条纹睡衣的男孩,上映时间：2008-08-28(英国),9.0,"
                主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯
        ",https://p1.meituan.net/movie/d5970e36c8868a4b746c80f3b3f8a404174615.jpg@160w_220h_1e_1c
8,波西米亚狂想曲,上映时间：2019-03-22,9.4,"
                主演：拉米·马雷克,本·哈迪,约瑟夫•梅泽罗
        ",https://p1.meituan.net/movie/d94e5c3054778f6f48bff3a813b0b7cd5300998.jpg@160w_220h_1e_1c
9,重庆森林,上映时间：1994-07-14(中国香港),8.6,"
                主演：梁朝伟,王菲,金城武
        ",https://p0.meituan.net/movie/f5c02860c864f7375fe2c6237fc1deaf215307.jpg@160w_220h_1e_1c
