,电影名,上映时间,评分,主演,图片
0,真爱至上,上映时间：2003-11-21(英国),8.6,"
                主演：休·格兰特,比尔·奈伊,连姆·尼森
        ",https://p1.meituan.net/movie/11d86a5c644840374c7860f98ef19183264645.jpg@160w_220h_1e_1c
1,奇迹男孩,上映时间：2018-01-19,9.2,"
                主演：雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊
        ",https://p0.meituan.net/movie/e5e49dad53d8cfba7316d486e799345c395906.jpg@160w_220h_1e_1c
2,1917,上映时间：2020-08-07,8.6,"
                主演：乔治·麦凯,迪恩·查尔斯·查普曼,马克·斯特朗
        ",https://p1.meituan.net/movie/48942d3afc4241455e7057427dcb16d62460030.jpg@160w_220h_1e_1c
3,蜘蛛侠：平行宇宙,上映时间：2018-12-21,8.8,"
                主演：沙梅克·摩尔,彭昱畅,杰克·M·约翰森
        ",https://p0.meituan.net/movie/ca9cfca03292e207ceea03904d2c02e61096852.jpg@160w_220h_1e_1c
4,大鱼,上映时间：2003-12-04(美国),8.6,"
                主演：伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格
        ",https://p0.meituan.net/movie/0b1474181d53a328c2e87d018fa088b9241815.jpg@160w_220h_1e_1c
5,致命魔术,上映时间：2006-10-17(意大利),8.8,"
                主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩
        ",https://p1.meituan.net/movie/ef83b1e2ef6fa1e6f736521a356b829a334336.jpg@160w_220h_1e_1c
6,猫鼠游戏,上映时间：2003-04-11,8.6,"
                主演：莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯
        ",https://p0.meituan.net/movie/8834e6905cba927646661ed25e9c95d1136086.jpg@160w_220h_1e_1c
7,饮食男女,上映时间：1994-08-03(美国),8.8,"
                主演：郎雄,吴倩莲,杨贵媚
        ",https://p1.meituan.net/movie/8d54378f5aa5891b27da166063fe5efe793583.jpg@160w_220h_1e_1c
8,模仿游戏,上映时间：2015-07-21,9.3,"
                主演：本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪
        ",https://p0.meituan.net/moviemachine/8265143afdbafba9d3ad7993bc3472e4508519.jpg@160w_220h_1e_1c
9,钢琴家,上映时间：2002-05-24(法国),8.9,"
                主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基
        ",https://p0.meituan.net/movie/389d81144eab106ac08c870bb4e366be547402.jpg@160w_220h_1e_1c
