,电影名,上映时间,评分,主演,图片
0,教父,上映时间：2015-04-18,9.3,"
                主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩
        ",https://p0.meituan.net/movie/1199dc6273680f175fd9b06c9c36d08a219658.jpg@160w_220h_1e_1c
1,看不见的客人,上映时间：2017-09-15,9.4,"
                主演：马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多
        ",https://p0.meituan.net/movie/f8f6b8a6158a1a3d2f2ec8a8f024eef5306692.jpg@160w_220h_1e_1c
2,头号玩家,上映时间：2018-03-30,9.0,"
                主演：泰伊·谢里丹,奥利维亚·库克,本·门德尔森
        ",https://p0.meituan.net/movie/52c8c57caeeaacbeaa3d54eec62023fd483970.jpg@160w_220h_1e_1c
3,被嫌弃的松子的一生,上映时间：2006-05-27(日本),8.5,"
                主演：中谷美纪,永山瑛太,伊势谷友介
        ",https://p0.meituan.net/movie/5b36b3c840e26e50aa65ea0c164c9903599336.jpg@160w_220h_1e_1c
4,三块广告牌,上映时间：2018-03-02,8.6,"
                主演：弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔
        ",https://p1.meituan.net/movie/34d2efaebaa65c92f75ff719314b3015144837.jpg@160w_220h_1e_1c
5,活着,上映时间：1994-05-17(法国),9.0,"
                主演：葛优,巩俐,牛犇
        ",https://p0.meituan.net/movie/8609f509a07d64da4c8bdc58db7a440a369264.jpg@160w_220h_1e_1c
6,天堂电影院,上映时间：1988-09-29(意大利),9.2,"
                主演：菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托
        ",https://p0.meituan.net/movie/76fc92cfa6c8f2959431b8aa604ef7ae126414.jpg@160w_220h_1e_1c
7,复仇者联盟4：终局之战,上映时间：2019-04-24,9.1,"
                主演：小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛
        ",https://p1.meituan.net/moviemachine/eb3656da174dd67880dc465671d77a9a5982174.jpg@160w_220h_1e_1c
8,请以你的名字呼唤我,上映时间：2017-01-22(美国),8.0,"
                主演：提莫西·查拉梅,艾米·汉莫,迈克尔·斯图巴
        ",https://p1.meituan.net/movie/0da7ffae67afeb5c63bd2d73efbe664c283994.jpg@160w_220h_1e_1c
9,机器人总动员,上映时间：2008-06-27(美国),9.3,"
                主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林
        ",https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg@160w_220h_1e_1c
