,电影名,上映时间,评分,主演,图片
0,素媛,上映时间：2013-10-02(韩国),9.1,"
                主演：李甄,薛耿求,严智苑
        ",https://p0.meituan.net/movie/19653e8af59cf473cd40f9ccc0658d93692304.jpg@160w_220h_1e_1c
1,天空之城,上映时间：1992-05-01,9.0,"
                主演：寺田农,鹫尾真知子,龟山助清
        ",https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@160w_220h_1e_1c
2,断背山,上映时间：2005-09-02(意大利),8.9,"
                主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯
        ",https://p1.meituan.net/movie/686c2de9e4f416e592d09cb62b32f274390992.jpg@160w_220h_1e_1c
3,控方证人,上映时间：1957-12-17(美国),8.5,"
                主演：泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿
        ",https://p0.meituan.net/movie/7d94792dee7ac5964bbcbcd676a98081261728.jpg@160w_220h_1e_1c
4,蝙蝠侠：黑暗骑士,上映时间：2008-07-14(阿根廷),9.3,"
                主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特
        ",https://p0.meituan.net/movie/09658109acfea0e248a63932337d8e6a4268980.jpg@160w_220h_1e_1c
5,两杆大烟枪,上映时间：1998-08-28(英国),8.7,"
                主演：杰森·弗莱明,德克斯特·弗莱彻,杰森•斯坦森
        ",https://p0.meituan.net/movie/632e8039ca28809a6ab9d72673f388f3113539.jpg@160w_220h_1e_1c
6,网络谜踪,上映时间：2018-12-14,8.6,"
                主演：约翰·赵,米切尔·拉,黛博拉·梅辛
        ",https://p0.meituan.net/movie/36db8e805a15cc0475ebe3f0c9b56c9e782659.jpg@160w_220h_1e_1c
7,十二怒汉,上映时间：1957-04-13(美国),9.1,"
                主演：亨利·方达,李·科布,马丁·鲍尔萨姆
        ",https://p1.meituan.net/movie/961036f05fdfdd68fecb70fa0c579ca0238954.jpg@160w_220h_1e_1c
8,血战钢锯岭,上映时间：2016-12-08,9.3,"
                主演：安德鲁·加菲尔德,雨果·维文,卢克·布雷西
        ",https://p1.meituan.net/movie/611821c86367c6d9d0d663047407df59654543.jpg@160w_220h_1e_1c
9,时空恋旅人,上映时间：2013-09-04(英国),8.9,"
                主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊
        ",https://p0.meituan.net/movie/55d9fcd5bc528636070c0307bac17037405534.jpg@160w_220h_1e_1c
