用户,是否看过,评分,评论时间,有用数,评论
荞麦,看过,还行,2015-12-23 11:38:01,22,除了吓唬恐高症患者，还能搞点别的吗？特效不是技术好就行，特效最重要是想象力吧。什么也没有，就大山洞和窄栈桥，没个屁意思。你敢不敢搞点想象力出来给我看看什么叫连通生死的彼岸花而不是就给我看一朵石蒜啊？！！
雨果,看过,推荐,2016-12-05 11:29:13,25,为了扩大目标观影人群，弱化剧情，强化视效，但作为商业大片来说是不错的。其他没有特别突出的亮点，剧情平铺直叙，纽约那段太长又无聊。但是，垃圾国产片能做到这个程度都算良心了，给4星！
小海,看过,力荐,2015-12-20 21:49:38,72,我想起霍比特人上映时乌尔善说他一生能拍出一部这样的电影就满足了，又想起更久以前乌尔善曾说他一生最爱魔戒，最崇拜彼得·杰克逊。今日不带任何主观成见和有色眼镜的看过，说实话，作为一个魔戒死忠，我认为这部片已经超越了霍比特人，从这一点上来说，做人还是有点追求来的好。
后天的雨,看过,推荐,2016-11-08 23:30:55,30,盗墓类电影目前最好的作品吧，坤哥即使胡子拉碴都美颜盛世！夏雨的金牙最最好了特别合适！ab也算不违和吧，倒是舒淇的台湾腔跟其他人一对比让我有点出戏
陀螺凡达可,看过,还行,2016-02-09 06:23:14,21,技术层面算是达标了，但剧作剪辑和导演还是堪忧，节奏感太差了。
北山公园,看过,推荐,2016-10-31 10:09:41,32,陈坤颜值永远在线，黄渤适合演这种人物，夏雨演得最好，没有之前其他角色的影子，估计AB只适合演花瓶类的角色。没看过原著。
左胸上的吸盘,看过,较差,2016-01-23 03:06:33,20,这片子能代表个鸡巴的工业水平？体现在哪了？舒淇的口音恶心死，夏雨这是演儿童剧的水准，其他人没突破，黄渤还是傻愣直男，陈坤还是高冷牛郎，其他配角完全是演戏曲的做作态度。故事是胡编乱造的故事会，观众这么好糊弄只能说明搞邪教在中国大有市场——这么多说啥信啥的臭傻逼，你不把他们骗死能行？
羚羊的灵魂,看过,推荐,2015-12-13 14:37:12,59,国产电影拍的最有国际大片范儿的一次  但绝对不只有特效
易老邪,看过,较差,2016-02-23 23:42:51,21,可以负责任地说一句：给这片好评和打3星以上的影评人，百分百都是拿了钱的。
朝暮雪,看过,还行,2015-12-17 17:32:43,29,黄渤这么瘦去演胖子，让我们情何以堪？
csjhzyl9,看过,还行,2015-12-17 21:25:38,15,确实是部值得一看的摸金奇幻探险片，把鬼子地下工事、尸香魔芋和南海归墟海下海结合一下，再凑点爱情元素，只是原著迷慎入原著迷慎入原著迷慎入[微笑]几乎满场，大家看的开心就好[微笑]原来胡八一分金定穴只能靠罗盘，王凯旋只是个满嘴京片子的糙人，Shirley杨上的了男人说的了不吃兔兔[微笑]
Billy,看过,较差,2015-12-18 12:55:25,22,因为《九层妖塔》的失败，我看了寻龙诀的首映。挺失望，五十步笑百步。吃原著的老本。人物站不住脚。同是探墓题材，不仅要与《木乃伊》比较…路还很长。 黄渤意外的成功啊～一颗星给砸了那么多钱的特效，一颗星给黄渤。
小七,看过,力荐,2015-12-18 09:26:52,98,今年看的最好的国产片 感觉都不是画皮那个导演拍的 虽然一直没看过他之前拍的电影！
袁萍,看过,还行,2017-01-02 22:33:30,23,好吧~爱着小丁的王凯旋和爱着小丁凯旋的胡八一
Chloe,看过,力荐,2018-01-08 00:33:11,69,中国电影都是这个水准就好了，第一次且唯一一次5刷，表白陈坤
风间隼,看过,还行,2015-12-20 18:11:13,13,没有社会主义时代的质感，也没有历史的质感，乌尔善发挥了他擅长的视觉设计，把古墓做成了声光电化俱全的现代游乐场，然后借口“幻觉”一笔带过。娱乐指数颇高，颜卓灵的冷面女打手出彩。
[已注销],看过,很差,2015-12-18 15:49:17,221,这个片的最终票房应该能反映出中国观众的整体素质，我拭目以待
Ata喜欢斯通纳,看过,推荐,2015-12-18 11:41:29,27,国产片的木乃伊、夺宝奇兵。剧情流畅特效不错，演员们除了某小姐之外都很到位，舒淇的造型就是个劳拉。反派较傻。虽然最后一切都是幻觉但前面的部分淡化了了这个点的讨厌感。
秋天凉,看过,很差,2015-12-13 22:06:10,425,烂的不行
肉嘟嘟啊肉,看过,推荐,2016-12-04 20:26:39,22,"久仰大名啊，看了之后总体还是不错的啊 ，剧情一套套的下来，总算也是有一点点盗墓的感觉啊，特效呢也挺惊喜的，“看到的东西不是眼睛决定,是脑子决定的”"
meyean,看过,推荐,2015-12-13 23:49:10,23,有我大盛世美颜和淇宝在就是年度最期待的华语片了，视效上也真是秒了另外那部一万条街了。
赤练的老公,看过,推荐,2017-12-23 17:01:30,59,还可以，电影的剧情，打戏，特效各方面都挺好的。夏雨真的演的挺棒的。
请保持高冷,看过,推荐,2017-04-29 23:31:21,10,"电影有血有肉有筋骨。
丰满的人物形象让人印象深刻。"
李不知道什么,看过,推荐,2015-12-19 20:08:38,22,我们到底是在极乐世界，还是在阴曹地府。
你爹语重心长,看过,推荐,2015-12-29 19:42:49,7,还是不错的，选角合理，编剧用心，特效给力，没有硬伤，除了日本小妞，其他不出戏。
炫3D,看过,还行,2017-03-20 13:24:40,8,比九层妖塔好看，起码鬼吹灯的经典特色还能看到。
如错看了都好-,看过,推荐,2017-04-11 22:46:55,8,这应该是我看过的国内目前最好的盗墓题材电影了。称得上整容般演技的渤哥没令人失望过 舒淇不需要演 韵味就在那里～
别人老公,看过,还行,2017-03-02 19:16:17,10,坐在第一排看imax，吓破了胆，男的baby演技在线
铃儿响叮当,看过,还行,2017-01-19 19:12:06,7,想看更恢宏的场景，电影时间有限，总是看不过瘾，总体还行吧
榴莲妹,看过,推荐,2017-05-11 08:47:28,10,"紧扣“盗墓”主题，大部分都还原了。
在故事推动上有些生硬，主线情节的情感推动没什么感觉。美术设计和人物造型无可挑剔"
伊卡洛斯,看过,较差,2016-01-18 09:33:13,5,皮革业：表面是商业大片，感觉背地里藏着很险的棋，主线为什么设置在1969的20年后，反派为什么是80年代符号的刘晓庆，而击碎麦格芬彼岸花的最大法宝又为什么是反转的主席像？这些问题都值得呵呵一下。
小米=qdmimi,看过,较差,2017-02-10 01:32:39,4,事实上是这个题材TMD根本就拍不出克苏鲁感觉，原著就没找着感觉，不过看字YY还好，弄出影像就完钱了。反转主席像这个梗大了……
苏幼,看过,还行,2017-03-28 07:17:35,8,挺好的，比盗墓笔记好看点
琧婯,看过,很差,2016-02-06 11:34:37,4,这种想象力微薄的五毛特效还好意思代表工业水准？故事情节人物逻辑纯粹的垃圾，还好没去影院看，跟这片一比，九层妖塔至少有想法有逻辑，结果评价那么低实在太冤枉了。
過期貓糧,看过,还行,2016-01-13 10:06:46,11,水手服一点都不美少女，看了想揍她。
GIVIND,看过,推荐,2015-12-18 15:30:08,12,非常还原原著小说的场景，胡八一的痞气和王胖子的血性都神还原，舒淇演Shirley杨也很适合！就是AB真的容易跳戏，夏雨同学是不是话有点忒多了哈哈哈不过这么卖力演出也给赞了！对比前两部烂片三星半升级为四星！
壳子,看过,推荐,2017-02-07 20:21:43,13,不错的 陈坤真不是盖的 这次ab竟然也没让我觉得那么出戏
方悄悄,看过,推荐,2016-01-09 00:50:43,14,安琪啦北鼻这个脸啊……是清纯范却连一丝丝的纯真都表现不出来。
本味何知,看过,推荐,2017-01-30 00:07:35,4,不错的类型化冒险片。问题：红卫兵群象依旧脸谱化，破四旧原本跟文物就没关系，即使搅浑水的干部子弟或真极左分子也应活跃于初期，69年九大后的知青没那么闲，仅主角三人团能真正反映当年面貌。亮点：其他人提到过的，80代末，危机幕后的反毛图章，主角的警惕，基本是在明喻某次风波前后的极右狂潮了。
尽欢,看过,推荐,2018-03-15 09:17:15,11,电影很好看，陈坤舒淇很美，黄渤很有魅力。
