用户,是否看过,评分,评论时间,有用数,评论
缪唯璟,看过,2018-04-27 02:49:14, ,2136,所以说办公室恋情会坏事…本来都翻盘了的…
Blacksheepist,看过,力荐,2018-04-25 20:50:35,3525,居然没有让Samuel Jackson说完Motherfucker就让他领饭盒了！！
大奇特(Grinch),看过,较差,2018-05-02 15:56:48,761,一向不喜复联系列，像肥皂剧拍到季终。有罗素兄弟加持，至少不是混乱爆米花。不过这集只是赋予一层假惺惺的悲壮，下集还要逆转。团队角色依旧走马灯，多数沦为跳梁小丑，甚至背离初衷的性格。可喜的是灭霸被塑造成有血有肉的灵魂角色，用的是“天之道，损有余而补不足”的道理，最后还能做到清净无为。
L'automne,看过,还行,2018-04-25 23:26:17,1895,结局简直丧出天际！灭霸竟然有内心戏！全程下来美队和钢铁侠也没见上一面，我还以为在世界末日前必然要重修旧好了！
影志,看过,推荐,2018-05-04 23:20:20,460,过于悲壮的一部，但依旧膜拜在漫威的10年聚力…我们还有多少可以失去？
全声波频道D,看过,较差,2018-04-26 05:19:39,639,从无特效无颜色的片尾字幕能看出它很努力地让你感受“悲壮”的上坟气氛，但是仍然阻挡不了几乎满场情况下多数人在这时发出爆笑。几场战斗看似宏大实际无限自嗨，作为连续剧的高潮情节性为0可以理解，最后剩下的就是崩塌的动作剪辑和来自淫威和绿巨人一点都不好笑的笑话了。
焚紙樓,看过,较差,2018-04-25 23:27:33,470,復仇者覺得地球碰上霉運，我倒覺得是薩諾斯矇中了好運──試想，如果洛基不偷方塊，方塊留在阿斯加，薩諾斯和泰坦族即便本事通天，又焉能在場地Buff下火力無限血條無限的奧丁家長女面前奪寶？怕不是一進神域就被扒了手套暨頭皮。你大姐還是你大姐，就算戲約不在依舊能刷存在感阿。
私~川流,看过,力荐,2018-04-25 15:42:32,2144,大荧幕上曾经有这样一个传统，叫做“主角光环”。今日今时，感谢这一传统的消忘，以及反派的去脸谱化，将超英类型片带入新的维度与高度。本片可贵，乃Marvel破局之作。//两米高的幻视像小可怜一样，看得我好心动。//ps：片尾有一个预告彩蛋。
Noodles,看过,力荐,2018-04-26 05:49:55,1628,复联三内地5.11上映，北美4.27。如果美队死了，我连头七都赶不上。
FISH,看过,很差,2018-04-12 12:11:54,1291,众英雄靠什么打败灭霸？集体尬舞
