用户,是否看过,评分,评论时间,有用数,评论
最皮的狗子,看过,还行,2018-01-04 22:52:11,64,商业电影是不用讨好影评人的，评分也没法左右票房，这就是一部非常成功的商业电影。在这个元旦档期，荣幸之至见证了两种成功，一种是艺术电影的成功，一种是国产商业IP的成功。毫无疑问，前任的票房一定会超过芳华，芳华的评分一定会盖过前任，但他们都完成了自己的使命，最后赢家是华谊兄弟。
what'swilliam,看过,还行,2018-01-03 00:22:37,85,3.4星。竟然是元旦最佳？1.韩庚瘦了。2.那个叫韩庚大叔的妹子，低配陈意涵高配蔡明，你是70后吧？3.一开始都在等谁先开口，后来都在等谁先放手。4.有时候两个人在一起不是因为相爱，而是因为寂寞。5.孙悟空和吃芒果那段矫情但算高招儿。6.那些说看完嚎啕大哭的，你们的泪点。。。在脚后跟吧。。
喻阿丁,看过,较差,2018-01-01 20:43:43,1843,有空吃芒果和在广场上发疯，不如当面好好花时间谈谈和好或是分手。
亵渎电影,看过,较差,2018-01-01 23:35:15,590,MV式的审美，意淫式的故事，作出来的分手，这种戏剧冲突的设定就是奔着最终的分手而去的，喜欢现在的结尾，可惜人物成长有点弱，不过回过头来从后往前推，即使价值观很土，至少和矫情犯蠢的第一部相比，它的故事已经算是那么回事了。
刘十九,看过,很差,2017-12-29 00:02:20,1913,看编剧和演员们拍都市男女，很有一种庄稼人幻想皇帝挑菜用金扁担的荒诞感。没有生活还硬要胡编，傲慢又愚蠢。而且韩庚还第二次糟蹋了至尊宝，第二次了！
肖恩恩恩恩肖,看过,还行,2018-01-07 22:43:34,49,进度条前75%堪称系列最佳，荤段子行云流水，一气呵成，居然还都是能播的水平。后面25%就胡来了。直男癌是有一点，但真不严重，女性角色都有独立事业，男性角色也被虐的挺惨。其实三个女性角色写的都不错的，可惜找的女演员太整形脸太缺灵气，硬生生演出廉价感。
社会桃儿,看过,较差,2017-12-26 22:40:00,757,被这片的直男癌气息恶心透了，尤其是前半段。男人怎么玩都行，女人就得伤心苦逼，去散心也是因为觉得自己作，回来了继续服务男人，女人生来就是为了奶男人的。可去tm的吧。那盗版陈意涵太可笑了。韩庚演技挺好，特别是耍贱的时候
二月鸟语,看过,还行,2017-12-29 22:13:45,43,应该是三部曲里剧本最好的一部了。其实算是一部成长电影，经过前两部的探索，性喜剧的结构和桥段也日渐成熟，性喜剧的多种表现形式之一，对不少欧美性喜剧元素处理的也蛮舒服，这个方向挺好。相比前两部，这部最大优势在剧作的完整度，但问题依然在演员表演和台词，以及剧集化的场面调度上。
小痕呀,看过,还行,2018-04-04 22:12:40,18,主题曲和插曲太太太火了，走在街上，循环播放，一条街下来，我这种不关心流行文化的人都能哼上几句了。。。。。芒果梗那里很感动，也为他们的爱情惋惜，爱情啊，沟通少了，理解也就少了，猜测多了，人心也变了。
人间洗具,看过,较差,2017-12-27 22:33:49,534,本来贫嘴的部分挺喜欢的，但是马猴？那句“还有很多姑娘，没用过的，干净”恶心到我。唧唧歪歪的感情戏不喜欢，男一女一别扭死了，男二女二欢喜冤家很逗。叫韩庚大叔的女演员虽然身材蛮好，但是脸完全不像能叫他大叔的年纪···场里的人大多笑得很欢，但是这种成人向的电影带小孩来看的家长是怎么想的
瓦瓦,看过,还行,2017-12-30 17:54:44,114,什么人都能演电影为什么还没人找我演电影系列
华盛顿樱桃树,看过,较差,2017-12-26 00:48:08,333,这有什么可拍到3的，也是执念。不过这么荤的故事在市场环境下创作出来很是不易。但女演员一水的的整容脸是怎么回事，女主简直是杨天宝+宋茜+杨子姗+熊黛林：）
闲人,看过,较差,2017-12-26 21:40:39,325,段子戏就好好讲段子，聊什么感情，脏！另外编剧你解释一下作为一个爱情喜剧，全剧的剧作力量奔着俩人和好发力，你结尾突然告诉观众他俩分手？你是在糊弄谁呢？田羽生这辈子的极限也就是前任1了，那部戏好就好在不想讲故事，老老实实聊段子。
齐木楠雄,看过,推荐,2018-03-07 23:22:33,25,看完以后还哭了好久，想起来那些被我拉黑的前男友们以及分手时候的各种纠结痛苦，但是并不后悔，跟前任牵扯不清是对现任的不公平，各自安好就是最好的结局了
狂抽猛送三千下,看过,较差,2018-01-04 18:52:03,221,你们知道这片子牛逼在哪么？这片子的推广太牛逼了，头条，抖音，快手，各种app，各种吃瓜群众莫名其妙的推波助澜，说实话，像我这种单细胞性格的人八辈子也不会看这种类型的电影，但我也被吸引了，这种烂片能吸引到我，这波推广，牛逼！
黄悦_,看过,很差,2017-12-29 10:30:05,1202,想走欧美性喜剧的套路 可惜我国国情不让你太露 想走颜值风 然而真的get不到韩庚的帅点 那个什么”喝多了就美了”的表情特不好看 觉得在大屏幕上放大了脸就更加凸显他五官的粗糙。电影主旨明明心里有人还要开始新恋情的渣男行为更加不能忍 某些关于钱的鸡汤更是恶心 幸好这个系列终于还是要完结了。
丁小云,看过,还行,2017-12-29 19:52:50,39,和《前任2》相比，笑点差了太多了，笑点太生硬了。看到一半都有点看不下去了。但结局的泪点设计得还可以。看来编剧，哪怕是喜剧编剧，就得够狠，让有情人硬生生地分开……
小川叔,看过,力荐,2017-12-30 17:09:10,500,所以如果不是抱着，为啥这么烂的组合，票房这么吊的疑问，我都不会来看，影片的第一段分手那段强撑，特别像自己当年分手的时候。中间虽然有一阶段是在说教，有一阶段的反复略微有些看不下去，但是还是在结尾男主扮演至尊宝说我爱你！女主吃芒果大过敏的时候中招，那个主题曲实在是太好听
BOSS米我要,看过,推荐,2018-01-06 14:07:09,37,我笑点低，前半段确实能让我笑到眼泪都掉下来，但后半段负责催泪的部分我却全程免疫了。。。在射手座的字典里，并没有死撑也不主动的经历，所以不懂他俩矜持墨迹个什么劲儿。
刘康康,看过,还行,2018-01-07 22:57:40,17,就真的是，不差啊……从类型上讲，性喜剧是中国特别缺乏但需求量其实很大的一种待开发类型（去年的《情圣》、今年的《前任3》）；从剧作上讲，佩服这个编剧挺有生活阅历的，很多细节都忍不住让人会心一笑。至于三观嘛……跟性喜剧有什么好谈三观的呢？三观至少比《一夜大肚》要正常得多嘛。
风间隼,看过,较差,2018-01-10 21:03:57,9,喜剧部分做的还行，从第一集就开始的“夜店觅真情”模式估计颇能圆三四线城市青年男女对爱情的梦想。问题是哪怕关键场面也完全没有电影感，而且重头戏的打光，怎么能把女主拍得那么丑？罗米扮女孩明显超龄。另外，既然是第三集，我就重复第三遍：郑恺是李立群上身无误。
梦里诗书,看过,很差,2018-01-25 15:10:45,10,难见生活的段子拼凑，使电影伊始便没有一个真实的奠基可言，而在后段所熬制的煽情鸡汤里，所难掩的是一种巨婴式爱情思维，只能简单的将两性问题分为“我们男人”、“你们女人”，更难见爱的责任担当，如此烂俗之作唯一成功的地方也就仅是给自己披上了一层似是而非的爱情皮囊。
忽忽要喝冰阔落,看过,很差,2018-03-11 19:25:20,26,我的内心毫无波动，没有泪点，女主和女三的脸和演技欣赏不来，特别是女三顶着张比男主还老的脸喊男主叔叔时雷到我了。里面的两首歌倒还不错，这烂剧怎么爆的？
发条橙,看过,较差,2017-12-31 00:50:57,12,其实还行，个人不太反感，甚至有些地方还能有点共鸣（加分项），导演把男女恋爱到分手这个过程中的种种小心思揣摩得很到位，许多点都是大多数情侣所经历过的，从这点来说还是佩服的。都市爱情喜剧的定位所要表达的地方也差不多力所能及了，只是个人觉得这种片子的格局还是不能撑起一部电影的厚重感…
Scorpio|千寻,看过,较差,2018-01-02 23:39:24,27,孟云这角色真是烂到骨子里，直到剧终也毫无长进，永远被动着等着女人上门，自己当至尊宝感动自己。女主这样吃芒果居然没死，没有强大的内心就不要玩分手梗。前任这电影在非常努力讲一个烂故事，剧本摄影配乐演员三观毫无亮点。在成都拍摄的+最后没有复合加星。
twotwo,看过,还行,2018-01-06 01:00:20,27,当啥他妈了逼面子不面子的，面他妈了个逼啊
麦子麦子酱,看过,很差,2018-01-02 23:42:21,41,这到底是拍给多幼稚的人看的啊
H2O.,看过,推荐,2018-01-10 23:17:59,27,挺好的。比12好看。好些女的脸太奇怪了……
LOOK,看过,较差,2018-08-25 22:54:10,6,充分理解为啥能在中国卖19个亿，引发如此强烈共鸣不是偶然的。比张一白的那些垃圾狗屎爱情片确实要强，强在至少没有侮辱爱情，把爱情片拍成公益广告。
纤纤,看过,还行,2018-03-08 12:29:43,13,前任之所以是前任直白的讲就是你车上已经卸载的前胎，何必留恋，难道觉得亏了？？？
nikki,看过,还行,2018-01-05 14:50:05,11,#1801#没看过2，蹭喜欢韩庚的同事票看了3。除去太长，有些金钱和恋爱观听让人翻白眼，主角一对作天作地之外，结局倒是加分的（可能因为在电影院看也是其中一点吧）。另外女三真是怎么选的，真实年龄不知道，腿是很细了，那脸叫韩做大叔，真是怎么想的。
萨库拉,看过,较差,2018-01-15 15:05:02,11,永远不要抱怨为什么观众喜欢吃糠，只怪自己没有煮出白米饭。好好煮饭。
XUAN,看过,还行,2017-12-27 18:48:53,36,比我想象中的好看 没情商的男友问我怎么哭的这么伤心，想起了哪个前任…
齐木楠雄的山鸡,看过,还行,2018-01-02 23:52:56,18,像是把《春娇救志明》和《大话西游3》加入豆瓣虎扑微博男女生互黑情节后的产物，现代人多数尚不愁生存，作起来感天动地，其实为的是那一点存在感。于是，虽然电影只见段子只见情绪不见条理不见灵气，却也让许多人在看片过程中找到些许共鸣。
日立,看过,还行,2018-01-05 17:26:02,8,比我想象得好看。女主们的网红脸真的经不住大屏幕。“借着了断的壳 撒着思念的娇。”
了了,看过,还行,2018-01-09 09:57:11,10,电影院里几乎坐满了，全是中国留学生和年轻人。还好，三场的时候没有看到特别激动的人，但是电影后段还是听见有人很大声吸鼻子。那个“走到街角你说爱我，我就飞奔向你”的段落，让我误以为自己是在看快手。
颜超甜,看过,很差,2018-01-10 16:30:37,12,豆瓣最大的bug就是不能打负分吧。前任就该说散就散。真爱是什么，就是不管发生什么彼此都觉得再坚持坚持就能挺过去。没什么比我爱你想抱着你和你在一起更重要的了。自尊哪比不上失去。
猫司令,看过,较差,2018-01-19 12:09:05,12,预期降低之后感觉也没有想象中那么那么烂。起码歌儿挺好听的
一颗小石子,看过,很差,2017-12-30 00:38:17,82,这种圈钱的拉机居然还有3
淋,看过,较差,2018-01-03 22:33:30,13,我还是理解不了看哭的人是何种心态，咪蒙情感文学看多了还是快手短视频看多了？
拿呐拿呐,看过,很差,2017-12-29 12:10:36,54,我瞎了。结尾？？？？？至尊宝打烂你们的狗头！！！！！！！！！！
满意,看过,较差,2018-01-14 22:03:51,8,男主一个垮一个油 女主们一水儿韩式半永久 情节情怀是有共鸣 但为什么要看两个小时？？去听一下《后来》就好了啊 更可怕的是价值观太shit 为什么物化女性的论调可以如此合法合理化？同意垃圾电影培养垃圾观众 也同意此片大卖就是天朝价值观断层分化的具体体现 令人想起《小时代》大卖 一样的道理
zts,看过,还行,2017-12-29 19:17:19,41,大家不要被宣传是喜剧骗了，这是一个大悲剧
Mickey,看过,很差,2017-12-25 18:49:41,30,目前是我见过网红最多的国产片了吧，段子使劲塞，一个也没啥用。
沙漠中的常春藤,看过,2017-12-26 21:14:04, ,75,看的我如坐针毡，如果在电脑上看我一定快进。
夜游,看过,力荐,2017-12-31 16:40:33,50,国产片很难得的优秀爱情片！第一部第三部都很好，第二部编外就算了。今年元旦档没有什么能看的，强推前任3。
Cycble,看过,还行,2018-03-10 01:43:13,9,当一段关系，再没有人愿意回头，再没有人主动道歉，再没有人放下面子去挽留，再没有人不顾自尊说我想你……这段感情也就结束了。
Aestivate,看过,很差,2018-01-07 02:03:07,11,王晶和黄真真苟合出的烂片 一群满脑子除了恋爱没其他东西的都市丽人和威猛先生吃饱了撑的一样爱得死去活来 全篇剧情：你不哄我是吗？那就不哄吧！分so分so尼玛隔壁尼玛隔壁你系nia咪你个joy你fuck干你屌喔
嘟嘟熊之父,看过,较差,2018-01-06 15:48:23,8,不把分手的原因聊清楚，谁在乎你们是不是复合？
Van先生,看过,推荐,2018-01-05 08:47:54,20,一个丑逼，两个浪逼，三个作逼的故事。
萤木C,看过,较差,2018-01-08 12:11:21,10,据说导演用的大多是身边朋友的素材，确实挺生活，也挺无聊的
静静打榜,看过,较差,2018-03-14 12:08:17,17,内心毫无波澜，强行伤感，强行搞笑。
Isabella,看过,很差,2018-01-09 09:46:32,18,看完以后的感觉就是这是炒作起来的一部片子，感觉没有任何泪点，外加那几位网红脸也真是够了。。。ps什么狗屁价值观！
肖浑,看过,还行,2018-12-28 15:59:05,4,两星半。能理解这片为什么会大卖，全方位暴露当今男女尤其是直男的心思种种，都猥琐粗俗成那样了，还觉得自己深藏了一颗纯情之心。作为商业片是合格的，还可以向美式喜剧靠近再贱一点，考虑国情也没办法了。
王恶,看过,较差,2018-01-10 17:07:31,10,（万物生长+匆匆那年）×3=前任3，这是一道数学证明题，充分证明玩儿烂了的青春片还可以改头换面再火一把。
茹影随形,看过,较差,2018-05-24 15:37:31,4,对于初恋即老公的人来说，想看电影感受下前任，然而真的不好看呀，所以我觉得票房那么高是因为大部分人都是有前任并能感同深受的？
基闹,看过,很差,2018-03-09 14:10:13,9,所以女主独自去旅行的全身照到底是谁给拍的？？？这么大的坑不给填一下吗？？？
愛永,看过,较差,2018-03-22 16:53:51,4,拍的是電視劇吧！還是不怎樣的那種。比起愛對方，更愛的還是自己的尊嚴，不分手，難道還復合嗎？最後用儀式感悼念愛情，也不過是故作深刻罷了。
不瓜迪,看过,推荐,2018-01-04 09:49:34,17,好哭要好笑，大概每个女生都在心里默默倒数过如果他说爱我就回头吧。
苦瓜太甜,看过,还行,2017-12-30 00:06:51,5,"五天的嘘寒问暖抵过了五年的真情陪伴。

在大家认真的感情方面开不认真的玩笑，让大家信以为真，去效仿，去推测两人的未来，去找对方可能会做甚至莫须有的错。
其实，结局这样，就是想深刻点，别学这个反面教材。"
