用户,是否看过,评分,评论时间,有用数,评论
国王KING,看过,推荐,2017-04-16 17:58:53,6,特效场面依旧抓眼，喜欢NYC那段车潮。最后孩子的名字戳中泪点，剧组人员在以另一种方式纪念Paul。
半个桃李林檎,看过,很差,2017-04-13 14:54:35,83,我很喜欢塞隆的造型，好像瑞典性爱教母。能集中精神的镜头就是无数辆车被启动自动驾驶然后从高层停车场坠落，还有就是光头跳水运动员斯坦森跟大眼宝宝的互动。要坦白，因为票价接近30块人民币所以强忍着没退场。电影院里前排座椅很难睡，只好打起精神跟自己喝听装啤酒。
芦哲峰,看过,较差,2017-05-11 08:06:34,25,这部片子的受众群体应该就是那些为了“激8”，经常出入于“速8”的人吧。
散井,看过,还行,2017-04-15 16:55:34,19,看透这个系列的狗屁价值观：只要帮我的忙就是family，无论以前干过什么烂事儿我们都能在电影结尾一起聚餐；family内部也要论资排辈，真·family亲儿子第一，为了他可以背叛任何“绝对不能背叛”的family；family以外全员刍狗。
千寻亿选,看过,还行,2017-04-18 19:01:00,16,搞不懂为什么那么火，我觉得不如速7
不老的李大爷耶,看过,还行,2017-04-14 12:54:46,29,下一步就是塞隆女神也加入Family大家庭
康报虹,看过,还行,2017-04-13 23:41:04,45,以前，我们一起骑摩托、开超跑、干坦克、跳飞机；现在，我们赛潜艇；最后，依然是We are 伐木累！/IMAX首映/
獨孤島主,看过,还行,2017-04-12 21:58:51,13,一念无名氏
大头绿豆,看过,还行,2017-04-20 18:06:34,11,真的可以看过就忘呢。
渡口无边,看过,还行,2017-04-16 20:18:01,30,为了达到目的不管什么无辜的人都可以随便杀？一个女大反派发射核导弹的动机就是为了让全世界一点color see see？塞隆给dom看了小视频后dom明明有足够多时间解释一切却偏偏伪装叛变？下一部如果汽车不能变形，开车不开到地球之外就别拍9了。2.5
davekozg,看过,还行,2017-04-15 14:39:47,27,“男友的前任死了，他现在带着和前任的孩子要和我一起过，我该怎么办？在线等，挺急的” #哈瓦那和纽约两场很精彩，核潜艇大战一场画面叙事条理太乱观感不好# 虽说没打算动脑子看这个片子，但前女友这个角色根本立不起来
Rilkelee,看过,较差,2017-04-14 10:43:20,58,全场观众从头到尾不停地欢笑、鼓掌、欢呼，这个时候还考虑什么早就被光明正大喂了狗的剧情、逻辑与合理的人物发展呢？只能说，看了两千多部电影，我还从来没试过如此全心全意地希望反派能大获全胜、主角团全军覆没。。。（啊塞隆！！！！）
汪金卫,看过,较差,2017-04-14 09:34:56,17,这个系列的套路化+不思进取越来越严重。甚至好几次都猜中了接下来的镜头和情节。赛车绝对不输，反派也能从良，主角必须不死。再加点插科打诨，齐活！票房必须高！杰森斯坦森就像从《机械师》片场串过来的。追车动作戏也就自动驾驶汽车那段有点意思，其他都是轰隆隆的爆炸咣咣咣的撞车，老生常谈。
临时昵称,看过,还行,2017-04-15 23:13:30,7,伊斯特伍德的儿子将接替保罗沃克，饰演 白人 。
西楼尘,看过,较差,2017-04-15 16:59:22,15,古有桃园三雄结义，今有监狱义结金兰。旧有赵云长坂坡七进七出救阿斗，现有郭达幽灵机横冲直撞救婴孩。一众豪车装甲车在冰面上齐刷刷驶来，很担心下一秒化身变形金刚。僵尸车如雨纷纷坠下，警示务必小心高空坠物。核弹危机和碟中谍的套路让赛车沦为鸡肋，水下鳄鱼阻止不了人类延续，下部该生二胎了。
CyberKnight电子骑士,看过,还行,2017-07-22 00:15:18,4,卖拷贝的片子如果叫“Gun Porn”，这个就是“Car Porn”。整部片子基本就是在一直刺激你的荷尔蒙分泌。僵尸车和结尾冰上车爆两段最刺激，其他部分乏善可陈。
布袋里的猫,看过,很差,2017-04-14 08:36:03,71,速7要不是死了个保罗，中国有几个知道这个系列的？结果没想到速8比速7更烂。中国的电影院永远不缺两种人，一种是跟风狗，一种是脑残粉。
饕餮暴血,看过,较差,2017-04-14 02:33:22,51,失望，不仅剧情在xjb编，连引以为傲的大场面都拍的一塌糊涂。场面并不是越大越好的，动作设计还在频繁沿用温子仁的旋转镜头以及已经用烂了的慢镜，真的是毫无新意，僵尸车的噱头也是昙花一现。唯一惊喜的是郭达的表现，感谢第三幕里面还有他这样一股清流穿插在狂轰乱炸之中
uyuohz,看过,还行,2017-04-19 23:23:45,7,好生气哟！！这群光头为什么要阻止塞隆姐姐实现她的梦想，她想炸地球就让她炸呀！！
殇潮|Enigma,看过,还行,2017-04-15 13:20:15,6,你们系列不考虑下叫mission impossible & die hard吗？这猪脚光环搞得一手遮天到让人翻白眼就得不偿失了吧…没有郭达一家的话真是食之无味
Eve|Classified,看过,还行,2017-08-23 00:00:15,0,成功预测三个男朋友联手
白日美人_S,看过,还行,2017-04-27 04:12:55,3,家庭的概念在这个系列中一向成立，然而此部把这个概念过于戏剧化地使用和升级，导致有些营养过剩。被僵尸车群拐弯的镜头惊到下巴掉在了地上。
猫司令,看过,很差,2017-04-23 04:09:01,43,好烦这种片子，看完脑子嗡嗡的，跟去了迪厅似的。
与影牵手,看过,还行,2017-04-15 20:57:42,9,★★★速度和激情这个IP已经变成了开着汽车的超级英雄了，目瞪口呆ING，拍成这样逻辑都去喂狗，下一部可以去宇宙开车吗？
女神的秋裤,看过,推荐,2017-04-24 00:24:30,9,好莱坞商业大片典范，紧张搞笑，憋爆膀胱。这片扯神马审美、剧情blabla，你在搞笑？
游牧人·芳汀,看过,2017-04-20 22:29:05, ,5,#电影院# 轰轰轰，呜呜呜，跑跑跑，跳跳跳，炸炸炸，飞飞飞，冲冲冲……唯一心动的时刻是Vin Diesel看着Michelle Rodriguez的英勇飞车表现，骄傲地笑着说“不愧是我的女孩。”搞得我突然好想做大佬的女人嘤嘤嘤嘤
心生,看过,还行,2017-04-15 12:15:35,10,前面一个小时冗长絮叨，后面连环High扳回来不少。依然不用担心主角，不用担心任务是否会成功，挺过乏味的文戏，看看直接给的飙车能玩出什么花样，也就够了吧，僵尸车群、冰上大战效果可以。大块头范·迪塞尔举着小萌娃说这一切都是因为你，然后给萌娃起名布莱恩，比较有爱。
無響應,看过,较差,2017-04-19 20:09:51,10,中间一段快睡着…塞隆，海伦加一星，请快点把他们团灭好嘛！
办公室甜心,看过,还行,2017-04-18 00:29:47,2,最后一下真的是直接飙泪
大星,看过,还行,2017-04-17 00:57:28,4,我最后的温柔了！！！！！再有我也不会去看了...LAY了！ 看到LUKE还是满惊喜的
华盛顿樱桃树,看过,还行,2017-04-12 21:16:08,19,刺激直接稳准狠。有些段落实在是神了，令人印象深刻。但虽然演员们很拼，塞隆美得霸气，但没有了保罗沃克之后，速激应该就结束了。
贝塔先生,看过,还行,2017-04-15 23:58:56,12,有趣的地方可能也就剩下郭达飞机就baby那段了吧。
#外出偷狗#,看过,还行,2017-04-14 20:05:21,6,不要再强行续了。以后专注拍Shaw家吧。
Laplace Demon,看过,还行,2017-04-16 15:41:21,5,"""Fuck Physics"" is back!!! #Goes back and rewatch Mad Max again  #How come Furiosa doesn't get to drive"
喜儿喂鸭正经地,看过,较差,2017-04-27 04:11:33,13,不知道这个片子拍这么多续集的意义在哪里
恶魔的步调,看过,还行,2017-04-14 21:15:55,16,看了好多惹火的屁股，电影院过节一样，像是穿越到了春节档。
魏非,看过,还行,2017-04-14 03:17:30,19,下一部建议直接飞出大气层，开宇宙飞船去飙，原本就是一帮飙车的小混混，到第8部感觉比复仇者联盟也不差啥了吧，动作场面的确好看，但是越往后越审美疲劳了，最后核弹出来也不觉得怎样了，建议观看，别带脑子去
妄想代理7,看过,推荐,2017-07-02 10:19:40,3,开始瞎瘠薄编了啊
占士鯊,看过,还行,2017-09-01 16:23:47,2,我靠喵森惡意賣萌
花田怎么了,看过,推荐,2017-04-15 23:59:44,7,一小时前不想尿尿却坐不住，一小时后想尿尿却舍不得去
朱古力,看过,推荐,2017-04-14 02:13:37,9,应该可以拍到速25
鸡头井。,看过,2017-04-17 22:57:19, ,3,这钱砸的
刘康康,看过,还行,2017-04-17 01:34:51,8,不好不坏的一个爽片，然而也没那么爽。上一部是汽车斗飞机，这部是汽车大战核潜艇，很为下一部导演感到担心，地球上还剩什么能跟主角他们飙车？反派说洗白就洗白，下一部这个黑客女是不是也要加入主角的伐木累了？
昵称被占不开心,看过,推荐,2017-04-14 09:51:16,23,依旧热血 杰森斯坦森好酷
小崔,看过,还行,2017-04-15 14:06:07,1,有点晕
暖晴,看过,还行,2017-04-12 21:44:35,15,视效还是蛮过瘾，连放片前IMAX的倒计时片头都是速激特别定制，乱激动一把。这集光头team队员们都比不上郭达斯坦森和baby实力卖萌。内容实在太反人类了，主角带着光环从头酷到尾，可炮灰车和炮灰人类好惨……这个系列看到现在，有的人走有的人来。台词提到布莱恩的时候，心里真是会闷闷的。怀念保罗。
断弦的耳朵,看过,较差,2017-04-18 23:49:12,2,不出所料的睡着了…
国产凌凌期,看过,力荐,2017-04-14 22:43:42,5,速度与激情8：特种部队的崛起。看完速7开始琢磨估计这个系列很难再玩出什么新花样了，然而纽约车群和核潜艇大战还是惊掉了下巴，可能速9就要把这帮人送到宇宙去了。多姆一开始的设定只是飞车仔，怎么现在就变得全身外挂去拯救世界了，也许下一部能回归一下平凡。郭达老师固然帅气，不自觉的替韩心疼。
圣迭戈-北岛,看过,还行,2017-04-14 03:13:31,22,第八部简直是毫无节制的动作AV，只有前五部是正统速激，在烧胎声和警笛声中、在刹车片火花和枪口火舌下的小人物挣扎是速激最初吸引人的地方。街头毛贼能阻止第三次世界大战的第八部可以和《极限特工》合并世界观了。
乱樂,看过,还行,2018-01-12 23:01:26,35,结尾那首歌很好听
郭连凯,看过,较差,2017-04-24 02:00:00,8,除了奉献了两场还算能看的动作戏（越狱戏和最后的冰川追逐，P.S.冰川追逐明显想学MM4，但最后的结果大家也都看到了，皮毛都没有，除了爆炸就是爆炸），这个系列电影已经彻底不思进取了，剧本之粗糙放在国产电影都能数的上号，无数次翻白眼（好好好，你最帅。）
任平生,看过,还行,2017-04-14 16:35:50,6,就喜欢好莱坞的乐观，几个街头飙车的都想着拯救世界。中国的年轻人都在想着什么时候能买得起房。完全没法比啊。
玫瑰水母,看过,还行,2017-04-15 18:22:11,1,郭达一家成功抢镜；东木仔在KURT叔面前尽显青涩
圣墟,看过,推荐,2017-04-12 08:15:33,35,肌肉猛男、性感美女、高速飙车……所有能想到都有了，就问一句，动作场面要不要一个个都跟复刻出来的一样！！！能不能变个花样！！！能不能！！！
伤逝,看过,推荐,2017-04-15 20:32:52,4,这不是第一次为反派担心，希望反派把主角都杀光的电影了！
Admin,看过,力荐,2017-04-14 02:42:59,6,“杰森斯坦森在装逼的道路上越走越远”
欧阳杼,看过,还行,2017-05-14 01:28:00,2,1. 立了flag之后，女主角马上就喜当妈了。2. 估计下一部该是开车追航天飞机了。3. 各种动作戏非常多，但这个系列已经很难再拍出新花样了，每个人都在驾轻就熟地做自己的事情，完全是模式化的操作。4. 只有开场的十多分钟是在飙车，剩下都是在执行任务，你们还有当年飙车的快感么？
猪大腿,看过,推荐,2017-04-14 12:41:47,2,Fast and Furious and Furiosa
18280,看过,力荐,2017-04-14 02:14:34,15,满分，查理兹塞隆太漂亮了，期待后面的作品。片子有一处字幕“报酬”应该是“报仇”。
叉叉,看过,还行,2017-04-14 19:03:59,9,Fast and Furiosa！塞隆女神美！飙车易光头，超速需谨慎。观众对F&F这个系列的期待好比碟中谍里的靓汤还能徒手爬什么一样，看他们能用车子干出啥让人目瞪口呆的事。F8洗白67里的兄弟反派太无语了，不过杰森郭达和女王卖萌还是挺可爱的。反正剧情向来是鸡肋，看看场面就行了。F5真是系列巅峰啊！
杀手的小学同学,看过,力荐,2017-04-14 13:19:19,7,终于把<激8>盼来了，这一整年就指着这个爽了，享受<激8>一定要选4D版本，给你一个会震动会喷水的<激8>
夜观风,看过,还行,2019-02-23 21:45:31,2,"预算：2亿5000万
首周末票房：9878万
北美票房：2亿2600万
全球票房：12亿3600万
上映日期：17.03.10
上映周数：13周
分级：PG-13
最高院线数：4329
北美最高排名：1
发行方：Universal"
Bc&L,看过,还行,2017-04-20 23:14:05,1,平平的烧钱大场面制作，越来越觉得这部及以后的系列作品就是为了圈钱而生了，虽然没有什么创意和亮点，不过依然会有大市场。动作戏和飙车戏永远是系列亮点，这部片子也算发挥到极致了，难免视觉疲劳，这个系列，本该完结了。
