用户,是否看过,评分,评论时间,有用数,评论
廖木杉,看过,较差,2018-02-16 12:08:33,894,王宝强失心疯表演差不多就得了吧，比第一部差太远
H2O.,看过,推荐,2018-02-17 21:45:12,90,我靠刘昊然帅到我了。
朝阳区陆依萍,看过,还行,2018-02-16 20:40:47,126,还是很土，很尬！但我妈笑的很开心！难过的是制作升级之后，依然很电视，推理部分又完全倒退，电影名为“探案”削弱到丝毫不抓人，整体成为春节定制的喜剧片！比上部好的是，王宝强和刘昊然这对CP竟有火花，看完有点期待第三集东京篇。虽有这样那样的遗憾，但商业价值已超越走进死胡同的《捉妖记》！
大奇特(Grinch),看过,较差,2018-02-17 18:07:30,430,这里的推理和反转都是最基本、浅显的，所谓“推理”全靠刘昊然一人之口，他说什么就是什么（王宝强除了嘴炮基本功能丧失，除了一场戏）。案件的进展多靠夸张的逻辑和笑料推进，编导正利用这种方式让观众不去深究，也自然不必深究。可是在美利坚的土地把人家写的都这么弱鸡，合适吗？
庵野秀明,看过,较差,2018-02-16 11:53:51,597,推理比1差很多，凶手太弱，整个故事尴尬依旧。冲着刘昊然来看，但觉得他在这部片里灵气全无，还是演别的吧孩子。刘承羽很不错呢。
肖恩恩恩恩肖,看过,推荐,2018-02-17 21:43:58,84,可能是春节档的大赢家。而核心原因是导演各项硬指标全线优秀…悬疑，喜剧元素的混用保持了第一部水准。场景的转换和剪辑表现惊喜，切了这么多场景，剧情依然流畅。加了这么多人物，个个都用上。这已经不是失恋三十三天和前任3那种耍小聪明的水平了，而这么个人才，居然是陈思成？哈？？
巴格韦尔,看过,力荐,2018-02-16 12:04:18,1160,上帝为你关上了一扇门，一定会为你打开一扇窗，他为陈思诚关上了人性的门，却打开了神性的窗，做人真渣，电影拍得真棒！
路易小鹿,看过,还行,2018-02-17 14:06:40,102,推理太弱了，一下就能猜出来~但是我对于毫不要脸十分强硬的硬广告非常喜欢
゛布丁。,看过,力荐,2018-02-15 22:00:55,912,非常合格的春节档喜剧，搞笑+推理的完美结合，很喜欢这样的类型，充满悬疑，又有笑点，脑洞大开，不得不说这在国产片中是很不错的剧，细节很好，人物性格很饱满，很好看，满星推荐。
猛汉世雄,看过,还行,2018-02-18 21:19:11,76,比捉妖记2好看多了，王宝强真的要去检查一下肝肾了吧，整个人黄得不成人形
mlln,看过,力荐,2018-02-16 22:32:20,125,满分爆米花电影。
Jean,看过,很差,2018-02-22 11:04:29,231,可以的话想给负分，低级趣味的堆积，恶俗到看完有种生理不适的恶心感。
蜉蝣,看过,还行,2018-02-04 00:48:10,30,用电影语言讲推理逻辑，用喜剧掩盖细节处理的方式很适合商业片，格局比第一部大，唐探两人的表演自然很多，尤其刘昊然进步很大。结尾的反转虽然简单但能看出野心和严谨遵循推理作品的模式。不过非要说自己是社会派推理，啊呸。
虫二,看过,还行,2018-02-16 15:04:40,97,油腻中年男人笑点竟然博得全影院妇女的笑声
海是天的颜色,看过,推荐,2018-02-16 15:01:22,93,刘昊然真是妙啊，那个腰那个腿，为他直为他弯为他打电话日夜不分。那句“排名第二，全河南吗？”是全片最好笑的了。
陈赖汉,看过,较差,2018-02-16 11:30:09,588,抛开那些低俗的喜剧成分，唐2的核心“推理”这一点，可以说是极其不及格。凶手必须尽早出现，这早就成了几乎所有优秀推理作品要遵守的原则了，然而唐2看到了近一半，才让凶手露脸。而最后的小反转似乎又是为了照顾这一法则，为了反转而反转。所以，不要把这部电影看成悬疑片来看，看成打闹片更合适。
