用户,是否看过,评分,评论时间,有用数,评论
齐木楠雄的山鸡,看过,还行,2018-02-16 20:58:32,8,带着零期望值去看，居然觉得能看，虽然零剧情全卖萌，两条线长短脚又很明显，但是老妈看的特别开心，所以给个及格分，全场最佳萌物：梁朝伟
八饼敏儿,看过,力荐,2018-02-16 08:50:35,297,喜欢胡巴，从第一部开始都喜欢，现在更喜欢了，尤其是想象它一样简单，好想做到这个，喜欢谁就不顾一切的喜欢
布丁第一少,看过,推荐,2018-02-16 08:33:17,133,如果喜欢一个人可以像胡巴一样简单就好了。只要喜欢上了ta就向ta吐口水，一切都想跟ta分享，时代变了，女孩追男孩。
慕詩,看过,很差,2018-02-19 15:33:55,49,剧情太差了，梁朝伟最近几年是被下蛊了吗接这种片？
小可爱,看过,力荐,2018-02-16 08:15:03,360,新年贺岁档电影，剧情特效很精彩，新年除旧岁，带家人一起去看电影，很棒
齐木楠雄,看过,很差,2018-04-29 22:47:03,26,原来发行方买预售占排片再退票，空手套白狼是从这一部开始的啊
江湖骗子,看过,很差,2018-02-16 11:47:07,112,和上部比起来，差了几个当初
城南草木生,看过,还行,2018-04-04 20:06:07,2,也不难看 但没有一处值得夸的
番茄炒蛋不加蛋,看过,很差,2018-03-31 23:13:08,18,失望，可惜了梁朝伟
KevinMorrison,看过,力荐,2018-02-16 11:41:50,178,梁朝伟老了没那么帅了！不过小朱朱那句话很感人：那是你们不懂爱，拿张贵的纸重新写。屠四谷欠她再多，比不上他一句一生一世，莫名感动
cult,看过,较差,2018-02-16 13:29:10,67,平庸，乏味，非常一般，还不如第一部，特效没有进步，设定没有新意，唯一亮点是梁朝伟和李宇春。
狗富贵,看过,很差,2018-02-25 20:19:51,14,连胡巴也不可爱不萌了，失望。
妖孽坐地成仙,看过,很差,2018-02-16 17:19:25,38,很无聊，剧情很散漫也没有什么笑点。捉妖记的妖怪设定很奇怪，中国的妖都是有本体的，什么猪妖、树妖，这里面更偏向于西方的“怪”，长得丑又很畸形。
玛奇玛,看过,很差,2018-02-16 17:06:21,56,虎头蛇尾 还没反应过来居然就结束了
顾俏乜,看过,较差,2018-03-12 20:43:13,11,捉妖记1注水，捉妖记2继续换着法医注水，真“狗尾续貂”。
KidCoolAF,看过,很差,2018-02-17 13:42:02,37,没意义的追逐戏，整个剧就是低技术水平的跑酷现场。
六毛七分八,看过,推荐,2018-02-16 03:38:58,330,其实蛮搞笑的 哈哈哈哈
Minimalismer,看过,还行,2018-04-05 00:27:06,6,一般，真的一般！
熊猫宝宝爱电影,看过,较差,2018-02-18 13:02:23,28,除了李宇春四川话是个笑点，其他的都是无聊。两分给春春。
乍暖,看过,较差,2018-09-04 18:12:58,3,3/10。那是李宇春？震惊！胡巴完全是配角，梁朝伟的主场。
