用户,是否看过,评分,评论时间,有用数,评论
[已注销],看过,还行,2019-09-30 20:17:01,243,竟然还是以前拍无间道的港片导演，现在拍出来的是什么鬼东西。好题材，好演员都被你给糟蹋了，水了半步电影，大段的无用剧情。飞机乘客的千人千面不拍，被空乘轻描淡写解决了，机长如何力挽狂澜拯救大家的飞行技巧。也是轻描淡写的解决了。这两点不是应该着重拍的吗？我最多给3星还是给演员和题材的，导演0分。烈火英雄也是这导演拍的，也是个刚及格的电影。
海蓝蜀黍,看过,还行,2019-09-28 20:32:34,226,略失望，只有故事而没有人物，也就没有感情，这样的灾难片很难处理，对事件的还原是最简单的也是最不出彩的，铺垫颇多的袁泉的婚戒也没有交代。另外，袁泉和陈数太美了，气质碾压小花。
豆友199030760,看过,推荐,2019-09-30 21:24:31,8922,本来挺好的 但为什么一定要加关晓彤那一段傻屌剧情
加斯珀哥哥,看过,力荐,2019-09-28 21:18:02,3592,好几个演员李现 焦俊艳等坐着演完了这部电影。
Rocky,看过,还行,2019-09-29 23:54:56,190,工整，前期轻松的氛围，整齐划一的流程制造了一直舒心的感觉，以至于灾难发生时的冲击力很大。可惜之后有些渐渐泄劲，特别是信仰之跃那里，节奏有些问题，变成了口号之跃。
张秀才味羊汤面,看过,力荐,2019-09-28 21:15:24,1073,点映场坐满了人。完成度很高，这种政治正确类型片就怕煽情过分引发不适。不过看下来还好，有刻意煽情，但都被张涵予和袁泉的演技盖住了，台词功底太好了，姜还是老的辣啊！Angelababy一哭，下一段立马就剪一段惊心动魄的客舱内部的镜头，以掩饰演技的尴尬——演技不够，剪辑来凑，必须给剪辑师加鸡腿了！没有看演员名单，开头觉得演张涵予老婆的好像陈数啊，结尾出演员表才知道，噢，就是陈数。
清水沟,看过,推荐,2019-09-30 07:44:44,6285,关晓彤在里面干嘛。。。
猫苦艾。,看过,还行,2019-09-28 21:37:15,172,不大不小一个雷。看得出急于上映，剧本和配乐缺乏打磨，电影的节奏是混乱的，有很多不必要的剧情和人物的镜头，我不知道是不是为了凑时长。尤其是杨颖和关晓彤两个瞪眼怪，闹哪样。确实我没忍住和萨利机长对比，还是差了一些，感觉缩短三分之一会更紧凑。机组人员辛苦了，都是好样的
夏,看过,还行,2019-09-30 10:45:03,191,场面可以看，还是揪心和激动的，但是中间很多无谓的剧情，比如关晓彤杨颖？？在干嘛？充满了正能量
冰镇西瓜橘子水,看过,推荐,2019-09-29 08:07:07,3213,三星半 想给袁泉跪下唱征服 hold全场 高光时刻多到不行 大屏幕有这样的演员是我们观众的幸福
