用户,是否看过,评分,评论时间,有用数,评论
古娜拉黑暗之神,看过,较差,2018-01-24 19:07:47,23,看成龙的动作电影就是一如既往的刺激。但是这部片我不是很喜欢。最后加的那个舞蹈也是有点借鉴印度电影的感觉
千寻亿选,看过,还行,2020-08-16 10:29:50,0,合格的爆米花春节档电影，有打斗有探险有豪车追逐有异域风情还有一只大狮子，而且第一段在冰窟里的打斗非常具有成龙风格个，可惜成龙老了打不动，两个年轻的也不会打。最后~~~~~~~张艺兴怎么看起来有股瘦版杜海涛的感觉，一定是发型的关系
托尼·王大拿,看过,很差,2017-02-09 20:53:58,24,和《神话》、《十二生肖》共同组成了杰积陈廿一世纪破产版《夺宝奇兵》三部曲，要是真那么喜欢印第安纳·琼斯，就赶紧打住吧；另外这片子里真正的“一带一路”应该是成龙带着张国立走上曲线救儿之路。
陈长囧,看过,还行,2017-01-28 14:40:54,7,狮子演技担当。
Moon,看过,还行,2017-01-30 22:48:13,9,的确是适合父母看，有点后悔让父母看了西游二，再请去看不去了。
陈赖汉,看过,还行,2017-01-28 15:00:51,12,《神话》续篇，影片开始不久那个金喜善画像就几乎直白地告诉观众此片和《神话》的关系了，两部片子串起来（虽然剧情毫无衔接），可以清晰地看到走的是《印第安纳琼斯》的路线，还有点《国家宝藏》的意思。影片完成度高，典型的成龙功夫喜剧，还有豪车飙车以及养眼中印美女，比预期好。
余小岛,看过,很差,2017-01-29 19:11:17,75,2017第一场怒而退场，实在太他妈蠢了。。。。。。。。。。
芦哲峰,看过,很差,2017-03-29 09:19:05,18,某人真是几十年如一日的烂，而且还越来越烂。演任何角色都能演成耍杂耍的，就算是考古学教授也别想幸免。
Jenny,看过,很差,2017-01-31 00:01:21,66,巴啦啦能量，魔仙变身！
viennavirus,看过,很差,2017-05-21 03:18:52,3,折堕啊唐季礼老师。
Carf,看过,较差,2017-02-07 13:09:56,9,风格明显，没有剧情，您演老了，观众也看老了，真的该去演反派了，纯粹为老家伙加颗星。
glim,看过,很差,2017-03-29 18:43:51,4,大哥成带着大家一起感悟了印度烂片的极致
假江湖骗子,看过,很差,2017-01-31 13:18:52,65,剧本毫无逻辑可言，场景切换简直了，各种演员凑在一起，各种出戏。特效五毛，千年古墓里有不锈钢道具，你特么逗我。到最后实在不知道怎么收尾，直接跳起舞来了。。
芥末蘸酱,看过,较差,2017-01-29 17:55:35,53,这片子已经是最近几部成龙电影中动作设计最好的了...标准是降到了多低...
