用户,是否看过,评分,评论时间,有用数,评论
芥末蘸酱,看过,还行,2018-11-27 18:24:15,183,熟读历史的海王肯定研究过毛选，实力诠释了什么叫人民战争的汪洋大海。
正义B胜,看过,较差,2018-12-07 02:16:11,1839,太傻了，太傻了，真的太傻了。DC拍来拍去，依然只知道毁东西。你告诉我：水下战斗和超人砸楼，有啥区别？？？海王完全是个纸片人设，毫无辨识度。没错，选个好的IMAX厅，是能爽到，但依然，太傻了，太傻了，真的太傻了。
Chuck,看过,推荐,2020-06-26 16:09:57,2,从视觉效果上来讲，这是一部需要在电影院看的电影，但剧情……就这样吧啊我也不吐槽了。
萨库拉,看过,较差,2018-12-07 11:58:32,951,一锅无聊的大杂烩。换汤不换药的故事，艳丽廉价的农家乐审美，以及徐锦江演超级英雄真的很难让人投入哎。
貳貳叁,看过,力荐,2018-12-07 00:23:31,1972,也别问DC粉儿了，就问你们刚从影院出来的，咱海王硬不硬？！咱海王猛不猛？！温子仁还拍下一集要不要？！！
frozenmoon,看过,较差,2018-12-10 10:34:58,597,实在太难看了，我真是受不了这种题材。我坐在影院里都开始有哲学疑问了，我这么大岁数，去看这个干什么？这帮演员这么大岁数，演这个干什么？到最后那一幕，海神都耍起金箍棒了我的天啊。
深夜的阿斯伯格,看过,推荐,2018-12-07 08:33:10,103,渔夫和灯塔守护多数是鳏夫，私下里经常养一些人鱼交欢。海洋远比陆地深远得多，人们赞美阳光下的海洋，却不知深夜降临海面上会冒出可怕的妖怪，海底也会藏着嘲笑人类的高级文明。所以！温子仁同样是一个借大热系列ip来讲自己故事的导演！！
中立的手指,看过,推荐,2018-12-10 18:27:14,76,海王刀枪不入，谁给他做的纹身？
近似无限透明的蓝色,看过,较差,2018-12-07 13:46:43,483,海底世界的美轮美奂与人物塑造的平庸，是最大的两极。逗贱耍萌已成为近年超级英雄取悦大众的标配，跟风无法让海王自卑又略带玩世不恭的个性立体，你感受不到他对人类、亚特兰蒂斯臣民、海洋生物有任何的情感，他只是一个为满足导演私欲纯在的玩具，急于炫技元素太多，让整部电影的风格变得异常不舒服。那句“今天以战争开始，却以欢乐结束”的台词令人恨不得抽她两个耳光。观影后集体鼓掌的，估计和前任3哭晕在座位要打120的是同一批人。
rune1121,看过,力荐,2018-12-07 01:57:55,1057,又翻身，dc的票房一直很好，好不好，自杀小队一亿多投资没国内市场近8亿刀票房，神奇女侠都是北美年度票房第二了，bvs也狂收近9亿刀票房，还要翻身。而且那是dc第一阶段，去看看当年惨烈的漫威第一阶段，就是今天，蚁人 奇异博士之流也就6亿左右票房，怎么没人喊仆街。所以别等了，有色眼镜一带加个双重标准，杠精找茬模式狂开，dc永远仆街，当然还要此地无银的说什么我是dc粉，对dc要求低之类巴拉巴拉，家仇国恨的，说实话真不像dc粉，倒是像漫威股东，何苦呢，到最后影响的是自己观影感受，可惜了好电影
Sebastian,看过,很差,2018-12-07 22:52:56,255,真不敢相信我生日这天看了这么个玩意儿 罪过
西楼尘,看过,较差,2018-12-07 23:19:49,451,观众如同许愿池边的小女孩，被导演变出来的特效技法唬住。开头水族馆里小海王召唤众鱼热泪盈眶，从五分钟以后沦为空洞游戏资料片。满脸写着赶进度呢，特别着急。谈恋爱很敷衍，见到生母也没空寒暄，三叉戟的守护怪兽竟然因为语言相通就顶礼膜拜，万一人家就是个翻译呢？好一出王子上位戏码，无聊透顶。
#零点#,看过,推荐,2018-11-27 17:43:30,77,我宣布！2018就是骨科文艺复兴之年！！！
黄青蕉,看过,还行,2018-12-09 16:34:51,162,吹过了吧，虽然质量不错可是也就超英（aka漫威）平均水平啊？？这满眼的即视感为啥要吹得前无古人？？
