用户,是否看过,评分,评论时间,有用数,评论
Cherry Chan,看过,较差,2015-09-25 11:58:59,1079,《港囧》彻底扑街……全程零笑。用时下流行热点和成人黄荤段子堆砌而成的笑点不仅偷懒讨巧而且低级无效。全片唯一可能讨喜的港片迷影元素和经典粤语插曲也只沦为简单粗暴的情怀贩卖。而导演在其能力之外想说的关于「中年危机」的那点东西，正确的打开方式应该是《一一》。
查里王3世,看过,力荐,2015-09-25 03:12:07,452,和小伙伴来看首映的，前半部分广告植入太多。。前半段略微有点让人烦，后半段很精彩，尤其是悬空玻璃那段。其实整部电影说的是爱情，结婚后的，我的看法是，即使是结婚后也有可能碰到真爱，人都是自由的，你可以离婚，但是婚姻本身就是一纸约束束，爱情的结局不一定是结婚，结婚的原因不都是爱情。
Morgant,看过,力荐,2015-09-25 09:34:58,409,之前点映就看过，徐峥为了这部电影真是拼了，全国跑的宣传，而电影本身也有内涵上的提升，不再是一部纯粹的喜剧，它融入了更多的情感、思考以及怀念。对于还没上映就来刷低分的黑子和因为没有王宝强就来无脑黑的渣渣表示鄙视，你只适合坐在家里用电脑看，电影院你不配去！
桃桃林林,看过,较差,2015-09-25 23:03:26,500,两星半。片子有点太功利，导演太想说点什么，反倒不好了。就好像从头到尾大量使用的粤语金曲，有些太算计。前半部分更完整有趣，后面说教以及中年危机的论调完全像换了种风格，目标也变了。尤其天台戏，刻意且无聊。最终是什么都想说，反而什么也没说好，不如《泰囧》专做喜剧更纯粹有趣。
追风人丶,看过,很差,2015-09-25 01:14:49,534,低俗笑点低，这么垃圾的电影哪里找？小孩纸看了别学坏了。居然还用大话西游里的歌曲，不可以原谅
Forêt,看过,很差,2015-09-25 01:54:03,388,打翻祭坛 风扇吹人家老父亲的骨灰 好笑？
不了禅师,看过,很差,2015-09-25 08:07:22,397,"当喜剧变成闹剧
很尴尬"
我叫里昂,看过,很差,2015-09-25 10:23:17,238,垃圾片
Floating dream,看过,很差,2015-09-23 12:49:00,200,烂到不能再烂啦啦啦啦.浪费电影票钱。希望这种XX囧系列就此终结吧。
芥末蘸酱,看过,较差,2015-09-20 22:49:47,528,横冲直撞东方荷里活啦~
V,看过,较差,2015-09-24 23:18:12,509,三观有问题，港囧居然是一个更年期男人为了追寻初恋遇到的囧事。为挣钱而拍的电影，挺低俗的。包贝尔简直就是一个更聒噪更烦人的王宝强。
豆瓣路人己,看过,较差,2015-09-21 21:53:54,226,泰国去了香港，宝宝变包包，笑点也相应变的低俗，全程大家笑的时候我莫名尴尬。通篇为了致敬港片，泛滥的港片桥段、港片经典配乐，整个都要溢出来了。最后的煽情，也是被动不行。从头到尾没入过戏，影院出来后，剧情细节也都忘了。
~拉法~,看过,较差,2015-09-25 04:14:26,258,完全不想推荐给朋友
启明星的指引,看过,还行,2018-05-20 13:33:29,15,感觉没有前作那么好，笑点略尴尬，总体还行吧。
张小北,看过,推荐,2015-09-28 09:47:44,47,严格说来算是3星半吧。《港囧》其实不能算是一部续集电影，它和《泰囧》之间除了品牌延续外，再无更多联系。作为一部独立的喜剧电影，同时又不得不借用和延续品牌影响，让它在叙事方面有些不尴不尬，导致本片的大多问题都出在这里。不过徐峥的作者风格已经开始明确建立，值得期待他之后的作品。
晚晴,看过,力荐,2015-09-23 16:59:57,160,很不错的喜剧电影，有笑点有情怀，徐峥确实有才。配乐是亮点，赵薇演的不错，既搞笑又感人
