用户,是否看过,评分,评论时间,有用数,评论
朝暮雪,看过,2019-02-05 08:17:39, ,10905,"《飞驰人生》讲述昔日西虹市首富王多鱼因非法赛车被捕入狱、倾家荡产的故事，后来他经过不懈努力，再加上高中同学袁华、班主任王老师的帮助，终于把属于他的荣誉赢了回来。 
但是故事还没完，后来他还和马冬梅、大春、孟特娇演了小品《占位子》，还和一个叫做耿浩的人一起经营了游乐园，结果被外星人绑架了…… 
人不可貌相，海水不可斗量。 
有些人啊，你别看他表面上是小鲜肉，其实是杀人不眨眼的狙击手； 
有些人啊，你别看他表面上在游乐园做兼职，其实真实身份是海王； 
有些人啊，你别看他卖炒饭、偷汽车、求赞助，其实家产有三百亿。"
Gnomeek,看过,还行,2019-02-05 12:14:35,603,不是，沈腾和黄景瑜第一次见面那段cg和灌篮高手bgm也太尬了吧
小葱,看过,力荐,2019-02-05 09:22:44,8679,很搞笑，拉力赛超级燃，后面有点感动，居然还看哭了，结局出乎意料，沈腾黄景瑜尹正演的都很好
尚尚尚尚仔,看过,力荐,2019-02-05 10:05:37,2791,国内少有的公路赛车片 又燃又煽情，被黄景瑜大大的圈粉了，颜值演技都在线啊。少女心啊啊啊 怎么能这么帅 沈腾黄景瑜配置绝了
同志亦凡人中文站,看过,还行,2019-02-06 13:38:06,442,比《乘风破浪》好，韩寒终于没有从头到尾填塞年代符号了，但本质还是在推销私货。只见驰不见飞，为了快上那零点几秒连儿子都不管不要了吗？大过年就像看了一部拉力赛的科普电影......
王大根,看过,还行,2019-02-05 19:27:09,213,很简单的故事，比普通的运动题材还少几个转，笑点都是严肃+消解严肃的同一模式，反正还是韩寒那套小聪明电影：话题演员+翻唱老歌+俏皮话，说不上有多好但又强过大部分国产喜剧。比较伤感的是尹正，2015-2019，短短四年就从低配吴彦祖变成了中配高晓松（都不是高配了！）……
frozenmoon,看过,还行,2019-02-06 10:19:33,176,从第一部的重感觉轻故事到上一部的煽情故事片，再到如今这个标准的贺岁喜剧，韩寒已经确定且自我认可了自己作为行活工匠的身份。曾经的意见表达者如今以拜年逗乐谋生，这没有什么问题，每个人都有自己的选择，谁也没有义务必须一直悲壮或者背负什么，只是，从一个人的改变见微知著地看见大环境剧烈的、不可抗的变化，这多少都令人唏嘘。
西楼尘,看过,还行,2019-02-05 17:59:28,195,你人生顺遂无波无澜，没有故事却想要故事；他生活起伏波谷波峰，太多故事只想要结局。成年人的崩溃是从借钱开始的，少年的童贞是从失去梦想终结的。原来捱过多少炒饭的日子和幻想赛车的夜晚，还是要在财富面前善舞长袖绕梁钢管。自尊绣在胸口文在心头，用一千天记住一千个弯道，从没有谁的人生能飞驰。
西帕克,看过,还行,2019-02-06 15:06:46,35,韩寒其实是退步了，叙事很单薄，全靠段子撑，作为一部体育励志片，大半部电影却都在演拉赞助。最后的悲情英雄结尾算是亮点，结果彩蛋又泄了，典型的为了一个梗一定要把全片给破坏了。
凝叶苔簌,看过,推荐,2019-02-05 09:04:30,4617,有幸参加了上海的全国看片会。沈腾始终是我的笑点，他就算站着不动我也会哈哈哈的笑起来。这一部不是典型的韩寒风格，融合了一部分开心麻花在里面，整体出来的效果和笑果还不错，尹正真的是惊喜中的惊喜，发挥得太好了。
慕云舟,看过,力荐,2019-02-05 10:02:45,1461,韩寒的第三部电影，依旧很好笑，但笑过之后听《一半人生》哭成泪人，我知道这辈子自己再也不可能像张驰那样不顾一切踩脚下的油门，我才26岁，就接受自己平凡逐流的人生。韩寒用喜剧掩盖无数人的失意落寞，触碰他们内心最深处的痛感，虽是喜剧但有灵魂有情感温度。韩寒和他的电影都更加成熟，必须二刷
南悠一,看过,还行,2019-02-05 15:09:48,25,比起其它商业片，它有一种不适的真诚，一种粗糙的感动。喜欢电影里的比赛结尾，中年人（中产阶级）是否该拿出张弛的精神，去解决你们该解决的历史问题，哪怕失控？否则，我们的人生都像那辆破车，一直在矜持，这也不好那也不好，看似没有修好的可能，我们的审美就一直这么不适下去了。
谋杀游戏机,看过,推荐,2019-02-05 12:14:56,3912,最近在重读韩寒的书，在他的赛车场上跑车，走访了他和他的赛车圈朋友们，这么多年他真是一点都没变。飞驰人生比前两部更甚，是韩寒个人性格、爱好、审美趣味的集中展现。前半段依旧充满直男土味冷笑话、抖机灵的段子，后半段在电影质感上有了飞跃式提升，专业度与娱乐观赏性结合满分，看得我寒毛直竖，改装特效、板凳练车好燃，末路狂花直接看哭，每个大男孩都好帅。我不敢说韩寒的电影有很高的艺术价值，但在私人情感上它击中了我，很久没有电影看完兴奋和感慨到失眠了。很多人觉得韩寒去赛车是耍酷和玩票，多次拿下全国总冠军、成为国内双栖车手第一人之后，大家又说是中国赛车太水。从来人们只看得到风光，苦衷却无法为外人道，但这些对他来说都是过眼云烟了。我想谢谢韩寒，最好的偶像就是，每当你感到挫败的时候，想起他，就好像有了力量。
熊喵喵兮予怀,看过,力荐,2019-02-05 09:56:47,598,“我没有想赢，我只是不想输。”
