用户,是否看过,评分,评论时间,有用数,评论
寒枝雀静,看过,较差,2018-11-09 15:18:53,277,2.5 / 反英雄反到什么程度呢？Loser有了神力就可以直接决定他人生死？在自己星球是Loser所以到相对弱的地球来称王？到头来主角一边叫嚣着正义一边回到最简单粗暴的善恶二分，还继承了反派强者通吃的逻辑。这不是反英雄，而是倒退到反智。连自由平等的谎言都懒得编了，可以说是完全匹配当下美帝精神困境了。好莱坞主旋律拍着拍着到这个程度在价值观上已经和《西虹市首富》一步之遥了吧？
九個9,看过,较差,2018-10-07 09:28:44,267,sony以后还是全权交给漫威制作吧
蜉蝣,看过,还行,2018-11-04 20:31:56,29,前40分钟算得上是佳作了，线索埋得足以支撑起整个系列的剧作量，动作场面非常有设计感。结果马上画风一转推翻自己的好剧本七拼八凑过时情节，漏洞百出还一点都不酷。而这类电影如果都不酷，还看什么？
亵渎电影,看过,较差,2018-11-14 03:30:25,156,超级无聊的剧本，毒液附体突然非要拯救地球的逻辑恐怕连编剧们自己都不懂，整部电影下来没有暗黑，也没有喜剧，什么都没有，汤老师除了帅，也什么都看不到，如果这部无聊的超英大片有一点好，就是那几个酷炫的特效打斗慢镜头吧，算是良心的烧钱了，确实跟当年的【猫女】那类大片一样无聊。汤老师和女演员之间火花，还不如他和同性的毒液呢，感觉汤老师只会跟同性来电。
九只苍蝇撞墙,看过,较差,2018-10-11 12:13:05,165,后半程两滩大鼻涕互相飞来甩去，有点反胃。剧本写的太差了，在等看鼻涕出现的过程中睡意盎然。漫威片处理不好叙事前半部的畸变过程，就是最无聊的抓马通俗剧。白瞎了帅酷的汤老师，这个角色设置的如此平庸，谁演都不会有本质区别。
邓安庆,看过,较差,2018-11-11 11:30:26,147,看到后面感觉被当傻子一样戏弄了。大哥，你连角色行为转变的心理铺垫都懒得弄了吗？
DY,看过,较差,2018-10-05 15:25:43,100,Why does it need to be PG-13? Pussy!
瑾朵朵,看过,推荐,2018-11-10 13:50:03,28,毒液就是寄生兽里的擎天柱，才来地球几天啊就对地球文明爱的深沉
焚紙樓,看过,很差,2018-10-07 18:11:34,114,可貶的地方很多，但原罪想來想去只有一條，就是作為一種超能力，實在拍的太不酷了。都2018年了，還有人會對Alien、Prototype、甚至Spawn（就是抱著想看本作的影子才進場）都曾翻玩也翻紅過的轉態能力，有多少超乎期待的新鮮感嗎？就像湯姆哈迪和這個主人公設定的年齡差距一樣，掩不住的加齡臭氣。
大海里的针,看过,推荐,2018-10-20 16:15:19,17,两版毒液的区别：《蜘蛛侠3》里的是暗黑版蜘蛛侠，《毒液》里的是寄生版舔食者。前半段有点像喜剧丧尸片，并不是特别差，可以放心观看。
心生,看过,推荐,2018-11-10 23:45:32,11,(11.09)观感好棒啊！汤老湿本来就是那种酷帅性感加可爱的，这次再加上调皮的毒液，怎么讲，可以说是赏心悦目了。追车戏比较High，毒液拖拽摩托车那个镜头太酷，最终大战两个慢镜更是帅到天翻地覆。台词各种“inside”，听着真是有点羞涩啊哈哈哈。还有比如“有点喜欢你了”、吻是毒液的主意等等，感觉眼看着他们自己就把旗给举起来了这是！？
王写写,看过,较差,2018-10-03 15:27:37,87,混合了恐怖片，灾难片，怪兽片的手法，本质讲的则是两个屌丝的逆袭。所以你将看到：充分发掘了自身喜剧潜力的汤老湿；全片几乎一直湿漉漉的汤老湿；没有与汤老湿产生一丝火花的米歇尔；总像怀揣着大阴谋的米歇尔；以及她那对和汤老湿嘴唇一样粗的眉毛；一位看上去会被飞天小魔女暴揍、说话细声细语毫无气场的反派；史上最萌最善良的毒液；史上最弱智最龙套的暴虐；当然还少不了大法自家的PS4广告。总之，忍受了四十分钟尴尬无聊的炒鱿鱼分手等铺垫后，也没带来更多的刺激。把一个料足的系列漫画生生整成了山寨版寄生兽。不过平心而论，压轴的胶水大乱斗在视觉设计上还蛮有良心。如果你不熟悉毒液，本片将告诉你它不仅是个凶狠的共生体，更是吐槽大师和情感专家。对不对味儿无所谓，毕竟PG13最重要。好在最后重现了一小段“天生杀人狂”。
瓦力,看过,较差,2018-10-06 22:22:54,64,谁要看长着坏蛋脸的人类大救星啊，我们期待的是亦正亦邪的反英雄啊！看完甚至有点怀念11年前那位纯反派毒液了，这部搞成了美版《寄生兽》的视感...汤老湿的演技和毒液的打趣台词是最大看点，然而正片像按了快进一般飞速推进，部分情节快得敷衍莫名，片尾字幕又像是有意拖时长慢慢吞吞，加上两个彩蛋足足放了20分钟...太特么奇葩了！如果说彩蛋1引出下文还算有点意思，接近4分钟的彩蛋2跟这部真人电影有什么关系吗？纯粹给年底那部动画打预告？？？硬充时长太特么恶劣了！5/10
辉盾与黑刃,看过,很差,2018-11-25 15:33:33,14,简直难以置信拍得比《无敌浩克》还要烂，冗长又生硬，无足轻重的剧情实在太多，半个钟头的内容硬是扯了两个钟头讲完，毒液这个角色的性格转变也是莫名其妙，突然就和解了，突然就改邪归正了，突然就牺牲自己了，既然订了这个题材就索性一条路黑到底啊，这种半吊子的恶人谁会买账…
福华一姐小渡边,看过,很差,2018-10-17 13:30:26,13,老湿老是接这样的烂片。岂止是烂片，还是那种宇宙无敌超级大英雄，这么蠢这么俗的幼稚电影，好恶心哦。漫威disgusting了啦！Tom Hardy以前是演《倒带人生》《布朗森》和《盗梦空间》的，虽然盗梦空间是抄袭的，导演死不承认抄袭，但是故事在照搬、剽窃的基础上有创新。这几年老湿太堕落了接拍了那么多三俗电影，也脱粉了。看见就当没看见算了。很推荐大家去看一看老湿早期中期的作品，漫威只是害了他。
神仙鱼,看过,还行,2018-11-09 09:16:41,27,其实是部两个loser相恋的爱情电影（？？）因为从寄主汤老师这个人物设定的根上就已经比超级英雄还正派了，整个与毒液结合互适的过程中也没有体现任何人性方面的扭曲挣扎，所以说是反英雄，但实际还是太伟光正了，邪气几乎不见，尤其毒液被“收服”的转变过程之顺畅，只能解释为汤老师的魅力太大，连外星寄生虫都抗拒不了一见钟情了（什么“因为你”之类的是什么鬼）。当然，我也想要一个汤老师这样蠢萌蠢萌还帅得无法无天的男朋友，想要一个能读懂你心思还帮你解决疑难的爱情顾问兼保镖...最大的亮点还是动作奇观，尤其追车段落；高潮决斗只胜在不拖泥带水，其他乏善可陈。倒是致敬沉默的羔羊的彩蛋里，伍迪哈里森那变态变态的亮相有点惊艳。
陀螺凡达可,看过,还行,2018-12-09 11:47:26,14,太过时了，动作戏也毫无想象力，可惜了汤老湿和毒液趣味十足的双生戏。
twotwo,看过,力荐,2018-11-09 23:46:52,28,屌丝卢瑟一相逢，便胜却人间无数
刘康康,看过,还行,2018-11-13 23:09:44,16,作为爆米花电影当然是好看的，但无论是对于人物还是剧情都不能进行哪怕一丁点的认真思考。比如进行如此秘密而重要实验的地方，安保和监控系统居然如此差劲，一个记者在里面瞎逛都没被发现（难道不需要24小时监控实验对象的状态作为研究吗？），用个防火器就砸开了实验室的门（我感觉以毒液后来展现出来的破坏力，应该早就能撞开这门了吧？）。还有既然暴动可以随便更换寄生对象，为啥毒液非要赖在男主身上（大概这就是爱吧）？毒液对男主的爱也是迷得狠，去医院的路上把自己的弱点一股脑全给男主角说了，然后男主到了医院就准备把毒液弄死，结果毒液从医院里逃出来后第一件事就是救男主命，然后帮着男主干死了一心一意在找它的故乡同伴暴动，拯救了地球。这是什么精神？宇宙白求恩？真是怀念山姆·雷米当年拍的能让人看落泪的超级英雄电影。
二月鸟语,看过,较差,2018-11-05 05:22:26,37,这片剧本问题很大，一个毫无想象力的故事，加上毫无想象力的导演，导致整部电影平庸而令人乏味。《蜘蛛侠3》里的黑蜘蛛设定都比这个好。
天马星,看过,还行,2018-10-04 00:41:20,32,"本来期待的是人狠话不多的硬核动作片，结果端上来的软绵绵的话痨爱情片，年度落差差不多从珠穆朗玛峰到马里亚纳海沟吧！汤老师再一次发挥出《摇滚黑帮》式的萌贱属性，但依旧拯救不了充满了上世纪九十年代老梗的剧本硬伤。「You die, I die.」，好吧，这俩二傻子要缠缠绵绵到天涯了。"
苏乏,看过,较差,2018-10-04 10:28:13,43,比较有趣的是毒液的隐喻，基本对标毒品，变强和宿主与寄生体的对话都形同致幻（蜘蛛侠3里面居然是有毒液的），除此之外，这片真是垃圾到没话说
请保持高冷,看过,还行,2018-11-05 22:25:49,11,三星打底
竹和,看过,较差,2018-10-06 14:16:55,39,本想打平庸的分，但事实是对之前所有打三星电影的不尊重...那么好的卡司用脸谱化的表演讲了那么无聊的一个故事，而且这个故事山寨汤老师已经在升级里面讲过了！作为起源电影没有情感铺陈，一切看上去都那么肤浅...倒是彩蛋精彩的多
仿真男孩哪吒,看过,还行,2018-10-06 06:27:06,23,从来没想到毒液能比汤甜还要招人喜欢。低音炮、高情商、宽肩窄臀大眼睛一口好牙，抖包袱撩妹一招制敌齐活，多好的外挂。女毒液算是惊喜，给无敌哈里森众筹植发的梦想终于实现。俩彩蛋，总体还是漫威式无脑刺激，汤老师还是适合人狠话不多的角色。腾讯牛逼！
荞麦,看过,推荐,2018-11-19 22:53:23,17,所以以后汤老师交女朋友的话，都得3P吗……
空语因明,看过,还行,2018-10-18 13:23:11,17,跟《寄生兽》太像了。共生，生命的法则。
OhBoyDaily,看过,力荐,2018-11-11 02:22:21,21,我觉得我肯定也被毒液寄生了，不然为什么每天都好饿好饿！！！
阿呆同学,看过,力荐,2018-10-10 10:16:58,21,霸道毒液爱上汤，这是一碗甘甜的狗粮，我真的心动了
嘟嘟熊之父,看过,较差,2018-10-04 22:57:18,24,让如此经典的反派人物弘扬资本主义正能量？漫威到底是嫁为人妇了不高举合家欢大旗就浑身上下不舒服。不怪汤老湿，已经非常卖力了，全程寒酸狼狈上天入地得看着就心疼。
sean cheung,看过,较差,2018-10-20 22:40:16,13,整個包裝行銷沒有問題，是導演太差。文戲都一塌糊塗，湯更貢獻了從影以來最差的演出。每句台詞都裝腔作勢，演的記者沒有任何記者的樣子。而且整個流程上劇情不能激起任何懸念。但動作場面也不能說難看，只是真的不刺激。
zy_,看过,较差,2018-10-17 23:19:53,11,对我最差的部分是好不容易看完还要给朋友解释为什么不喜欢= =
SleepWalker,看过,推荐,2018-10-06 16:10:47,7,剧本前慢后赶，确实不成。但是汤老湿这么卖力的表演能不加颗星吗！还有姆爷的主题曲也太够劲了！其实我觉得最该骂的是本片的选角导演，汤老师肯定不是你来定的，然而其余人看看你选的米歇尔威廉姆斯一个文艺片女神你让她来搭风骚的汤老湿那可能来电吗？还有里兹阿迈德我对他的印象还停留在《罪夜之奔》的弱者上，形象那么怂气场那么弱怎能担纲反派大任？作为商业片还是绝对合格的，旧金山追车戏和结尾固液体大乱斗的娱乐性足够，暴乱转移宿主的部分很有老派B级片的感觉，可惜为了日后构建蜘蛛侠宇宙把血腥的毒液变成了温顺的小狗，还自带吐槽功能。但是千万要继续拍续集啊，就凭结尾首彩蛋我就要看老湿怎么和天生杀人狂飙戏！
道臣岚,看过,还行,2018-10-05 14:04:44,4,没有传说那么难看啊，毒液还是很可爱的！一度脑补绿巨人能不能也这样处理角色关系。我喜欢中间那场追车戏，piu地把俩车撇开一丢丢哈哈哈哈哈笑死我了。菜单超级惊喜卧槽
小雨滴,看过,力荐,2018-10-09 13:36:30,9,热爱地球只吃坏人头的毒液，埃迪给别人发信息用的是QQ，哈哈哈，强大了我们的腾讯企鹅
RUNE,看过,较差,2018-11-09 13:24:43,8,一个外星生物，不远万里来到地球，毫无利己的动机，把地球人民的解放事业当作它自己的终生事业，这是什么精神？
点击即刻爆炸,看过,还行,2018-10-03 22:09:11,2,湯老師的演技是沒話說的，據說跟毒液的動作都是本人親自演的，那就很爆炸了。劇情近乎直白，毒液性格的轉折跟與宿主的磨合也是不足夠。不過期待降低了問題也不大。
鼓腹游,看过,还行,2018-11-11 10:22:48,3,故事线重改，着重在塑造角色起源导致前半段略显冗长，其他角色尤其反派塑造比较单薄（似乎是超英单人电影通病）。整体风格变成了卖萌耍贱逗乐，效果出奇的好。故事流畅，但剧情简单，值得一提的是视觉效果尤其的出彩，大院线3D毒液对战那几场，全景多角度视觉环绕，相当惊艳，真是视觉盛宴。是部非常棒的爆米花电影。7.2
王食欲,看过,还行,2018-11-21 06:29:00,7,真爱就是，咱们俩都是彼此的loser
ZeonGin Sou,看过,较差,2018-11-09 10:03:22,9,漫威版寄生兽。一级硬汉汤姆哈迪演弱鸡怂包简直难以被说服。主线信息量少得可怜。暴力镜头很腾讯，懂国情。只能说，理解它只是起源故事。遗憾的是，那年夏天邪气炸裂的毒液，已经被腾讯化成正派了。阿弥陀佛。
胖达叔,看过,还行,2018-11-13 11:50:11,5,为了看那位无所不知的牵狗老人。R.I.P.
贺兰迈克,看过,较差,2019-02-11 05:11:45,3,堂堂毒液居然拍出了《寄生兽》的感觉。通常大厂超英的登场作都有结构短板，加上除了汤老师外其他的角色全都演技掉线得像是县剧团的让人提不起兴致。汤老师是真把呆萌诠释得丝丝入缝，但可惜一个大神带不动一群坑。
戴七个表,看过,推荐,2018-11-10 18:26:22,12,一个外星人，不远万里来到地球，不为名，不为利，只想帮汤老湿追回前女友，这是什么精神？大概这就是共产主义吧。
又又,看过,还行,2018-10-20 19:09:44,1,两个loser的结合，毒液有点萌。现在都不炸纽约了，改炸旧金山了，跟蚁人一样。
东篱,看过,推荐,2018-10-14 10:34:25,10,Venom非常可爱，看得很过瘾，全程聚精会神。
kylegun,看过,推荐,2018-11-17 03:23:37,3,旧金山飞摩托轰掉几条街，报业大堂烟雾弹反围剿，火箭反射基地双煞对决……动作场面还成，但有Upgrade珠玉在前，附身格斗似乎没玩出太多新东西。剧本也是凑合过头，唯有彩蛋让人振奋一下不得不期待续集
樱花飞舞时,看过,还行,2018-11-10 01:59:53,8,赢了商业输了一点口碑
Lycidas,看过,还行,2018-11-10 11:58:52,3,难道不是一部比deadpool好笑一百万倍的单口相声电影吗？
深夜的阿斯伯格,看过,还行,2018-12-02 14:26:01,1,没想到当今电影工业的大份额电影还在拍这种街头追车戏，结尾两只毒液打斗简直就是两瓶打翻了的墨水瓶的升格镜头。
城南草木生,看过,推荐,2018-11-09 21:30:46,3,没关系，是爱情
Mosquito史歌,看过,推荐,2018-10-05 22:38:58,4,地球loser和外星loser联手咸鱼翻身的故事。演员魅力远大于角色魅力，虽然完整讲述了这个地球loser是如何一步步把自己作死的，但有些沉闷拖沓，而且人物设定总觉得类似马奎尔版蜘蛛侠。按照故事设定，那些限制级的动作场面确实没有必要，目前的评级已经足够，该有的追逐和打斗都不缺。boss和主角能力类似，类型雷同，像蚁人那样偷懒。毒液明明是反派却搞起好人的活，和自杀小队差不多。作为超级反派电影，这属于反反派类型。
Justice Served,看过,还行,2018-11-09 22:10:54,4,让我脑子充满黄色废料的爱情喜剧。各种play都不用脑补的。
儿子,看过,还行,2018-11-11 00:28:33,2,不够狠 不够燥 不够皮 不硬核 但好看
卡卡西,看过,推荐,2018-10-05 14:00:02,5,日范的卢瑟电影真是潮流 这不 索尼和漫威爸爸也开始走此路线 腾讯爸爸竟然也是金主 男主在里面用QQ聊天 我… 结尾真的正能量啊 人间不值得 小人物谁不期待超级英雄可以拯救弱者不再受欺凌呢 号外 第二个彩蛋在暗示索尼打造的新的蜘蛛宇宙故事 老蜘蛛侠帕克已死 各种蜘蛛侠即将登场
带鱼刺身,看过,推荐,2018-10-07 17:32:28,2,竟然是傲娇小可爱…………
高压电,看过,很差,2018-11-16 00:09:08,4,资本家电影讲了一个科学剥削故事，满足了粉丝的美国梦，赚了很多钱，这整件事看起来真是太coooooooool了.
蔕,看过,还行,2018-11-09 23:01:07,1,非常一般，剧情没有精彩点，除了毒液真身出现后一个小高潮和结尾的斗嘴，整片剧情毫无新颖，没有激情，很多情节点刻意卖萌但效果并不好。汤姆哈迪最好的作品还是勇士，除此外真的找不到亮眼的作品了
大时代.歌姬,看过,还行,2018-11-14 12:20:09,6,"倪匡在六十年代写的卫斯理故事《眼睛》，讲外星生物入侵，把人类当宿主。外星生物的长相也是蠕动的无形之物。
查了下毒液是八十年代创作的。
again，倪匡又超前了。"
薇羅尼卡,看过,推荐,2018-10-05 11:44:00,7,以为是个R级血腥暴力暗黑片，其实是部萌版《寄生兽》！毒液为啥这么快就跟汤老师坠入爱河了，进展有点过于神速！而且竟然还为了爱情背叛了自己的同族！故事三星，前戏太长；动作四星，毒液激萌。
狼矛,看过,推荐,2018-11-14 13:24:47,2,男主和毒液的互动比和女主的互动还甜
kissdemon,看过,推荐,2018-11-10 17:31:10,2,放低期待，至少在毒液决定拯救地球之前还挺好看的，轻松愉快有笑点，追车戏也挺刺激，毒液蠢萌蠢萌的，汤老师是怎么做到又废又性感的，真是个谜。毒液突然决定要救地球，剧情真是断崖式下跌，搞得我满头黑人问号，只能相信是毒液爱上了汤老师，人间有真爱（比心
江湖遠人,看过,还行,2018-11-09 02:58:49,9,整体观影体验尚可，但看完回过味来，又会觉得节奏有点奇怪。整个剧情的节奏可以说是比较古板的，前期的铺垫很漫长，但是最关键的一点，毒液立场的转变，却显得很是突兀。反派的形象和动机都很传统。相比于最后的大型寄生兽打斗，中段的追车场景和狭小空间的打斗非常精彩，女毒液是全片亮点。如果未来CCTV-6播这部电影，我还是会选择放下遥控器，但仅此而已。
有心打扰,看过,较差,2018-11-17 13:56:43,3,就放在超级英雄的范畴里评价，精彩程度也是属于中下的了，票房竟然还挺好。看来这段时间，大家在电影院实在是没有太多的选择性。
sosovipp,看过,推荐,2019-08-02 19:58:08,1,这个超级英雄=Loser+Loser，莫名戳中了笑点。动作戏不错。
男娼起义,看过,2018-11-04 16:22:49, ,3,天天寄生在甜心身上，毒液不会得糖尿病吗！
狮子青铜,看过,很差,2018-12-10 21:13:10,3,一星用来哀悼自己花掉的时间，看毛片至少射精之后就可以关了，这种没啥可射的东西实在是……
狗富贵,看过,还行,2018-11-13 11:01:48,2,造型真的丑……
尚在影,看过,较差,2018-11-04 17:08:03,4,"迪尼家庭观，漫威合家欢；
商业一时爽，沉思放一边；
角色设定弱，反派真不堪；
唯有汤老师，能多看几眼；
票房不景气，毒液你救难；
扯了那么多，片尾等彩蛋。"
夜神月的猫,看过,还行,2018-11-11 10:55:38,5,为什么我感觉这更像人和高级宠物的关系，夏目贵志+娘口三三？（捂脸笑cry~）
Sailor Meow,看过,推荐,2018-10-07 20:16:06,2,其实应该拍R级的，索尼无胆。除了汤哈迪全片一无是处，但是好像有了汤哈迪又勉强算能撑起来。基调很奇怪，居然很好笑？看着汤老师的脸我问我的良心应该如何打分，良心给出了答案
