用户,是否看过,评分,评论时间,有用数,评论
姨妈的鸭,看过,推荐,2018-11-16 19:08:18,65,我没想到外星人打架这么娘炮，扯衣服撕头发的……
大奇特(Grinch),看过,2018-11-04 16:34:50, ,49,开头简直承接《异星觉醒》的结尾啊，从《毒液》中能看到之前各种寄生电影的特点，从上世纪50年代影射麦卡锡主义的《天外魔花》到70年代传染病恐慌的《毛骨悚然》，再到80年代的《异形杀手》和90年代的《黑衣人》的外星人殖民扩张，该类型到如今已经非常成熟。《毒液》里借狗体逃避危险，再度寻找合适的宿主，也是来于《突变第三型》和《异形杀手》的变奏了。这片就是前戏进展缓慢，废戏太多，幸好毒液这个“知心大叔”还算萌。
内陆飞鱼,看过,推荐,2018-11-09 16:28:15,38,以往大银幕上的漫威超级英雄们，太过于英俊潇洒，伟、光、正，神性大于人性，这两年越来越人性化，而且剑走偏锋，怪、蠢、贱、萌、毒互生，也是一种想象力，这次“毒液”不仅像个“人样”，还是尖牙利齿的怪物，汤老湿和血盆大口的怪兽完美融合，基本无违和，还是挺好玩的，一边要帅帅的正义，一边要怪怪的邪气，还要保证老少皆宜，不吓到小朋友和花花草草，国内的创作人是不敢想象的，好莱坞不仅可以把邪典造型玩成主流审美，还可以嫁接主流价值观，这一点不仅仅是工业的问题了。
殇潮|Enigma,看过,较差,2018-10-04 19:14:13,420,其实这是爱情片吧，霸道外星生物爱上我。打斗场面无比咸湿，体液、舌头、大嘴、哈喇子横飞
阿德,看过,推荐,2018-10-04 20:44:06,57,和预期中基本一致，娱乐性和笑点十足，毒液的造型和特效加分，汤老师加分，汤老师和毒液的“合体”加分。
汀,看过,还行,2018-10-05 07:09:21,65,IMAX3D arguably前60-80分钟都是废话(围啸)我怀疑是因为预算不够(x蛮汤老师独角戏的 但前期的Eddie真的不怎么美味 要Venom大型上线了才…然而他上线还有什么老师…。故事非常简单 人设也没有精彩 不过人外还是有人外的优秀之处。(滴
frozenmoon,看过,还行,2018-11-12 21:45:40,44,作为一个特别不喜欢超级英雄的观众，这是迄今为止唯一一部没有睡过去的超级英雄电影。善恶进入同一个身体，不就是一个“人”吗？善和恶自己纠结对话，反英雄的超级英雄。
私~川流,看过,推荐,2018-10-04 17:30:46,32,剧情有点简单，特效有点五毛，怪长得有点恶心。幸好，汤老师还是可爱的。
20个小明≯,看过,还行,2018-11-04 17:19:52,56,一部跨越星球与物种的爱情片……坐着火箭，穿越大半个银河系来吃定你……颤颤巍巍的毒小液摇摇晃晃来到人间，从没有你我本活不了，到慢慢发现你的好，再到确立关系后约法三章……《一对巨萌cp的诞生》……（强烈预感汤师傅公寓打人那段会被p成扯兰州拉面的gif……
影志,看过,还行,2018-12-24 14:28:31,20,小毒毒，你好毒。剧情比想象中简单粗糙，好在短小精悍，娱乐一下，无伤大雅。
