用户,是否看过,评分,评论时间,有用数,评论
zhang 2nd,看过,推荐,2020-09-29 16:57:04,4040,沈腾马丽>邓超闫妮>宁浩葛优>陈思诚黄渤>徐峥
木石子,看过,还行,2020-09-30 00:03:13,9583,为什么这些导演觉得旅游村、度假村可以代表中国农村呢？
李棂夏,看过,推荐,2020-09-29 18:23:22,1803,金马影帝范老师演技赛高，冒雨拿颜料盒摔倒的画面太好哭了，哪怕岁月蹉跎、白发苍苍，他还是惦记着没有上完的最后一课，这才是中国好老师。
天马星,看过,还行,2020-09-28 19:45:53,5834,也就徐峥的《最后一课》能看吧
猫小森,看过,推荐,2020-10-01 10:04:00,1603,《北京好人》简直梦回我和我的祖国里的《北京你好》，葛优要给我笑吐了，陈思诚的《天上掉下个 UFO》实在没想到会是这么个走向，都有手工耿那味儿了。。。里面的方言都还蛮好的，不出戏，王源的陕西话不得不说真的学的很像啊。总体来说还是值回票价，细节看得出是蛮用心的，全明星联盟诚不我欺！
灼灼裴质,看过,力荐,2020-09-20 20:16:27,7734,徐峥的才华确实被低估了。“乡村教师”这个题材的电影展现出他某个程度的细腻——他很擅长从一个小的切角去展开一个宏大叙题，这样的融合不会过于煽情，却分外让人感动。
第達里克·莫菲,看过,推荐,2020-10-01 10:28:54,2150,毒辣一点说，在群星献礼的电影里，对于演技最大的考验就是，看谁更能脱离本人、而更贴近角色地存在。不像搞笑艺人的闫妮、不擅长忽悠的葛优，还有差点没有认出来的王源，都是莫大的惊喜。说实话，王源出场后很久我才依稀能辨认出来，不再是昔日的偶像艺人或者综艺明星，他把自己打扮得土里土气，演出角色本身的色彩，远比穿着光鲜亮丽戏服的刻板表演更让我感动，也更像是一个合格的演员。
一口大井子,看过,还行,2020-10-01 02:33:15,4306,全明星阵容，小品式的剧情，每段还配首歌，惠农政策和农村新貌展示一遍，加俩主持人串场就是春晚了。
ChriSteve,看过,推荐,2020-10-01 10:07:13,1501,吹爆《北京好人》，观影感觉就是上一秒还让你笑得前仰后合，后一秒就让你哭出来，农村医保问题太扎心了。《天上掉下个UFO》看起来很荒诞，但是背后的农村交通问题又让人没法不深思，拍的还挺巧妙的，挺有陈思诚的个人风格。邓超的《回乡之路》太有陕北的味道了，从演员的方言口音到服装搭配，尤其是王源的黑框眼镜+黝黑晒伤妆，看起来太接地气了。最好哭的还得说是《最后一课》，看完了久久不能忘怀，最后一幕老范和学生说了简单的几句话，却让我哭疯了
鬼腳七,看过,还行,2020-09-22 18:35:11,4377,最后一课＞神笔马亮＞北京好人＞回乡之路=UFO，表演方面能看看范伟老师和韩昊霖，求求别折腾葛优老师了，心疼。PS，陈思诚、徐峥、邓超都拍了老婆，真的就…各有各的境界吧。
