用户,是否看过,评分,评论时间,有用数,评论
黄悦_,看过,推荐,2017-07-27 07:13:40,20913,开篇长镜头惊险大气引人入胜 结合了水平不俗的快剪下实打实的真刀真枪 让人不禁热血沸腾 特别弹簧床架挡炸弹 空手接碎玻璃 弹匣割喉等帅得飞起！就算前半段铺垫节奏散漫主角光环开太大等也不怕 作为一个中国人 两个小时弥漫着中国强大得不可侵犯的氛围 还是让那颗民族自豪心砰砰砰跳个不停。
张佳玮,看过,推荐,2017-07-31 09:48:28,9076,开头的水下长对决戏可算华语电影的顶尖存在；驱逐舰、导弹和坦克在商业片里这么狂用也是了得；镜头运用和笑点插入都很好莱坞爆米花，不功不过；从头打到尾是真拼，虽然镜头也有略乱时；因为没啥期望值，所以被吴京的野心吓了一跳；吴刚、于谦和丁海峰老三位像炖烂熟的牛筋，嚼着就舒服。
夜游,看过,推荐,2017-07-27 20:32:24,5668,很用心啊吴京导演，小看你了，确实在导演上下功夫了拉片子了，知道借鉴是好的。至于大家比较反感的小粉红情绪我觉得那些桥段都是主旋律必备啊是稍微有一点过但还可以接受。最好的地方是吴京节奏掌握得很好，知道张弛有度，这点很难得。
圣墟,看过,还行,2017-07-27 09:01:53,1713,电影用的胶卷挺差的，故事过度也差，地方部队还没太多展示就死去，反正各种问题。但就是能吸引人看下去，就冲这，为什么要这么鄙视敢想敢去开拓的人，不允许他们再去拍，直到能有更好的人，拍出更棒的更出彩的电影来呢？
我要复仇,看过,推荐,2017-07-24 17:40:44,3242,《战狼2》的动作场景和战斗装备全线升级，热血的打斗动作从头打到尾。《战狼2》游走在电影审查红线的边界和政治安全的缝隙，是部延续了第一部极具煽动爱国情绪的国产动作大片。如此制作精良的影片，还请多来一点。
使君子,看过,推荐,2017-07-27 08:10:26,2792,整部电影延续1的风格，热血。场面比1来的要大，打戏动作不错，吴京挺适合演军人的，电影之前的中国梦片段他都念的劲儿劲儿的。整体来说还不错，不过张翰太违和了，一出来就一股雷阵雨的画风。
青年人电影协会,看过,力荐,2017-07-27 09:30:40,5216,吴京厉害了，身为武打演员，能拍到这么高标准的大场面的枪战戏，为你点赞。热血男儿，荷尔蒙爆发！
天台杀手,看过,推荐,2017-07-27 11:06:00,2255,上一部是傲气雄鹰，这一部是第一滴血4。吴京算是国内导演对类型片感觉比较准的，作为动作片钱都花在有效地方，整体火爆流畅，有大片气魄，创作上也足够真诚。人物设计也都不错，连张翰都很可爱了。如果吴京不像当年甄子丹那样一时膨胀、在银幕上独占聚光灯，肯定可以走得更远。
呓芗鎏哖,看过,推荐,2017-07-28 22:09:14,1032,张翰脸比女主白太多了，请问用了什么护肤品？！
鹿菏,看过,力荐,2017-07-29 22:21:50,2187,几个网红拉出来弹弹琴你们就说燃了？彰显我大国气象荷尔蒙满屏，这TM才叫燃！！！这部电影告诉我们中国人也是可以拯救世界的！
今天也要加油鸭,看过,力荐,2017-07-27 10:08:25,1927,燃！大场面真的不输国外大片不尴尬，吴京打戏很精彩，水下搏斗看着也很有力，必须安利一下张翰，这角色简直就是个彩蛋啊，承包所有笑点，为他量身定做的哈哈哈，彭于晏可演不来。是真的好看
frozenmoon,看过,还行,2017-07-28 18:08:48,1149,吴京确实很聪明，很鸡贼。在一面大旗下呈现了一出重工业娱乐电影。他一直调控着说教和娱乐的比例，娱乐多了，尺度不被允许，说教多了，大众不接纳，比例把握非常微妙。这其中还是有一些“奇侠”化的内容，比如用玻璃碴子当飞镖杀敌一类，只不过被遮盖掉了。“老爹”演过美剧《搏击王国》，力荐那部美剧
