用户,是否看过,评分,评论时间,有用数,评论
曾良君,看过,推荐,2018-02-24 19:40:21,164,好看写实，但夏楠那条线太过古怪和整体氛围不搭，一秒出戏，并且因为中国电影迟迟不分级的缘故，电影院里非常多的小孩，这点太糟糕了。
木卫二,看过,还行,2018-02-18 00:01:07,241,活不错。一个人的林超贤，可以追赶荷里活level的战争片。你对血腥场面的恶心、反感和排斥，恰好符合了战争的本质。
雨前羽街,看过,还行,2018-02-19 21:50:48,334,珍惜一切在国内看到的R级片
谢谢你们的鱼,看过,较差,2018-02-10 21:31:18,3357,真人版吃鸡和低配版《使命召唤》，一场大型的闯关游戏，没有人物，没有剧情，没有主题，就是一通狂打，越到后面越视觉疲劳，不过最重要的问题还是空洞乏味，毫无起承转合，看完了连角色都没有认全，而作为主角的这些人在战场上装备都能随便捡，连坦克都能捡到，我也是服了编剧了。
泥铛,看过,较差,2018-02-09 17:28:24,2258,虽然不像吴京老师的片子那么油腻 但是全程疲劳轰炸 毫无章法 非常不喜欢。
亵渎电影,看过,还行,2018-02-23 16:38:23,204,节奏全靠配乐撑着，靠剪辑的快和机位的多撑起来的伪节奏感，如果没了配乐，也就无法看了。
璐璐,看过,还行,2018-02-16 15:08:59,239,有点看懵圈了，整体上比50亿那个片好但也只是一点。林超贤的那些直男热血元素很突出，可惜大密度的手持快剪强重音效配乐一顿狂轰滥炸完之后就没剩什么了。不喜欢这种策略，节奏太快全程狂赶枪战对决一场接一场，实则是对剧作方面不自信的露怯，海清那条线问题很大。尺度够大，这是优点。2.5
风间隼,看过,推荐,2018-02-05 20:14:53,416,“勇者无惧，强者无敌”的海军宣传片。动作戏份量足够，制作精良，爆破、追逐和军事打击场面都已经是好莱坞水准。没有《战狼2》那么多的草根国族YY，全是精准的节奏和奇观在主导影片。林超贤还是最擅长表现人在紧迫压力下的极端反应。张译和海清的表演很到位，狙击手的台词很别扭。
南“珂”一梦,看过,很差,2018-02-16 23:59:29,305,没剧情，从头到尾机关枪突突突，这也就忍了。但女主海清扣100颗星，完全不能忍，根本就是个疯婆子。
恶魔的步调,看过,还行,2018-02-16 21:13:45,161,没被撩到……可能是因为我不够直
我是一只鱼3008,看过,力荐,2018-02-16 15:02:59,446,太好看了，比战狼2好看多了
南先森,看过,力荐,2018-02-18 22:08:08,248,强烈呼吁电影分级制度！
Vamei,看过,还行,2018-02-20 22:26:32,113,咱真的不用讨论一下电影分级？我的前排坐着一个小孩。
邓安庆,看过,2018-03-12 16:42:52, ,70,电影里这么多血腥残暴的镜头，居然还有几位家长带孩子来看，真是不知道怎么想的。后来小孩子们觉得电影无聊，在放映厅里跑来跑去，我只能暗自庆幸孩子们没有认真看电影吧。哎，这些家长说他们什么好呢。
吴点半,看过,较差,2018-02-09 23:19:26,1958,突突突突突突突突突突突突突然后砰砰砰砰砰砰砰砰砰砰然后就结束了，基本没剧情，为了爆炸而爆炸，张涵予就是打酱油的。跟《湄公河行动》差了100个《战狼2》的距离。尴尬尴尬。
蜉蝣,看过,推荐,2018-02-05 18:22:08,305,故事性太弱，整个片狂轰滥炸看下来特别累。但战争戏扎实，场面逼真，也没有个人英雄主义。超出预期。
木西,看过,还行,2018-02-16 14:51:03,150,生干两小时，累心
九只苍蝇撞墙,看过,2018-02-18 23:26:55, ,50,剧情要是和战狼2接起来就好了：一群射击机器人和葫芦屯野生黑社会在非洲并肩战斗打坏人，合家欢适合春节看
君不知,看过,力荐,2018-02-09 17:09:42,477,看的首映 先说一下全片无尿点 节奏紧张 代入感很强 其次很血腥。。震撼了 这还是中国电影吗 竟然都没剪掉 最后就是春节档期可能会炸 极为震撼
朝阳区陆依萍,看过,还行,2018-02-16 16:41:21,99,是动作片！有缺陷，也有视觉疲惫的部分，但后半段营救人质非常厉害！比《战狼》好的是没有刻意塑造金刚不坏的英雄形象，反倒着力人物群像，林超贤更证明了不是所谓的武器升级，大炮导弹狂轰滥炸就更厉害，而是如何编排，运镜，控制节奏，扬长避短！#家长们长点心，不要带孩子来看，这场就好多吓哭的#
mlln,看过,还行,2018-02-21 16:56:42,77,commercial nationalism.
大海里的针,看过,力荐,2018-02-17 14:48:40,174,林超贤已经超神了，如果好莱坞大片是史泰龙模式，那《红海行动》就是COD死亡模式！一个炸弹打过来血肉横飞的血腥场面，在国产片里真是很少见了。
猛汉世雄,看过,推荐,2018-02-19 22:08:28,146,黄景瑜也是绝了，蓝天的蓝不会写，狙击的狙也不会读，台词照例说的像在嘴里含了两颗枣，以前含大枣，这次略有进步，含的枣小了一些，不过黄景瑜运气也真是好，拿到这角色太帅太苏了，看得我淫笑连连。电影没啥好说的，劈劈啪啪打满两个钟头，打得血肉横飞，不适宜老人及儿童观看。希望世界和平。
秋田木,看过,力荐,2018-02-18 22:02:37,241,豆瓣有些自命清高的观影者。。不知道如何满足他们。无所谓，很燃了，能抓住眼球的就是好电影，全片高能
突然粉碎,看过,较差,2018-02-16 05:13:53,1505,已经有《战狼2》，为什么还要拍《红海行动》，是为了彰显中国海军上天入地无所不能么？全员不听指挥没一点军人的样子，计划总是失败PlanB也陷入尴尬险情，想吹中国军人灵活机智都没得吹，没勇气拍成《侠盗一号》全员阵亡，反而拍成作死小队贻笑大方
西楼尘,看过,较差,2018-02-11 13:58:09,1362,听到助理记者被处决，夏楠不知该进还是出，捏着那个蓝色手链万念俱灰。原来她努力了这么久，还是谁也不能保护；看到两名队员的裹尸袋，杨锐再也没法撒谎，他佯装镇定，明白当军人就要有马革裹尸的觉悟。红海边的沙尘里，人们称颂着勇者无惧强者无敌，其实我是怕昨天偷了你一块糖，今天却要这样喂给你。
UFO攻击磁器口,看过,很差,2018-02-24 12:42:12,152,希望中国能够多一点正常的电影
唐小万,看过,较差,2018-02-16 13:48:45,942,完全不是我的菜，看得好累。
托尼·王大拿,看过,还行,2018-02-21 20:14:08,42,堆积动作和战斗场面的同时再配上大量流水线质感聒噪配乐其实还是挺能唬弄人的，视听双管齐下保证你没时间多寻思，血腥度相当够劲——影厅里有个孩子哇哇大哭活跃全场；看完回家第一件事是找出来《拯救大兵瑞恩》扫一眼，透彻理解障眼囤积与真正调度之间的区别。
脱钩者,看过,较差,2018-02-16 05:49:15,767,我就问问你们为何打起来？这不就比战狼2好50步嘛
twotwo,看过,力荐,2018-02-19 19:00:27,172,这才二月底，年度最佳国产片已经诞生了。另外选角真的很重要啊，你说要是选了杨洋啊，李易峰啥的来演这个……还是出场就死了算了。
小川叔,看过,还行,2018-02-26 10:52:44,46,不好看就是不好看，这是个人感受，和爱不爱国什么没关系，我始终觉得如果电影只是为了炫技巧和看爆破，真的没必要花这么多钱，还是要把故事讲好，不论是不是真实故事改编，都需要讲节奏和方式，而不是宣贯，看完记不住人物和台词，只记住爆破，我不觉得这是一个好的作品，至少我自己欣赏不来。恩。
万峰,看过,力荐,2018-02-17 23:10:38,110,年纪大了，看不了这么猛的动作片了
qw0aszx,看过,较差,2018-02-16 12:44:36,757,哪有这样从头到尾动作戏都是这种最没看头的拍法还一路拍下去一点都没改的，加上剪辑也是一个路子到底，片子到一半就彻底疲劳了，再后面看下去反倒催眠起来了... 4.9分★★☆
人生啊地不熟,看过,还行,2018-02-08 13:36:39,97,战狼+湄公河 不足20%的文戏 全程炸炸炸 人物没一个能立起来的 林超贤这次想表达的太多 却用了重复感严重的叙事手法 如果这是为了迎合内地观众青睐节奏紧张的大场面、以为直男电影会再次掀起票房高潮的话 那真的是有所误解了 而且片子的血腥程度 放到春节档实在不合适 中国主旋律为何只有荷尔蒙和重武器
小川   靜,看过,力荐,2018-02-16 00:21:20,392,實話説：很少看這麽硬的電影，被預告的大場面吸引進了戲院。果然沒失望，該有的場面很震撼，這是一個團體作戰，非個人英雄主義，比較能感動人心。沒有流量演員卻讓觀影者心中深深留下每個英雄的身影。春節看這麽燃的電影，感覺自己新的一年更有幹勁。
seamouse,看过,还行,2018-02-16 12:23:23,43,没有呼喊中国非洲妈妈了，场面虽夸张有漏洞，但还算厉害，没法加入各方政治交易就干脆从头炸到尾。在蛟龙突击队独闯龙潭这段重头戏，编剧显然没能为一次性解决黄饼危机算清楚可翻转的剧情，于是不得不画蛇添足，在营救人质主要任务完成后，来上那么一条狗尾。没载人质也不追击的坦克战也毫无存在必要。
辽远,看过,很差,2018-02-18 14:40:36,118,敢比黑鹰坠落?  意义就差远了好吧
