用户,是否看过,评分,评论时间,有用数,评论
所有团的团长,看过,还行,2017-01-28 10:24:36,94,正片没有任何电影的样子，靠着一堆老梗，所有情节瞎他妈演，所有演员瞎他妈吼。请不要带小孩子来看这个。还是会吓哭的。想看喜剧的别来，一点不好笑。密恐也别来看，会吐出来的。喜欢魔幻的要来，有点屌。
橘生淮北,看过,较差,2017-12-27 20:43:11,0,两星送给星爷吧，除了舒淇，其他的辣眼睛不提了。
dumbo,看过,较差,2017-01-28 14:04:21,141,只有王丽坤和她两个闺女那段能看
千鸟欢喜天,看过,力荐,2017-01-30 15:22:21,395,重要的话说三遍：请看粤语版，请看粤语版，请看粤语版。你就知道为啥我给打五星了。国语版笑点可能会有点尴尬，粤语版非顺畅而且粤语本身的笑点极其加分。这部片淋漓尽致地展现了当年那个拍小倩拍妖兽都市的徐老怪的脑洞大开，这是一部现在看或许你们会给低分，但十年后看你们绝对怀念的超前好片。
鹤生竹溪,看过,很差,2018-02-02 19:24:41,59,说实话 吴亦凡还是让我笑了——尴尬地笑了 奔着星爷看 最后两星给徐克 只能说...真挺难看的 有点浪费时间不推荐
阿妖、,看过,很差,2018-02-28 21:18:11,45,说真的，星爷他近几年拍的电影真是喜剧吗，原谅我只能给一星了，还不如《美人鱼》。这是星爷最烂的一部电影了。
恶魔的步调,看过,推荐,2017-01-28 19:22:40,293,#daily#九点半早场中国巨幕，这个岛上有史以来的第一场（伪）imax。今年真是异形预告片大年，到处都能看到异形梗。我觉得要不是徐克和周星驰压阵，谁敢把电影拍的这么尴尬？
Paco,看过,较差,2017-01-29 18:54:27,22,星爷这个人，一直都留在过去，但再也回不到过去了。
海棠,看过,力荐,2017-01-30 00:00:12,418,特效赞爆啦！
木卫二,看过,较差,2017-04-28 13:32:04,22,我也是只猪（蜘蛛）啊~~~亮点就是蜘蛛精和红孩儿乱入了。降魔的三段伏妖，看着不错但分飞断裂。这次借妖打妖，却始终无法摆脱拿一生所爱和BGM老梗煽情，强作欢颜的恶搞，也就是随便瞎看。看的二弟，就给两颗星吧。
风陵,看过,很差,2017-01-28 10:31:13,277,"功夫之后全是辣鸡 越来越低级 并不是所谓的无厘头 是低级趣味（刘镇伟既视感）
再配上一群狗带演员 真是醉了
看看人家伊斯特伍德80多了拍的什么 你50多岁已经拍成这球样了 呵呵哒 你也狗带吧"
烟波人长安,看过,较差,2017-02-01 13:55:34,44,难看不可怕，谁演谁尴尬。对不住啊星爷，这回是真的吹不动了。。。
京客隆小丸子,看过,推荐,2017-01-29 14:52:04,296,我觉得4颗星吧，挺好的呀。春节图个乐挺好的。为什么漫威无脑打打打能有7，8分，国产的，大家就不开心呢。
iLRainyday,看过,很差,2017-01-28 23:57:54,96,business is business。好看就去捧场，不好看就开骂。动不动扯情怀的，要么是智商下线，要么是别有用心。
相逢何必不认识,看过,很差,2018-02-09 19:14:34,33,舒淇怎么会喜欢说Rap的幼齿，西游尬篇，不过跟去年春节档其他影片比，还成
豆辛瓜辛,看过,较差,2018-02-28 22:46:47,40,冲着星爷看的，但是不得不说有点失望，看着尴尬。
吃瓜路人,看过,较差,2018-01-20 16:09:42,37,哈哈，笑死我了，这个吴亦凡不是唱歌的吗，还是不要出来演戏了，这两分给林狗，
咩十万个冷笑话,看过,力荐,2017-01-28 09:44:39,1330,被朋友拖着去看零点场，星爷和老爷双剑合璧没得说，看起来很过瘾的。另外让我意外的是吴亦凡和林更新，演的很不错了
太常寺协律郎,看过,推荐,2017-01-30 19:19:56,189,内涵的暂时不知道写啥，反正看完觉得猪八戒出乎意料的帅！林更新也好帅！！！特效好晃眼！布景很梦幻！过于华丽的布景反而让人觉得很阴森！投诉电影院的员工骗我说没彩蛋！祝你吃拌面没葱花！
猛汉世雄,看过,还行,2017-01-30 20:57:55,39,结束时我还在想：至少不像澳门风云那么烂。但是徐克+周星驰要被拿来跟澳门风云这种电影比已经很荒谬了啊！特效没得挑，跟当年的蜀山传一样好，降魔篇里妖到极点的氛围却找不到。除了姚晨其他人都演的特要命，尤其吴亦凡，连我家里人都说： 这唐僧演的不好。用稀烂演技征服观众的地球第一人，不服不行。
吃瓜路人,看过,较差,2018-01-20 16:09:42,37,哈哈，笑死我了，这个吴亦凡不是唱歌的吗，还是不要出来演戏了，这两分给林狗，
獨孤島主,看过,推荐,2017-01-29 00:48:07,211,周星驰西游三板斧：装傻、犯轴、爆宇宙。
LOOK,看过,较差,2017-01-28 22:02:55,77,被无厘头梗折磨的疲惫不堪
三童,看过,推荐,2017-01-30 18:51:03,136,周星驰和徐克这两个老妖，真是百无禁忌，什么都敢来，随时随地的解构，黄段子，重口味，蒸汽朋克机器人版红孩儿，暴力大圣，大白腿蜘蛛精……总之，不像大家说的那么难看，我觉得是部蛮好看的成人娱乐电影。台词写得毫无顾忌，只在乎真相，不在乎美感，阅世越深，越有共鸣。唯一不足是演技太弱鸡。
王这么,看过,还行,2017-01-29 18:34:09,66,作为贺岁娱乐片还行啊，特效很精彩，别有一种暗黑感，几个女妖精都很妖，故事也讲得算通顺，红孩儿造型很惊喜，败笔就是吴亦凡林更新了，演技烂到掩面无语。好想打死他们。但是四人组里沙僧变的那条鱼演技就好，大鱼萌萌哒。最后舒淇客串露一小脸，盖过全场。姚晨无功无过，但也比几个小屁孩强太多了。
iLRainyday,看过,很差,2017-01-28 23:57:54,96,business is business。好看就去捧场，不好看就开骂。动不动扯情怀的，要么是智商下线，要么是别有用心。
所有团的团长,看过,还行,2017-01-28 10:24:36,94,正片没有任何电影的样子，靠着一堆老梗，所有情节瞎他妈演，所有演员瞎他妈吼。请不要带小孩子来看这个。还是会吓哭的。想看喜剧的别来，一点不好笑。密恐也别来看，会吐出来的。喜欢魔幻的要来，有点屌。
猛汉世雄,看过,还行,2017-01-30 20:57:55,39,结束时我还在想：至少不像澳门风云那么烂。但是徐克+周星驰要被拿来跟澳门风云这种电影比已经很荒谬了啊！特效没得挑，跟当年的蜀山传一样好，降魔篇里妖到极点的氛围却找不到。除了姚晨其他人都演的特要命，尤其吴亦凡，连我家里人都说： 这唐僧演的不好。用稀烂演技征服观众的地球第一人，不服不行。
心生,看过,还行,2017-02-03 13:58:20,20,徐克在视效上的老练遇上周星驰在故事上的天马行空。周近来在审美趣味上有明显cult片倾向，放到国产大制作里比较有趣，也让前面比较出彩，但后面流于商业片套路。最大的缺点是唐僧…表演及讲台词的方式都格格不入，很尴尬，即便台词人设都不改直接换个人也会好很多吧，作为绝对主角，这效果，可惜了
放开那个浪味仙,看过,较差,2017-01-30 20:58:03,39,上一部还有黄渤和舒淇的演技撑场，这一部除了特效和无厘头的段子简直是尴尬症合集…《西游记》这个大IP已经被玩了多少个春节档了…
有心打扰,看过,推荐,2017-01-28 22:47:23,268,很黄很基很暴力，很搞很好玩很有想象力。对「西游」的改编还是周星驰的剧本最有意思。
隔壁家的桃太太,看过,力荐,2017-01-29 22:39:06,84,我蛮喜欢的，真的，想象力好棒啊，像我会做的梦，又亲切又可爱。孙悟空和唐僧之间互相侮辱损害嫉妒很好啊，唐僧是真的跪下了也很好。红孩儿的火里万马奔腾也很好。徒弟三人在《降魔篇》就只是被打服了，这里延续设定，猪就没爱过师父，悟净吃瓜。师父已经疯了，把心上人和悟空重合，迟早出事。
