用户,是否看过,评分,评论时间,有用数,评论
桃桃林林,看过,还行,2017-10-01 10:59:07,5661,始终没办法喜欢开心麻花的电影，满场尴尬到不行。甚至在身体互换梗这个题材里，也不算特别突出的，笑点的打磨程度，远不如夏洛特，虽然那部也挺奇怪的。开心麻花的问题始终是，你能感觉到他们卖力在演，一直出戏。
影志,看过,还行,2017-09-26 20:03:54,0,开心麻花回归纯粹的喜剧路线，马丽出场一开口就忍不住笑了…变身后进入女浴室的狂欢，达到全片最高潮，“好运来”莫名的喜庆，吴良太帅！2017版《你的名字》+《摔跤吧爸爸》+《激战》。“是不是有种恍然大明白的感觉？”哈哈哈…
朝阳区陆依萍,看过,还行,2017-09-19 22:12:01,5241,十一档票房冠军！比「夏洛特」好，马丽表演真的很厉害！要说Bug，可能就是拜师学艺后，练了那么久拳击的艾伦怎么还是一肚子囊肉，完全不符合人设呀....
刘十九,看过,还行,2017-09-30 00:07:23,4414,就男女互穿这个题材来说，拍的并不高明，但还算流畅。魔幻的上山学武削弱了后来逆袭的反转感觉。开心麻花的剧本还需要好好打磨。
阿怪,看过,还行,2017-09-30 21:09:10,2225,薛皓文和樊野长得一毛一样！！！
我爱罗宾,看过,2017-09-30 11:00:22, ,1452,全程保持尴尬又不失礼貌的微笑
哈利波特美,看过,推荐,2017-09-30 00:02:15,10811,个人认为比夏洛更有层次，马丽简直喜剧界斯大林，笑声是制裁性的
二月鸟语,看过,还行,2017-09-22 11:46:28,884,6.8/10三星半，真正的喜剧，旁边的导演朋友和周黎明全程都笑岔气了。类型和定位很明确，开心麻花每部电影的背后都是上百场舞台剧的演出经验，剧本的笑点每场都在根据观众的反应在调整，上百场之后绝对是一个笑点密集的喜剧剧本，电影拍起来会容易很多，虽然剧作也偏弱，但已经是这个档期最好喜剧片了。
小烨,看过,力荐,2017-09-27 10:09:05,3304,抱着打三颗星的预期看的，没想到这电影给了我五颗星的惊喜。真的好看，把反转运用到极致，笑点密集，差点笑断气。好电影能说服你吃下一切剧情，性转CP我吃下了，两个中年大老爷卖腐我吃下了，连杀马特耍帅我也吃下了……马丽太帅了，沈腾帅不过三秒，全片都很酷，燃得我都想去打拳了。
黄青蕉,看过,推荐,2017-09-26 18:56:01,2613,剧情老人设老桥段老，但是没耽误好笑，男主演得居然真可以，娘得自然娘得清新，有的角度还有点像盗版李易峰。鼓励性四星
王大根,看过,推荐,2017-09-30 21:47:16,2031,尹正那五秒客串太令人心痛了！已经从一剪梅变成一剪肥了！
大海里的针,看过,推荐,2017-09-26 21:30:15,1778,没有生硬的堆砌网络段子，没有尴尬的零演技小花鲜肉，没有像群英会一样请大牌演员客串......也许开心麻花没有做的特别优秀，但是犯的错误比同行少，就已经成功了一半吧。长评：https://movie.douban.com/review/8835503/
机智雅痞,看过,还行,2017-09-30 21:44:19,697,马丽澡堂那场戏的表演，在女星里也是殿堂级的
琦殿,看过,2017-09-30 15:30:56, ,428,马丽艳光四射，超越了女星的美。
姨妈的鸭,看过,推荐,2017-10-04 21:42:12,407,好运来那节我可以笑到过年。
张佳玮,看过,推荐,2017-10-10 16:40:40,307,“原本支持拳王的观众都转过来支持主角了”、“到了现在，我也想看看不败拳王输掉的那一刻”、“他是不要他的拳手生涯了吗？”——编剧对《Slam Dunk》是真爱啊。
Violin.,看过,力荐,2017-09-29 17:04:52,832,看了点映。全程笑点不断，而且完全不尬，是真的逗，bgm也都恰到好处，乐的我出了电影院还在回味。大情节上确实有俗套的地方，不过这已经不重要了，重要的是，下了班喝了酒的晚上 看了这样一部电影，觉得轻松又快乐～ 多一星给当天晚上的我们。
