用户,是否看过,评分,评论时间,有用数,评论
姨妈的鸭,看过,还行,2016-02-11 08:01:51,32,"有点像是邓超所梦想要达到的效果的那种电影，不太像周星驰。
ps张雨绮那个角色简直是句句血泪，全部都是用心在演啊。"
眠去,看过,推荐,2016-02-18 10:36:40,15,爱是成全
尧舜禹,看过,力荐,2016-02-08 15:39:56,38,我也是服了，一些无脑的黑子又蠢蠢欲动了，电影还没有上映就各种黑。不然也不会称作黑子。不然也不会无脑。
蘇呼吗,看过,较差,2016-02-09 20:11:46,33,哎，看来高分还真的是顾了水军刷上去的，笑点是有但也非常老套切弱，如果说这是邓超导的，对比他之前的几部那算及格，可偏偏是星爷导的，那对比以前真的是差多了，尤其那些硬生生的广告植入。且不说五毛特效，口型对不上也太让人出戏。
甜椒Oli,看过,力荐,2017-02-08 19:26:36,17,这部电影是不是大家的电影票都还星爷了。
自由的玩,看过,还行,2018-05-04 23:24:38,21,电影主题立意不错
小狮,看过,推荐,2016-02-08 22:37:02,33,剧情老梗但不让人犯尴尬癌还能自然笑趴，就像星爷一贯的风格，也只有星爷能做到。这不是艺术片，这是一个有笑点的童话故事，而且非常单纯。其实星爷以前的片子放到今天上映都未必能拿高分，因为当时我们都单纯。但是，为什么不能再单纯一回呢？
待城,看过,推荐,2016-09-27 19:01:24,19,星爷的电影总是这么脑洞大开却又合乎常理，笑点还是那么的无厘头，美人鱼的爱情也很让我心动呀
世界尽头,看过,还行,2018-05-06 20:05:12,25,环保的立意挺好的，但是整个笑点不太多，男女主唱歌的那段就更尴尬了，感觉星爷的港式风格已经不那么重了。
旅行家,看过,力荐,2016-02-07 06:57:43,54,这次就无厘头一回吧 谁让星星的电影伴我度过了很多失落的时光 不管那么多为了星爷先5星力挺！
神奇小饼干,看过,较差,2016-02-12 10:04:00,34,真的很烂啊。。。。。
江湖神医,看过,还行,2018-05-03 01:46:19,18,这部电影让我印象最深的是滥捕杀鲸鱼的画面，真的很震撼，很血腥！我想这部电影的意义也就在这里吧！
miguoduo,看过,还行,2018-04-17 08:26:56,19,其实个人觉得挺一般的，就是挺一般的套路
