用户,是否看过,评分,评论时间,有用数,评论
拯救不开心,看过,较差,2016-01-30 11:35:36,504,3D让我头很大，配音让人出戏，邓超依旧没能走出恶棍天使的阴影，剧情太应付观众了
小光头,看过,很差,2016-02-08 19:09:12,1239,看到一半来搜了一次豆瓣7.5分，心想还能看下去，没想到现在豆瓣也这么坑，情愿看海洋…
Jessie刘卷卷,看过,很差,2016-02-08 23:07:21,767,我能说实话吗：真的和去年一年的几部典型烂片一个样，烂。强硬的笑点，尴尬死了。
未开封汽水,看过,较差,2016-02-08 20:07:08,452,容忍不了敷衍
空空,看过,较差,2016-02-08 21:08:13,427,除了张雨绮的颜值，这部片简直是白瞎，星爷欠我一张电影票。
软绵的小番茄酱,看过,力荐,2016-02-02 21:17:56,357,用了新人你们又说演技不好 用了别的演员又各种理由 冲着周星驰三个字我就愿意去买票 买了我不看贡献票房我也愿意
云中,看过,2016-02-09 23:17:45, ,52,在这个香港导演大都为了钱改变自己北上的年代，周星驰为了钱并没有改变自己，你觉得哪个更好？
卡卡,看过,力荐,2019-08-30 22:23:48,284,都说星爷江郎才尽，可我仍为他的作品流泪。喜剧在眼泪中发光，呜咽从笑声里产生。多年之后，这部美人鱼，我也还是很喜欢。
LinaX,看过,较差,2016-02-09 16:06:45,375,不欠星爷任何票，骗钱的无聊之作，再见！
鱼米米,看过,很差,2016-01-15 10:42:04,801,讲真，有海洋恐惧症伤不起。对于演员也是无感。好的喜剧真的不多了。我敢打赌比西游降魔篇还要难看！
琦殿,看过,力荐,2016-02-08 20:19:01,168,"天真烂漫到想掉泪 “你是不是觉得自己很幽默啊
”“我这个人 觉得幽默呢是只有一点点 还是很浪漫的 ” 这就是你啊"
menglan0930,看过,力荐,2016-02-06 22:56:28,248,新的演员特辑出来了，我天，邓超颜值爆表，深情的，拽酷的，小猪好敬业，林允单纯懵懂，雨琦冷酷，劲爆，最后一段舞好魔性，星爷演员选对了，期待
不只铅笔是2B,看过,力荐,2016-02-06 17:19:04,198,这首歌其实是给星爷唱的：无敌是多么，多么寂寞。
cloverld7,看过,很差,2016-02-09 13:06:29,751,特别的恶心！不敢说真话，被周星驰的脑残粉吓死了都！情怀绑架简直吓人
桀kk,看过,很差,2016-02-08 01:05:08,775,星爷的招牌再大也罩不住这烂片即视感
樱桃子,看过,很差,2016-02-08 21:04:24,747,一星都多，可惜没有负分
大波罗霸,看过,很差,2016-02-08 17:25:47,657,大过年的，你们开心就好，真他妈心疼我那票钱
alex,看过,很差,2016-02-08 13:58:20,545,超级无聊的笑点 不要出来骗钱了
大夫唐,看过,2016-02-08 17:15:52, ,65,我这辈子都是真没想到罗志祥能把周星驰救了………
丁小云,看过,力荐,2016-02-08 18:23:18,131,大年初一看星爷新片，笑喷数次，泪崩数次。星爷拍出了千亿资本无法买到的爱情，拍得还挺可信的。现实中有这样的爱情吗？我不知道，只是在电影里看到了也挺满足的。除了爱情，还有大爱。星爷现在把大爱也拍得挺可信的……星爷，当之无愧的喜剧之王……
Chance,看过,较差,2016-02-08 11:53:58,339,尴尬
乱樂,看过,推荐,2016-08-12 14:20:28,49,为星爷看的
mino酱,看过,较差,2016-02-08 14:03:07,346,张雨绮的声音真心不好听，林允有些像舒淇。故事情节薄弱，明明很讨巧的主旋律却被讲述的如此生硬无趣。
木西muxi,看过,很差,2016-02-09 00:24:15,512,周星驰还停留在录像带时代，看美人鱼不如重新刷一遍大话西游
相守云间,看过,推荐,2018-01-19 20:38:54,46,虽然星爷没有出演，不过全程挺搞笑的后期就有点凄凉，不过结局挺完美的，还宣宣传了环保，星爷导演的一部不错的电影作品，强烈推荐。
Tomi_Enn,看过,力荐,2016-02-09 19:09:31,128,说不好看的人太可怜。生活里得压抑成什么样笑点才会那么高。
进击的猫咪,看过,较差,2016-02-09 21:08:43,256,尴尬癌要发作了。。。。。。
在穆赫兰道奔驰,看过,很差,2016-02-09 11:17:24,527,故事都讲不好，还没西游降魔好笑，节奏一塌糊涂，男女主爱上的突兀感简直史无前例，罗志祥铁板烧那段处理成搞笑让人怀疑导演到底有没有道德可言，好歹你拍的是环保题材啊能不能别搞这么残忍的笑点，竟然还有影评说让人感同身受云云，这段分明就是想逗人笑吧尴尬癌晚期了，情怀留着出书吧还是。
贝塔,看过,很差,2016-02-08 13:45:14,452,情怀吃屎，太烂了
初夏cc,看过,力荐,2016-02-02 15:39:24,155,最好的喜剧就是悲剧…真的从头笑到尾…但又觉得好悲伤残忍
同志亦凡人中文站,看过,较差,2016-02-18 12:13:56,156,硬推销环保和博爱主题，这碗安利我吃不下去，拜托星爷别再炒情怀了，好好说个故事会死么。全片唯一亮点就人间凶器张雨绮，邓超你和王全安一样瞎了钛合金眼睛！！！！！
我爱橘子,看过,较差,2016-02-09 00:32:24,166,演技真的不行。投入感太低。张雨绮面瘫。配音减分。剧情牵强。亮点绝逼是罗志祥。还有懂点浪漫的那个大妈。
Fishrainy,看过,力荐,2016-02-08 02:56:17,126,一部有血有肉有内涵有笑点的电影～真挚的感情只有珍惜才是值得羡慕的
黄青蕉,看过,很差,2016-03-08 13:12:47,285,天啊，被烂度震惊了，为什么你们还能捏着鼻子夸，情节烂，台词烂，表演烂，转折烂，特效烂，感情烂，这要是邓超拍的我还能给两星，可是这是周星驰哎！！！！！！
回头路窄,看过,力荐,2016-02-08 01:49:43,124,真心鄙视那些没有看过电影就打低分的人！
吾乃不色,看过,力荐,2016-01-15 12:01:02,120,挺好看，跟预告片和封面图不符。很有意义，一开始觉得人物凸凹的地方，后面觉得就应该如此…珊珊邓超有些爱情就是会在几秒钟决定在一起。。。
阿怪,看过,力荐,2016-02-01 10:44:40,111,话不多说直接五星
钱微火,看过,很差,2016-02-09 17:23:41,353,谁不承认这不是烂片，我tmd跟谁急
王大根,看过,较差,2016-02-08 18:11:58,128,期待值降到最低去看的，还是觉得太难看了点，迪士尼动画片一样的爱情故事，东成西就时代的喜剧桥段，真的只有九十年代的观众才笑得出来吧。不过两场吻戏还蛮好看的，罗志祥那一瞬间巨帅，而即使是觉得邓超是巨型傻逼的我，看了那段后也好想跟他舌吻……
邓安庆,看过,较差,2016-02-11 23:16:42,157,好难看。
唐小万,看过,还行,2016-02-08 23:37:05,25,“我这个人，搞笑只是一点点，其实很浪漫。”台词即评价。
偽電気白蘭,看过,很差,2016-02-10 16:57:00,36,对不起我尴尬得只想给一分
草九里予,看过,力荐,2016-02-08 02:19:51,45,因为是周星驰，就这么简单
有心打扰,看过,还行,2016-02-08 20:58:30,21,放在周星驰的导演喜剧作品里，刚好取个平均值，放在国内的喜剧作品里，高了好几个段位！
熊阿姨,看过,很差,2016-02-10 22:47:06,25,节奏不能更脱线，人物不能更脸谱化，说教的生硬程度只比春晚强一点点。虽然是完全架空的时间地点，但接触到现实题材，离开香港厚土的周星驰真的不行了。
Aeropuerto,看过,较差,2016-02-09 19:36:06,33,真的好难笑啊.........张雨绮和林允的台词听着太难受了！
爱情海,看过,还行,2017-02-08 22:07:49,24,看了蓝色海洋的传说就想到周星驰的美人鱼，当初是因为周星驰，所以才去看的，就是周的一贯作风，所以少了一些惊喜少了些创意，但了解了保护环境这个道理，邓超的演技也加了不少分，最后还满感动的。
