用户,是否看过,评分,评论时间,有用数,评论
にゃんこ,看过,力荐,2019-09-30 00:02:12,262,"70周年，为阿中哥哥庆生
最近各地都在给祖国庆生，去看了电影，更加的感受到了国庆的氛围，当国歌响起国旗升起时，热血沸腾，泪有点不受控制了。
为中国骄傲自豪！"
每日可爱二百人,看过,较差,2019-10-26 15:26:15,44,不喜欢。年度最压抑电影。每个故事都是牺牲和付出，永远都是国家最大，而中国人活着的意义只是随时待命为国奉献甚至为国捐躯，爱情舍了，家庭舍了，什么都舍了，换一个如谁所愿的盛世。五十年后如果还有这种电影，希望多拍一拍快乐轻松自由的终于可以自我实现了的中国人。真的，中国人奉献牺牲的已经太多了，也应该追追自己的梦了。
夏天的颜色,看过,力荐,2019-09-28 21:28:38,460,"爱国，是人世间最深层、最持久的情感，它流淌在我们的血脉里，扎根于我们的思想深处。
此番中国电影梦之队，集结优秀一线导演和演员，用最真挚的情感、最炽热的激情，最动情的诉说以及最专业的制作集体向新中国成立70周年献礼，致敬伟大祖国。
他们用七个故事，将自己对祖国的理解和情感融入电影中，最终为我们呈现了一部有温度、有细节，同时具有历史厚度的电影。"
九只苍蝇撞墙,看过,2020-05-13 03:04:16, ,44,一比才知道，这些人里只有陈凯歌才配得上一个电影导演的头衔，只有他有最“狡诈”的文本构筑心机和用影像超越命题的意识和能力：他不但用“神迹昭示”巧妙替换了意识形态主轴，还用西部片一样广袤的景观和宇宙的无限虚空压垮了渺小的人的肉体和他们的精神桎梏。在极其困难的表达夹缝之中，取得了一个意想不到的超越式对抗姿态。这大概是他自2002年“百花深处”以来最出色的一次发挥。相比起来，其他片段都像是二年级小学生被罚抄一百次的不及格作文。
SilentNimo,看过,还行,2019-10-01 01:10:43,165,陈凯歌捧儿子捧过了，最尬的故事，三星给开国和女排
谢飞导演,看过,还行,2020-05-13 19:25:47,54,学院要恢复评选“学院奖”，开始补看提名的2019年毕业生参与的作品。此片是命题作文，不易。离开了当时献礼的时机，观看感受就差了很多。
姨父的鹅,看过,力荐,2019-09-30 00:08:03,493,点映当天就赶紧去看了，整部影片看完，我印象最深的是《回归》，可能是因为最近香港的事情让我很有感触。有位关系不错的香港朋友跟我说过，97年的时候，绝大部分香港人真心觉得自己是“回家了”，爱家爱国是基本的自尊。《回归》关于国家尊严和个人荣辱的诠释相当深刻，亲历者的视角令人动容！
鹿,看过,力荐,2019-09-28 17:38:55,198,徐峥真是讲故事的天才，管虎的视觉和氛围感绝了
黄石南,看过,力荐,2019-09-30 00:05:27,385,之前看到评论说七包纸巾觉得也太夸张了，没想到自己从片头曲响起就开始落泪。算起来七个故事也算亲历了五个，但有的年纪太小没有细节记忆了，有的时过境迁以为渐渐淡忘了。但在这样一部笑泪齐飞的主旋律电影中，导演和演员们，却将每个人心底最朴素的爱国情怀勾起。以时间为节点推演这个国家走过的历程，以你我这样芸芸众生的视角体验祖国的日益强大和飞速发展，最终也许只剩下一句话：此生不悔入种花～
孔鲤,看过,推荐,2019-10-05 02:30:08,70,《我和我的祖国》的主角是那些明面上的角色，但其实仔细想想，你会发现这些小人物，离绝大多数人的生活其实也很遥远。这些明面上的主角都是共和国最重要那批人，没有他们绝对没有共和国的今天。但更让我感动的其实不是他们，而是开始给林治远送金属的那些人民群众，是在街上欢呼原子弹新闻的市民，是在弄堂里围观女排的那些居民，是修钟表的大叔，是听说有抢劫二话不说就去追的小摊贩，没有这些人，也更不会有共和国的今天。这才是我们和我们的祖国。
迷失,看过,推荐,2019-09-30 16:04:03,118,上映前真的很期待，因为陈凯歌，因为王菲，因为预告片。看预告时就最喜欢陈凯歌的白昼流星，其次再是宁浩的北京奥运、张一白的相遇、薛晓路的回归、徐峥的夺冠，但没想到相遇拍的稀巴烂，可惜了张译的演技。回归和夺冠也只是让我感动于真实发生的那个事件，如果没有真实事件的依托，和原历史视频的插入，可能我真的要愤然离席了。剩下的前夜，我在看预告的时候就觉得不行，而护航我看完觉得没啥共鸣。所以我觉得不错的只有北京奥运和白昼流星了，这两部我觉得是完全可以单独拍一整部的，我个人也更喜欢白昼流星，因为这名字真的太好听了，而且两位青年演员也演得很不错，但这样的故事加入爱国主旋律就稍有些奇怪，如果能单拎出来拍，我希望白昼流星会是一个有着浓郁边疆文化的民族故事。
愿为南流景,看过,力荐,2019-09-30 00:09:15,304,七个导演风格各异，陈凯歌擅长把控画面，宁浩擅长刻画细节，薛晓路女导演，掌控情绪是一绝。惠英红的“一秒都不可以错”是一个泪点，很细腻。
ciao,看过,推荐,2019-09-30 10:26:39,120,七位导演都在线 每一部各有千秋 但是能不能多花点心在每个片之间的衔接 太突兀太尴尬 最打动的故事是不包括结尾的夺冠
走了就别再回来,看过,力荐,2019-09-30 00:04:05,388,真的看哭了好多次，我们都是小人物，但我们生活在大时代中，我们见证着经历着也创造着这个国家的历史。我为新中国骄傲，自豪！电影值得N刷！
南国北郭,看过,推荐,2019-09-30 22:47:22,115,时代和国家好大，我们好小。
时也,看过,推荐,2019-09-30 00:09:09,286,听着国歌声，看到五星红旗迎风飘扬，看到白色军装的护旗手庄严地敬礼，我内心的激动无法言表。
Zian,看过,推荐,2019-09-30 11:24:13,71,"最近真的是。。。被这个歌和电影刷屏了。。。看完觉得还是很不错的！这个片子最喜欢的是奥运的那个！！葛优你大爷还是你大爷，深深抓住了我的08年情节！08年可能真的每个人爱国自豪感到最高的时候了。08年的时候真的觉得未来什么都会更好。其实比较失望的反而是刘昊然的演的部分，人物态度转换的太突然了，很不自然。比较惊喜的是《护航》，拍出了飞行的一种温柔，军人下面的温柔才是最动人的，一看这个故事导演是拍《我不是药神》的文牧野，难怪！完全没有被几个老导演压下去啊！《前夜》黄渤也是演的很好，整个故事很稳当。剩下的都是及格以上，可能是其他故事太好了，所以也就没感觉了。


作为在一个特殊时刻的特殊电影，落地不同时期的不同身边人物，关注个体的家国情怀，而不是大而无当的强调大国情怀。真的是很温柔了。"
华盛顿樱桃树,看过,还行,2019-09-28 14:40:59,103,最棒的是所有故事都选择了小人物的视角，情感上面更能共通。项目整体的难度很大，风格难以统一，相互之前更是难以串联。更加现实的是，七个故事摆放在一起。参差感就有了。但情感都是一个情感，激动人心罢了。
哥谭市懵仔,看过,力荐,2019-09-30 15:22:54,159,普通观众，不太喜欢 护航 和 白昼流星，其他都还行。尤其白昼流星，后半段莫名其妙。
咚咚咚小弟,看过,力荐,2019-09-30 20:09:09,198,一共7个故事，每个20分钟左右，节奏比较紧凑！最喜欢《前夜》和《回归》，前夜当无数群众都来送自己家的东西的时候真的很触动！回归中音乐响起“让海风吹拂了五千年，每一滴泪珠仿佛都说出你的尊严”，真的眼泪都快出来了，白色海军装的小哥哥说他也缺个媳妇的时候笑死我了，长的挺帅，咋说话就那么土呢！原子弹爆炸成功这个觉得有点平淡！中国女排那个就真的很真实，我们小时候真的就是很多人一起看电视，很多童年记忆的电视都是这样看的，小演员演的很好！葛大爷一如既往幽默！陈飞宇和刘昊然真的太土了！最后是中二少女成长成一名优秀的空军飞行员！
ixuxu,看过,推荐,2019-09-30 01:18:16,76,喜欢《夺冠》和《北京你好》，电影惊喜不大也并非震撼，是国家逐渐强大的学习片，这么多年，还是会为女排而落泪。
MR D,看过,较差,2019-09-28 21:58:04,66,导演用力过度
cancel,看过,较差,2019-10-01 00:14:01,44,如果用55元的票价做标尺，根本不及格，七个故事，也就2-3个还能言之有物。这种片子干脆就像学习强国那样，微信上免费强推吧，国庆七天，一天一个。
不知道该叫什么,看过,还行,2019-09-30 18:56:40,67,不知道为啥，看完之后其实内心没有多大的触动。我旁边的两个男生都看哭了，我一个女生内心倒还挺平静。在看到林志远的那个片段还是很有感触的，不知道是不是平时这种爱国片看太多了，所以没啥感觉？但我觉得这个立足点还是很不错的，从小人物的立场来拍
千木文子,看过,力荐,2019-09-30 02:34:45,71,迟到了半小时，一进影院，全场坐满，正好看到任素汐和张译在公交车上的那段，正好回顾了前面的剧情，我只看任素汐表演都看哭了，爱国主义满满，每个故事都有特色，宁浩牛逼！！！
冬季向日葵,看过,推荐,2019-09-30 20:11:03,85,是主旋律，但也有可圈可点。个人比较喜欢2段，1是徐峥《夺冠》，冬冬和小美，孩子的细腻情感，令人动容；2是宁浩《北京你好》，又贫又热的葛优与四川孩子，孩子越乐观越让人感伤。点名批评一下陈凯歌《白昼流星》，生硬、空洞。文牧野《护航》很酷，但还是空。其他篇，稳，但用力过猛。
葉山南,看过,还行,2019-09-28 18:17:37,83,陈冬冬1.0最可爱，子枫妹妹也是。上海话广东话北京话听了个遍。记忆点大概就是天安门的日出、冬冬的小披肩、任达华修的表、葛优的大耳朵和小宋佳的墨镜
小熊QQ,看过,推荐,2019-09-30 00:21:09,54,最喜欢《白昼流星》，荒漠草原，少年骑马，落日老人，意境太好；'远古野人'穿越到未来科幻，主旋律拍出了魔幻现实感。《夺冠》最生动有趣，《回归》结尾音乐非常动人，《相遇》有些单薄尴尬，某些地方又挺感人，《前夜》《北京你好》主演特色太鲜明突出，无法入戏，《护航》略无聊。片尾曲拯救一切。
大聪看电影,看过,推荐,2019-10-01 22:59:01,49,"在比较偏的一个电影院看的《我和我的祖国》，但满座。
气氛感动，电影结束大家一起跟着唱起《我和我的祖国》，鼓掌。
北京你好>夺冠>护航>前夜>白昼流星>相遇>回归"
Midian,看过,推荐,2019-09-30 14:13:54,69,"起了个大早，去电影院先替大家看了这部献礼片。
7个短片，155分钟，时间线索排列，贯穿新中国大事，满满的家国情怀。
其中宁浩，管虎拍的最好，其次是张一白，徐峥和文牧野。
考虑上厕所的同学，可以在中间薛晓路和陈凯歌这两部的时候。
最佳男主我给葛优，女主给任素汐，最佳新人是徐峥片里的小孩，表演天赋炸裂，还有欧豪的戏也不错。
嗯…短片其实也不是谁都能拍的，华人短片选手里仅以才华论，私以为胡伟导演排第一。"
贱者,看过,较差,2019-09-30 08:06:43,69,我爱祖国，不代表我爱这部电影。电影不应该只是宣传片，而是有它独特的反思和意义。一星给徐峥，一星给陈凯歌。剩下的要不平庸要不媚俗。徐峥7分，薛晓路6分，张一白4分，管虎5分，陈凯歌7分，文牧野4分，宁浩5.5分。
璃茉,看过,力荐,2019-09-30 00:09:12,269,第一次看这种题材的电影，在影院又哭又笑，眼睛都有点肿。这些历史，真的无论什么时候看，都会产生共鸣。电影足够精彩且接地气，小人物，也会有大精彩。很好看的一部电影，准备二刷。
我们是X！,看过,力荐,2019-09-30 16:41:23,58,"看着确实让人感慨万千，七个故事风格不一样，品质也不一样，但这个电影打分不需要太客观。
《前夜》开篇很精彩，导演调度，演员表演都不错。
《相遇》演员是唯一的亮点，张译任素汐非常稳，但从整个故事来看，应该是七个里面垫底的那个。
《夺冠》徐峥选的视角很有意思，整个短片明快又充满童趣。 
《回归》讲真不怎么样，但罗大佑的歌声响起的时候，还是把我看感动了，果然是因为最近发生的事，看这个短片十分感慨。
《北京你好》七个故事里我最喜欢的一个，宁浩把自己的风格融入了背景，把那年的辉煌与伤痛放在一起，主旋律拍出了小人物的反思，
《白昼流星》的画面和思想都是七个故事里面最好的，但表现出来嘛……
《护航》非常工整，文牧野是七个导演里发挥最稳定的一个。"
茶壶茶,看过,还行,2019-09-30 15:03:08,65,七段故事水平参差不齐，夺冠和北京你好体感最好，夺冠切入点眼前一亮，北京真是有趣，葛大爷牛掰；前夜最命题作文，拍的很好的公益广告；相遇任素汐的part是春晚小品的煽情部分即视感，张译演技真好；回归其实换成港民主视角会更好，最好的部分是惠英红换警帽徽，升旗部分做电视机里的背景就行，东方之珠非常加分；护航中规中矩；白昼流星垫底，凯子哥是自暴自弃了吗，两个主题硬接在一起结果灾难，看到俩小子偷钱被教育的时候我还在想哪有网上说的烂还挺好的，谁知后面急转直下，陈凯歌你剪片的时候看后半段不尴尬吗？后半段是则现代寓言故事，但童话感不够，生搬硬套，你不垫底谁垫底。
谋杀游戏机,看过,推荐,2019-09-28 23:05:08,53,立意、执行、效率、效果都很出色的一个超大型项目，在献礼片维度几乎可以接近满分，国庆需要这样一部作品。我最喜欢的一点是，这整个电影讲的都是个体与国家命运碰撞的故事，去关注各个历史角落一个个不起眼的小人物，以人为本，激发每个普通人的情怀和共鸣，在主旋律叙事中做到了不落窠臼，与众不同。其次，能看出七位导演都是真正有情怀的艺术创作者，施展出自己的风格特色，各显神通：有追溯历史的，有关注当下的，有畅想未来的；有第五代的故土深情，有新生代的类型片功力，有对男女老少不同群体、上天入地不同疆域的展现。可能每个人对七个篇章的喜好排序都会略有不同吧，我基本都很喜欢，看得一会笑一会哭的。演员就太多了，很多都很出彩。这次他们演的都是普通人，所以都生动鲜活，身边人一样，比如葛大爷演的北京的哥，实在太可爱了！
奥特曼和小怪兽,看过,推荐,2019-10-01 00:05:06,59,命题作文之下，大部分作品基本做到了戏剧真实，相比机长，这片子是真的下了功夫。个人喜好，宁浩北京你好>管虎前夜>文牧野护航>徐峥夺冠>张一白相遇>薛晓璐回归。陈凯歌那个，我不想说他。
玉兰成阵,看过,还行,2019-09-30 21:46:36,50,"为毛要拍这么多个故事！
因为是有很多个我。。。葛大爷最佳"
独孤先生,看过,力荐,2019-09-30 22:01:04,69,葛大爷那段太有意思了
弎分热度,看过,推荐,2019-09-28 14:46:54,67,7个导演的合拍片，个人比较有感觉的是管虎、徐峥和宁浩的，这三个无论从视听语言、剧作和表演各方面来看，都很不错！张一白的不看好，但最让我失望的还是陈凯歌的那段，从视觉上看当然无可挑剔，可以看出是花了很多钱砸出来的，但凯歌真的不行啊，白费了田壮壮、陈飞宇、刘昊然这几个好演员…不过全程很激动，也数度流泪，这些故事都是关乎每一个中国人的，情怀。总之，强烈推荐！
壹时一,看过,2019-09-29 11:54:39, ,64,夺冠最佳，流星垫底，陈凯歌居然输给了（靠张译撑着的，and崽崽可可爱爱一秒钟的）张一白！？
