用户,是否看过,评分,评论时间,有用数,评论
非天,看过,较差,2019-02-05 12:16:54,11536,你们念叨的中美合拍齐天大圣文体两开花，你看这不是就安排上了么？
独孤行二,看过,推荐,2019-02-05 08:09:00,5805,借用刘慈欣的原著外壳，内核还是宁浩的黑色荒诞。或许，时至今天，喜剧之王的宝座不可避免地要换人了。
水怪,看过,推荐,2019-02-05 08:08:34,4335,7。遛人遛猴遛美帝，吃肉喝酒涮火锅。东方实用主义解构并同化西式科幻。宁浩恒久的落伍主角及土味山寨画风，在欢庆春节档里也算留有一丝自嘲与自省。在喝死算球的疯狂地球人面前外星人就太实在了。
朝暮雪,看过,还行,2019-02-05 12:36:37,2398,"疯狂系列第三部仍然通过结构和叙事制造笑点，比那些只会讲段子的电影高级不少。 
开头多次给耶稣和世界公园特写，为巴西、俄罗斯、埃及做铺垫，这才是高级幽默。 
耿浩从来都是耍猴，结果被耍了；人人说他是臭耍猴的，结果他又表演了人类历史上最伟大的耍猴，前后形成呼应。 
外星人看不起美国人，美国人看不起中国人，中国人看不起耍猴的，结果耍猴的把外星人制服了，一物降一物，形成循环。
猴和外星人角色互换产成的笑点，则是延续《疯狂的赛车》骨灰和毒品的手法。 
外星人吃火锅、用外星人泡酒、把生意做到全宇宙很荒诞，又是通过科幻和文化差异做文章。
 “犯我地球者，虽远必诛”调侃《流浪地球》，“我养你啊”调侃《新喜剧之王》，“咋不上春晚”调侃沈腾上春晚，绝了。 
一部《流浪地球》，一部《疯狂的外星人》，刘慈欣成为春节档最大赢家。"
晓勇,看过,2019-02-05 09:18:46, ,786,没有笑点
leslieryan,看过,很差,2019-02-05 10:19:17,3226,尬演了2小时！外星人的逻辑完全建立在中国的世界观、刚开始出来以为是guru！巴甫洛夫的反射理论支撑了整个喜剧的走向！整个喜剧的悲核是愚蠢！可是愚蠢本身并不是悲喜的共鸣！对于愚蠢的俗媚、完全无厘头！
巽,看过,2019-02-05 17:19:58, ,724,糟糕至极，生平最坐立难安的一次影院观影体验。油腻、恶意、躁狂、审丑、狂妄、人类沙文和民族沙文，毫无掩饰的放大到屏幕上，每一秒都让人无所适从。这才是真正的战狼式意淫。外星人骑单车飞起来那幕气得我直接跟同伴吐槽，这特么还有脸致敬ET，ET比他们可爱一千万倍。多么希望影院里的那些孩子他们第一次关于外星人的观影体验是ET而不是这玩意儿。
V要睡懒觉,看过,还行,2019-02-05 08:48:48,571,宁浩对于街头市井文化的执着依然在，给予了失去地位的社会底层以话语权，小人物的困境构建起了这一幕荒诞喜剧，令人笑中带泪吧。
MAN OF STEEL,看过,还行,2019-02-05 08:17:22,524,黄渤+沈腾+宁浩+徐峥+于和伟=喜剧之王
荒也,看过,力荐,2019-02-08 23:49:23,249,看到这么低分反而特别兴奋，感觉理解这部电影的人越少，我就成为了越幸运幸福的少数。简单说下两大优点：首先，能戏谑性的引用近10部电影（也许更多），搞笑且高效的糅合在一部电影里。电影舞台是中国特色式山寨，剧本的构思却有意识的对“山寨”进行再创造。更厉害的是，只用了一个元素，耍猴表演，的5次反复变奏，就拍出一处中国现实魔幻主义的荒诞喜剧。宁浩可以说是当下难得的中国商业娱乐片电影大师。
王大根,看过,还行,2019-02-05 14:39:09,276,春节档当然不可能没有西游题材，但我确实没料到外星人最后也能变成西游题材……讽刺意味大过喜剧元素，所以完全没有期待的那么好笑，能笑出声的地方不多。说实话看得还是有点不舒服，一半是因为对着拿鞭子抽猴这样的笑点笑不出来，一半是因为边上有很多人对这样的情节能笑出来。总体来说是一个包装得热热闹闹的残酷故事，这部电影放在春节上映本身就是一场讽刺艺术吧……
大奇特(Grinch),看过,还行,2019-02-05 12:59:07,223,中国土味科幻，戏谑地把国人面对外星人的反应与西片区分开来，从中看到劣根性，很有中国特色。外国特工保留了《石头》《赛车》香港大盗、台湾黑帮的水土不服。有技巧的是把“孙悟空”形象与外星人土洋结合，包括耍棍棒、紧箍咒、醉酒蟠桃园、给孩儿们带酒归山等，都进行了有效的嫁接。这片至少有中国人自己的想象力。就是沈腾的表演太舞台了，完全配不上黄渤。
桃桃林林,看过,还行,2019-02-07 23:12:50,118,7分，可能，最大的争议，还是这部影片在风格上没有那么欢腾吧，包括剪辑与摄影，也比前两部疯狂电影克制了很多。我比较喜欢的，还是融合风格之后的本土风，这倒是宁浩一直没变的，把各种熟知的类型模式，拿过来，混在一起，并本土化处理。之前有提过染缸文化，所以，外星人也会被猴吃了（非字面意思）。宁浩，还是有自己想要表达的东西的。
海盟洋溢,看过,力荐,2019-02-05 08:54:10,77,宁浩保底28亿发行，此片必火，又是宁氏喜剧的又一里程碑，寓意深刻。
A man,看过,还行,2019-02-05 09:45:16,86,前半段不错 后半段尴尬
谋杀游戏机,看过,推荐,2019-02-05 08:26:08,1707,很多照葫芦画瓢的翻拍都羞于提原著，宁浩很尊重作者，其实电影已经跟乡村教师没什么关系了，只是借鉴了一个星球大战夹着孩子王的壳，然后拍成了宁氏本土草根喜剧。相比疯狂前两部，这一部剥离了当初作为新导演想要被看见的急切，不再炫技，从容讲述着一个寓言式小品，透析着宁浩对中西文化根源性差异的思考，和对好莱坞科幻体系的解构与戏谑。致敬了一些经典，调侃了几位同行，还拍了一把大闹天宫，没想到这是今年春节档的西游IP。黄渤一如既往稳，像宁浩说的，他不仅是好的喜剧演员而是好的电影演员。
Ivangel,看过,很差,2019-02-05 11:34:55,2402,宁浩+黄渤+沈腾+徐峥   个顶个单拎出来都是中国喜剧届能独当一面的人物，但是这部真是大写的笑！不！出！来！
frozenmoon,看过,还行,2019-02-08 20:15:12,58,没什么想说的，标记一下吧，其实这片子在中国院线片之中对比，不应该是这么低的分，现在这样无非是因为人们对于宁浩的高期待，而期待有点落空。高期待来自于《疯狂的石头》，来自于《无人区》，但其实宁浩不太可能再出现那样的作品了。以后大概率都是这种纯熟的喜剧活儿。大环境不变，好的导演也总会被钝化。美国，俄罗斯都得改名字，想想真没意思。
IntSoul,看过,较差,2019-02-05 11:07:31,3673,我真是脑子抽了大年初一一大早来看这个…… 除了沈腾自带的两三次笑点以外，全程冷漠脸：）而且这种把所谓的c国：）和外星人都当猴耍的设定，我觉得非常不尊重人：）
123456zr,看过,很差,2019-02-05 09:08:34,1024,把刘慈欣的感人短篇小说“乡村教师”拍成了逗逼喜剧.......
小刘人美歌甜,看过,较差,2019-02-05 10:21:43,2276,全篇主旨力量是话语权的基础，没有很深刻。电影节奏很乱很拖沓，笑果和近几年春晚水平相当，影射侮辱外星和美国，可以说是辱（银河）系了。宁浩导演在经历了《无人区》风波后终于自暴自弃，完美地融入进了贺岁档低俗喜剧导演之伍，祝好。
江湖骗子,看过,较差,2019-02-05 10:25:42,2266,就像春晚小品一样 你很想笑 却不好笑
如是你闻,看过,很差,2019-02-05 10:35:09,966,就是一部二人转（小沈阳，岳云鹏演了一大堆这样的电影）
大猫,看过,较差,2019-02-05 12:40:47,1283,"可以叫中国主义？耍猴场面引起不适 万物强行平等我就耍你了你能咋地 外国外星 在座各位都是垃圾 前一秒还被打后一秒就建交成功 呵敢情中国最牛逼的文化果然是白酒 越喝越有
我知道宁浩拍的肯定不是科幻片而是喜剧片 但没想到这么让人失望……"
大菠萝,看过,很差,2019-02-05 18:27:24,512,极限了，一分。不知所云，毫无趣味可怜，老子属猴的，看见猴子被耍被打心里很刀扎一样。庸俗，打烂白宫的模型了，就是把美国干趴下了？
会飞的龙猫,看过,较差,2019-02-05 12:27:52,879,难看……有虐待动物三观不正以及精神胜利法，逻辑混乱等众多尬点，特效五毛到震惊……令人失望。 外星人其实没什么恶意，也没伤害哪个就被虐待和杀害的桥段让我很不舒服……总的来说故事很混乱，看了挺后悔
qw0aszx,看过,较差,2019-02-05 10:51:33,679,关于审查有一个方面比较有趣，片中美国和俄罗斯两国名字字幕写的的C国和S国，英文台词里America重配音成Amanica，地图镜头上就美国和俄罗斯两块没字幕的
菠多萝多士,看过,推荐,2019-02-05 08:26:30,231,“荒诞剧+科幻”只是噱头，嘲讽文化阶层论才是内核，宁浩疯狂依旧
小鬼Bono,看过,较差,2019-02-05 11:57:23,594,废了，嬉笑欢闹毫无营养，透出一种非常condescending的态度刻意扮丑拿低级笑料耍着观众乐呵的，放佛看了一场岳云鹏的相声或赵家班的小品。充满鬼点子，处处抖机灵，最核心的问题用一些投机取巧的办法解决，喝高了就完事儿了，比《心花路放》尚不如，看完了就想忘掉的电影，丢亚洲人牌面。
无尘,看过,力荐,2019-02-05 19:36:05,147,可以看出来宁浩在给中国科幻片找一个更接地气的出口，不再是简单照搬西方那一套硬科幻的逻辑，而是真正将中国的市井文化融入其中，做出一部符合中国语境下的喜剧科幻片。我们一直说要真正的文化自信，但要找到角度和方式方法，这一次我觉得宁浩做到了。
vinculin,看过,力荐,2019-02-05 08:16:15,60,中国科幻的正确打开方式（指出）
晚不安,看过,较差,2019-02-05 14:56:55,454,"喜剧的态度是戏谑的，但对电影的态度应该是严肃的。片子讲的是尊重，但是最后透露出的是愚蠢。这不是一部科幻片，而是一部耍猴片。没有半点科幻的精神，《流浪地球》在它面前像一个圣人。人耍猴，猴耍人，人耍人，是讽刺吗？是荒诞吗？我看到的不过是钻营出的搞怪。试图输出什么价值观？
开头看到水滴还兴奋了一把，其实跟刘慈欣没关系，跟《乡村教师》也没关系，只像那个宇航员拍的抖音视频。听到《查拉图斯特拉如是说 》就气不打一处来，中国电影人拍科幻是有多绕不开《2001太空漫游》啊。梁龙的配乐是最大惊喜。看到后半段还致敬《ET》，但它原来是中美合拍的西游记。宁浩文体两开花。
看得出是在北京世界公园拍的。曾经，贾樟柯在这里拍出了《世界》。《疯狂的外星人》里整个百粮魂，《新喜剧之王》里整个竖店。敢情大家玩的是超现实主义。"
脑子是块硬盘,看过,很差,2019-02-05 11:18:10,451,"种族主义者大联欢，太可怕了。
同场观众特别喜欢更让人绝望。"
一〇一,看过,较差,2019-02-05 12:17:17,465,难得不想看完全场想从电影院提前退场，结尾没有人留下看彩蛋，不要带着上两部疯狂系列剧作结构的期待看，没有惊喜，猴子表演部分引起不适，完全不好笑，宁导是膨胀了，猪年还在玩猴戏
-Aspirin-,看过,较差,2019-02-05 13:46:54,372,也太难看了。对于万物的想象很匮乏，对于中国人和外国人的想象很匮乏，一部让人感觉很不舒服的电影，由刻板印象和互踩低端的沾沾自喜拼凑起来
瓦力,看过,很差,2019-02-05 20:52:31,175,放在“疯狂”名下的骗钱货，两小时尬穿银幕的猴戏...引用片中那老外的台词：我都他妈的不知道自己在干啥！还有片头把刘慈欣的《乡村教师》搬出来这真不是在侮辱这本小说吗？
[已注销],看过,较差,2019-02-05 10:43:38,311,不行的 太一般了 我又听到了好几次库布里克太空漫游的bgm
浆糊,看过,较差,2019-02-05 12:49:22,326,还不如心花路放。。。坐实宁浩第一烂片，宁浩的口碑神话也保不住了
王食欲,看过,还行,2019-02-05 16:18:39,74,把美国黑成这样，宁浩这辈子是获不了奥斯卡了。
LOOK,看过,很差,2019-02-05 22:31:20,158,什么鸡毛科幻片，纯粹就是义和团耍宝片
勒根丁,看过,还行,2020-01-30 17:48:48,0,结尾略显儿戏。也许是大剪刀的原因？
