"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
99,深渊 The Abyss,剧情 / 科幻 / 惊悚 / 冒险,詹姆斯·卡梅隆,艾德·哈里斯 / 玛丽·伊丽莎白·马斯特兰托尼奥 / 迈克尔·比恩,31143,8.0,美国,20世纪80年代
100,天生爱情狂 Don Juan DeMarco,喜剧 / 剧情 / 爱情,杰里米·莱文,约翰尼·德普 / 马龙·白兰度 / 费·唐纳薇,16829,8.1,美国,20世纪90年代
101,欢迎来北方 Bienvenue chez les Ch'tis,喜剧,丹尼·伯恩,凯德·麦拉德 / 丹尼·伯恩 / 佐伊·费利克斯,27204,8.2,法国,21世纪00年代
102,成为简·奥斯汀 Becoming Jane,传记 / 剧情 / 爱情,朱里安·杰拉德,安妮·海瑟薇 / 詹姆斯·麦卡沃伊 / 朱丽·沃特斯,213723,8.3,英国/爱尔兰,21世纪00年代
103,老枪 Le vieux fusil,剧情 / 惊悚 / 战争,罗贝尔·恩里科,菲利普·努瓦雷 / 罗密·施奈德 / 让·布伊兹,6596,8.2,法国/西德,20世纪70年代
104,成为约翰·马尔科维奇 Being John Malkovich,喜剧 / 剧情 / 奇幻 / 爱情,斯派克·琼斯,约翰·库萨克 / 卡梅隆·迪亚兹 / 凯瑟琳·基纳,53228,8.2,美国,20世纪90年代
105,心动 心動,爱情,张艾嘉,金城武 / 梁咏琪 / 莫文蔚,75166,8.2,中国香港/日本,20世纪90年代
106,喋血街头 喋血街頭,剧情 / 动作 / 犯罪 / 惊悚,吴宇森,梁朝伟 / 张学友 / 李子雄,38786,8.2,中国香港,20世纪90年代
107,不夜城,剧情 / 爱情,李志毅,金城武 / 山本未来 / 椎名桔平,22087,8.2,中国香港/日本,20世纪90年代
108,童梦失魂夜 La cité des enfants perdus,科幻 / 奇幻,马克·卡罗 / 让-皮埃尔·热内,朗·普尔曼 / 丹尼尔·埃米尔福克 / 嘉蒂斯·维泰特,8778,7.9,法国/德国/西班牙/比利时/美国,20世纪90年代
109,天才一族 The Royal Tenenbaums,剧情 / 喜剧 / 家庭,韦斯·安德森,吉恩·哈克曼 / 安杰丽卡·休斯顿 / 本·斯蒂勒,36006,8.1,美国,21世纪00年代
110,红色沙漠 Il deserto rosso,剧情,米开朗基罗·安东尼奥尼,莫尼卡·维蒂 / 理查德·哈里斯 / Carlo Chionetti,13907,8.1,意大利/法国,20世纪60年代
111,野战排 Platoon,动作 / 剧情 / 战争,奥利佛·斯通,威廉·达福 / 查理·辛 / 汤姆·贝伦杰,36441,8.2,美国/英国,20世纪80年代
112,男孩A Boy A,剧情 / 犯罪,约翰·克劳利,安德鲁·加菲尔德 / 彼得·穆兰 / 希欧布罕·芬内朗,23649,8.2,英国,21世纪00年代
113,夺魂索 Rope,犯罪 / 悬疑 / 惊悚,阿尔弗雷德·希区柯克,约翰·道尔 / 法利·格兰杰 / 詹姆斯·斯图尔特,37911,8.1,美国,20世纪40年代
114,东京奏鸣曲 トウキョウソナタ,剧情,黑泽清,香川照之 / 小泉今日子 / 井之胁海,19113,8.1,日本/荷兰/中国香港,21世纪00年代
115,卡蜜儿·克劳岱尔 Camille Claudel,传记 / 剧情 / 历史 / 爱情,布鲁诺·努坦,伊莎贝尔·阿佳妮 / 热拉尔·德帕迪约 / 玛德琳尼·罗宾森,24923,8.2,法国,20世纪80年代
116,对话尼克松 Frost/Nixon,剧情 / 传记 / 历史,朗·霍华德,弗兰克·兰格拉 / 麦克·辛 / 山姆·洛克威尔,14936,8.0,美国/英国/法国,21世纪00年代
117,几近成名 Almost Famous,剧情 / 音乐,卡梅伦·克罗,比利·克鲁德普 / 弗兰西斯·麦克多蒙德 / 凯特·哈德森,25679,8.0,美国,21世纪00年代
118,红色小提琴 Le violon rouge,剧情 / 爱情 / 悬疑 / 音乐,弗朗索瓦·吉拉德,卡洛·切基 / 让-吕克·比多 / 张艾嘉,15190,8.2,加拿大/意大利/英国,20世纪90年代
119,蒂凡尼的早餐 Breakfast at Tiffany's,喜剧 / 剧情 / 爱情,布莱克·爱德华兹,奥黛丽·赫本 / 乔治·佩帕德 / 帕德里夏·妮尔,199976,8.1,美国,20世纪60年代
120,回归 Volver,喜剧 / 犯罪 / 剧情 / 悬疑,佩德罗·阿莫多瓦,佩内洛普·克鲁兹 / 卡门·毛拉 / 洛拉·杜埃尼亚斯,38022,8.1,西班牙,21世纪00年代
121,银河系漫游指南 The Hitchhiker's Guide to the Galaxy,冒险 / 喜剧 / 科幻,加斯·詹宁斯,马丁·弗瑞曼 / 茅斯·达夫 / 山姆·洛克威尔,104398,8.1,美国/英国,21世纪00年代
122,花与爱丽丝 花とアリス,剧情 / 喜剧 / 爱情,岩井俊二,铃木杏 / 苍井优 / 郭智博,176263,8.1,日本,21世纪00年代
123,四月物语 四月物語,爱情,岩井俊二,松隆子 / 田边诚一 / 藤井香织,146442,8.2,日本,20世纪90年代
124,大逃杀 バトル・ロワイアル,剧情 / 科幻 / 惊悚,深作欣二,藤原龙也 / 前田亚季 / 山本太郎,177569,8.0,日本,21世纪00年代
125,空房间 빈집,剧情 / 爱情 / 犯罪,金基德,在熙 / 李成延 / 李忠秀,141213,8.0,韩国,21世纪00年代
126,追风筝的人 The Kite Runner,剧情,马克·福斯特,赫立德·阿卜杜拉 / 阿托莎·利奥妮 / 肖恩·托布 ,144291,8.2,美国/中国大陆/英国/阿富汗,21世纪00年代
127,时光驻留 Le temps qui reste,剧情 / 同性,弗朗索瓦·欧容,梅尔维尔·珀波 / 让娜·莫罗 / 瓦莱丽亚·布鲁尼·泰德斯基,15611,8.1,法国,21世纪00年代
128,妖夜慌踪 Lost Highway,悬疑 / 惊悚,大卫·林奇,比尔·普尔曼 / 帕特丽夏·阿奎特 / 巴萨扎·盖提,24169,8.1,法国/美国,20世纪90年代
129,本X Ben X,剧情,尼克·巴斯阿扎,格雷格·提姆曼斯 / Laura Verlinden / Pol Goossen,11283,8.0,比利时/荷兰,21世纪00年代
130,人体雕像 Taxidermia,剧情,乔治·巴勒菲,查巴·策勒 / 格雷戈里·特罗萨尼 / 马克·比肖夫,8454,8.0,匈牙利/奥地利/法国,21世纪00年代
131,中央舞台 Center Stage,剧情 / 歌舞,尼古拉斯·希特纳,彼得·盖勒 / Ilia Kulik / 佐伊·索尔达娜,7890,8.2,美国,21世纪00年代
132,香港制造,犯罪 / 剧情 / 爱情 / 喜剧,陈果,李灿森 / 严栩慈 / 李栋全,35574,8.2,中国香港,20世纪90年代
133,夺宝奇兵3 Indiana Jones and the Last Crusade,剧情 / 动作 / 奇幻 / 冒险,史蒂文·斯皮尔伯格,哈里森·福特 / 肖恩·康纳利 / 丹霍姆·艾略特,55976,8.2,美国,20世纪80年代
134,离开拉斯维加斯 Leaving Las Vegas,剧情 / 爱情,迈克·菲吉斯,尼古拉斯·凯奇 / 伊丽莎白·苏 / 朱利安·山德斯,30411,8.1,美国/法国/英国,20世纪90年代
135,闪灵 The Shining,剧情 / 悬疑 / 恐怖,斯坦利·库布里克,杰克·尼科尔森 / 谢莉·杜瓦尔 / 丹尼·劳埃德,370340,8.3,英国/美国,20世纪80年代
136,马语者 The Horse Whisperer,剧情 / 爱情 / 西部,罗伯特·雷德福,罗伯特·雷德福 / 克里斯汀·斯科特·托马斯 / 斯嘉丽·约翰逊,17276,8.1,美国,20世纪90年代
137,鲸骑士 Whale Rider,剧情 / 家庭,妮琪·卡罗,凯莎·卡斯特-休伊斯 / 拉维里·帕拉特恩 / 薇姬·浩顿,7030,8.0,新西兰/德国,21世纪00年代
138,怒火救援 Man on Fire,动作 / 剧情 / 惊悚,托尼·斯科特,丹泽尔·华盛顿 / 达科塔·范宁 / 拉达·米切尔,63311,8.1,美国/英国,21世纪00年代
139,滚滚红尘 滾滾紅塵,爱情 / 战争,严浩,林青霞 / 秦汉 / 张曼玉,41404,8.2,中国香港/中国台湾,20世纪90年代
140,附注：我爱你 P.S. I Love You,剧情 / 爱情,理查德·拉·格拉文斯,希拉里·斯万克 / 杰拉德·巴特勒 / 丽莎·库卓,121401,8.1,美国,21世纪00年代
141,饥饿 Hunger,剧情 / 传记,史蒂夫·麦奎因,迈克尔·法斯宾德 / 斯图尔特·格雷厄姆 / 莱恩·梅加,14493,8.0,爱尔兰/英国,21世纪00年代
