"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
174,恐怖游轮 Triangle,剧情 / 悬疑 / 惊悚,克里斯托弗·史密斯,梅利莎·乔治 / 利亚姆·海姆斯沃斯 / 迈克尔·多曼,634236,8.5,英国/澳大利亚,21世纪00年代
175,南极料理人 南極料理人,喜剧,冲田修一,堺雅人 / 生濑胜久 / 古关安广,70844,8.3,日本,21世纪00年代
176,搭错车,剧情 / 音乐 / 家庭,虞戡平,孙越 / 刘瑞琪 / 李立群,13874,8.3,中国香港/中国台湾,20世纪80年代
177,回到未来2 Back to the Future Part II,喜剧 / 科幻 / 冒险,罗伯特·泽米吉斯,迈克尔·J·福克斯 / 克里斯托弗·洛伊德 / 莉·汤普森,86337,8.5,美国,20世纪80年代
178,站台,剧情 / 历史,贾樟柯,王宏伟 / 赵涛 / 梁景东,53186,8.3,中国大陆/中国香港/日本/法国,21世纪00年代
179,小武,剧情,贾樟柯,王宏伟 / 郝鸿建 / 左夏初,98895,8.5,中国香港/中国大陆,20世纪90年代
180,秋天的童话 秋天的童話,剧情 / 爱情,张婉婷,周润发 / 钟楚红 / 陈百强,75077,8.5,中国香港,20世纪80年代
181,美国田园下的罪恶 An American Crime,犯罪 / 剧情,汤米·奥·哈沃,艾利奥特·佩吉 / 哈蕾·麦克法兰 / 尼克·瑟西,37746,8.3,美国,21世纪00年代
182,英雄本色2,剧情 / 动作 / 犯罪,吴宇森,狄龙 / 张国荣 / 周润发,131155,8.4,中国香港,20世纪80年代
183,飓风营救 Taken,动作 / 犯罪 / 剧情 / 惊悚,皮埃尔·莫瑞尔,连姆·尼森 / 玛姬·格蕾斯 / 法米克·詹森,209137,8.3,法国/美国/英国,21世纪00年代
184,黄海 황해,剧情 / 动作 / 犯罪,罗泓轸,河正宇 / 金允石 / 郑满植,167130,8.5,韩国/美国/中国香港,21世纪10年代
185,率性而活 바르게 살자,喜剧,罗喜灿,郑在咏 / 孙秉浩 / 李汉伟,59564,8.3,韩国,21世纪00年代
186,迷恋荷尔蒙 Soldier's Girl,剧情 / 爱情 / 犯罪 / 同性,弗兰克·皮尔森,特洛伊·格雷提 / 李·佩斯 / 安德鲁·布劳尔,26259,8.6,美国/加拿大,21世纪00年代
187,欲望号街车 A Streetcar Named Desire,剧情,伊利亚·卡赞,费雯·丽 / 马龙·白兰度 / 金·亨特,35989,8.4,美国,20世纪50年代
188,疤面煞星 Scarface,犯罪 / 剧情 / 惊悚,布莱恩·德·帕尔玛,阿尔·帕西诺 / 斯蒂文·鲍尔 / 米歇尔·菲佛,59655,8.3,美国,20世纪80年代
189,当哈利遇到莎莉 When Harry Met Sally...,喜剧 / 剧情 / 爱情,罗伯·莱纳,比利·克里斯托 / 梅格·瑞恩 / 凯丽·费雪,120793,8.3,美国,20世纪80年代
190,魔鬼代言人 The Devil's Advocate,剧情 / 悬疑 / 惊悚,泰勒·海克福德,基努·里维斯 / 阿尔·帕西诺 / 查理兹·塞隆,109103,8.3,美国/德国,20世纪90年代
191,银翼杀手 Blade Runner,科幻 / 惊悚,雷德利·斯科特,哈里森·福特 / 鲁特格尔·哈尔 / 肖恩·杨,186134,8.5,美国/中国香港,20世纪80年代
192,星球大战2：帝国反击战 Star Wars: Episode V - The Empire Strikes Back,动作 / 冒险 / 科幻,厄文·克什纳,马克·哈米尔 / 哈里森·福特 / 凯丽·费雪,85426,8.4,美国,20世纪80年代
193,奔腾年代 Seabiscuit,剧情 / 历史 / 运动,盖瑞·罗斯,托比·马奎尔 / 杰夫·布里吉斯 / 克里斯·库珀,31253,8.4,美国,21世纪00年代
