"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
21,极地恋人 Los amantes del Círculo Polar,剧情 / 悬疑 / 爱情,胡里奥·密谭,纳瓦·尼姆利 / 费雷·马丁内兹 / 南乔·诺沃,11353,8.3,西班牙/法国,20世纪90年代
22,狗脸的岁月 Mitt liv som hund,剧情 / 喜剧,拉斯·霍尔斯道姆,安东·格兰泽柳斯 / 托马斯·冯·布罗姆森 / 安琪·丽登,14897,8.5,瑞典,20世纪80年代
23,海鸥食堂 かもめ食堂,喜剧 / 剧情,荻上直子,小林聪美 / 片桐入 / 罇真佐子,55582,8.3,日本,21世纪00年代
24,资产阶级的审慎魅力 Le charme discret de la bourgeoisie,喜剧 / 剧情 / 奇幻,路易斯·布努埃尔,费尔南多·雷伊 / 保罗·弗朗克尔 / 德菲因·塞里格,20738,8.2,法国,20世纪70年代
25,生命因你动听 Mr. Holland's Opus,剧情 / 音乐,斯蒂芬·赫瑞克,理查德·德莱福斯 / 格伦妮·海德利 / 杰·托马斯,5683,8.5,美国,20世纪90年代
26,逍遥骑士 Easy Rider,剧情 / 冒险,丹尼斯·霍珀,彼得·方达 / 丹尼斯·霍珀 / 杰克·尼科尔森,18658,8.3,美国,20世纪60年代
27,蓝色大门 藍色大門,剧情 / 爱情 / 同性,易智言,陈柏霖 / 桂纶镁 / 梁又琳,354940,8.3,中国台湾/法国,21世纪00年代
28,我曾侍候过英国国王 Obsluhoval jsem anglického krále,喜剧 / 剧情 / 爱情 / 战争,伊日·门泽尔,伊万·博尔内夫 / 奥德里奇•凯瑟 / 尤莉亚·延奇,12884,8.3,捷克/捷克斯洛伐克,21世纪00年代
29,英国病人 The English Patient,爱情 / 剧情 / 战争,安东尼·明格拉,拉尔夫·费因斯 / 朱丽叶·比诺什 / 威廉·达福,241495,8.5,美国/英国,20世纪90年代
30,阿飞正传 阿飛正傳,犯罪 / 剧情 / 爱情,王家卫,张国荣 / 张曼玉 / 刘嘉玲,397350,8.5,中国香港,20世纪90年代
31,出租车司机 Taxi Driver,剧情 / 犯罪,马丁·斯科塞斯,罗伯特·德尼罗 / 朱迪·福斯特 / 斯碧尔·谢波德,163958,8.5,美国,20世纪70年代
32,盗火线 Heat,剧情 / 动作 / 犯罪 / 惊悚,迈克尔·曼,阿尔·帕西诺 / 罗伯特·德尼罗 / 方·基默,97049,8.5,美国,20世纪90年代
33,偷拐抢骗 Snatch,喜剧 / 犯罪,盖·里奇,本尼西奥·德尔·托罗 / 丹尼斯·法里纳 / 维尼·琼斯,164041,8.5,英国/美国,21世纪00年代
34,暗花,犯罪 / 悬疑,游达志,刘青云 / 梁朝伟 / 邵美琪,77541,8.4,中国香港,20世纪90年代
35,尼罗河上的惨案 Death on the Nile,剧情 / 犯罪 / 悬疑,约翰·吉勒明,彼得·乌斯蒂诺夫 / 简·伯金 / 洛伊丝·奇利斯,83239,8.5,英国,20世纪70年代
36,坏孩子的天空 キッズ・リターン,剧情 / 犯罪 / 运动,北野武,金子贤 / 安藤政信 / 森本治行,77334,8.5,日本,20世纪90年代
37,铁皮鼓 Die Blechtrommel,剧情 / 历史 / 战争,沃尔克·施隆多夫,马里奥·阿多夫 / 安吉拉·温科勒 / 大卫·本奈特,46446,8.3,西德/波兰/法国/南斯拉夫,20世纪70年代
38,茜茜公主2 Sissi - Die junge Kaiserin,剧情 / 历史 / 爱情,恩斯特·马里施卡,罗密·施奈德 / 卡尔海因茨·伯姆 / 玛格达·施奈德,34043,8.4,奥地利,20世纪50年代
39,茜茜公主3 Sissi - Schicksalsjahre einer Kaiserin,剧情 / 历史 / 爱情,恩斯特·马里施卡,罗密·施奈德 / 卡尔海因茨·伯姆 / 玛格达·施奈德,28009,8.4,奥地利,20世纪50年代
40,愤怒的公牛 Raging Bull,剧情 / 传记 / 运动,马丁·斯科塞斯,罗伯特·德尼罗 / 凯西·莫拉蒂 / 乔·佩西,44785,8.4,美国,20世纪80年代
41,K星异客 K-PAX,剧情 / 科幻,伊恩·索夫特雷,凯文·史派西 / 杰夫·布里吉斯 / 玛丽·麦克科马克,82425,8.5,美国/德国,21世纪00年代
42,东京日和 東京日和,剧情,竹中直人,竹中直人 / 中山美穗 / 荒木经惟,13607,8.3,日本,20世纪90年代
43,转转 転々,喜剧,三木聪,小田切让 / 三浦友和 / 小泉今日子,14731,8.5,日本,21世纪00年代
44,金氏漂流记 김씨 표류기,剧情 / 爱情,李海准,郑在咏 / 郑丽媛,53123,8.3,韩国,21世纪00年代
45,花落花开 Séraphine,传记 / 剧情 / 战争,马丁·波渥斯,友兰达·梦露 / 乌尔里希·图库尔 / 安妮·贝南特,16612,8.5,法国/比利时,21世纪00年代
46,闪亮的风采 Shine,剧情 / 传记 / 音乐,斯科特·希克斯,杰弗里·拉什 / 贾斯廷·布雷恩 / 索尼娅·托德,10983,8.4,澳大利亚,20世纪90年代
47,马路天使 馬路天使,剧情 / 喜剧,袁牧之,周璇 / 赵丹 / 魏鹤龄,20234,8.5,中国大陆,20世纪30年代
48,莫斯科不相信眼泪 Москва слезам не верит,喜剧 / 剧情 / 爱情,弗拉基米尔·缅绍夫,薇拉·阿莲托娃 / 阿列克谢·巴塔洛夫 / 伊琳娜·穆拉维耶娃,14903,8.5,苏联,20世纪80年代
49,地球之夜 Night on Earth,喜剧 / 剧情,吉姆·贾木许,薇诺娜·瑞德 / 吉娜·罗兰兹 / Lisanne Falk,36968,8.3,法国/英国/德国/美国/日本,20世纪90年代
50,夜访吸血鬼 Interview with the Vampire: The Vampire Chronicles,剧情 / 奇幻 / 惊悚,尼尔·乔丹,布拉德·皮特 / 汤姆·克鲁斯 / 克斯汀·邓斯特,254328,8.3,美国,20世纪90年代
51,发条橙 A Clockwork Orange,犯罪 / 剧情 / 科幻,斯坦利·库布里克,马尔科姆·麦克道威尔 / 帕特里克·马基 / 迈克尔·贝茨,303935,8.6,英国/美国,20世纪70年代
52,恋恋笔记本 The Notebook,剧情 / 爱情,尼克·卡萨维蒂,瑞恩·高斯林 / 瑞秋·麦克亚当斯 / 吉娜·罗兰兹,526363,8.5,美国,21世纪00年代
53,现代启示录 Apocalypse Now,剧情 / 战争,弗朗西斯·福特·科波拉,马丁·辛 / 马龙·白兰度 / 罗伯特·杜瓦尔,82879,8.5,美国,20世纪70年代
54,阮玲玉,传记 / 剧情 / 爱情,关锦鹏,张曼玉 / 梁家辉 / 秦汉,79839,8.6,中国香港,20世纪90年代
55,出水芙蓉 Bathing Beauty,喜剧 / 歌舞,乔治·西德尼,雷德·斯克尔顿 / 埃丝特·威廉斯 / 巴兹尔·拉思伯恩,27781,8.5,美国,20世纪40年代
56,摩托日记 Diarios de motocicleta,冒险 / 传记 / 剧情,沃尔特·塞勒斯,盖尔·加西亚·贝纳尔 / 罗德里戈·德拉·塞尔纳 / 梅赛黛斯·莫朗,41305,8.4,阿根廷/美国/智利/秘鲁/巴西/英国/德国/法国,21世纪00年代
57,妈妈再爱我一次 媽媽再愛我一次,剧情 / 家庭,陈朱煌,杨贵媚 / 谢小鱼 / 李小飞,46532,8.3,中国台湾,20世纪80年代
58,阿郎的故事,剧情 / 家庭,杜琪峰,周润发 / 张艾嘉 / 黄坤玄,94864,8.5,中国香港,20世纪80年代
59,克莱默夫妇 Kramer vs. Kramer,剧情 / 家庭,罗伯特·本顿,达斯汀·霍夫曼 / 梅丽尔·斯特里普 / 简·亚历山大,57207,8.5,美国,20世纪70年代
60,机器管家 Bicentennial Man,剧情 / 喜剧 / 科幻,克里斯·哥伦布,罗宾·威廉姆斯 / 艾伯丝·戴维兹 / 山姆·尼尔,80966,8.6,美国/德国,20世纪90年代
61,风柜来的人 風櫃來的人,剧情,侯孝贤,钮承泽 / 张世 / 庹宗华,30486,8.4,中国台湾,20世纪80年代
62,屋顶上的童年时光 Anche libero va bene,剧情 / 家庭,吉姆·罗斯·斯图尔特,Alessandro Morace / Marta Nobili / 吉姆·罗斯·斯图尔特,7115,8.4,意大利,21世纪00年代
63,冬冬的假期,剧情 / 儿童,侯孝贤,梅芳 / 古军 / 王启光,15854,8.5,中国台湾,20世纪80年代
64,亚当斯一家 The Addams Family,喜剧 / 家庭 / 奇幻,巴里·索南菲尔德,安杰丽卡·休斯顿 / 劳尔·胡里亚 / 克里斯托弗·洛伊德,46227,8.5,美国,20世纪90年代
65,午夜牛郎 Midnight Cowboy,剧情,约翰·施莱辛格,强·沃特 / 达斯汀·霍夫曼 / 西尔维娅·迈尔斯,19050,8.3,美国,20世纪60年代
66,正午 High Noon,剧情 / 西部,弗雷德·金尼曼,加里·库珀 / 格蕾丝·凯利 / 托马斯·米切尔,18494,8.4,美国,20世纪50年代
67,自由作家 Freedom Writers,传记 / 犯罪 / 剧情,理查德·拉·格拉文斯,希拉里·斯万克 / 帕特里克·德姆西 / 斯科特·格伦,18524,8.5,美国/德国,21世纪00年代
68,秘密花园 The Secret Garden,剧情 / 家庭 / 奇幻,阿格涅丝卡·霍兰,凯特·马伯里 / 海登·普劳斯 / 安德鲁·诺,11957,8.4,英国/美国,20世纪90年代
69,12怒汉：大审判 12,剧情 / 悬疑,尼基塔·米哈尔科夫,谢尔盖·马科韦茨基 / 尼基塔·米哈尔科夫 / 谢尔盖·加尔马什,30469,8.5,俄罗斯,21世纪00年代
70,在世界转角遇见爱 Светът е голям и спасение дебне отвсякъде,剧情 / 家庭,斯特凡·科曼达雷夫,米基·马诺伊洛维奇 / 卡罗·柳别克 / 赫里斯托·穆塔奇夫,13789,8.3,保加利亚/德国/斯洛文尼亚/匈牙利,21世纪00年代
71,母亲 마더,剧情 / 犯罪 / 悬疑 / 惊悚,奉俊昊,金惠子 / 元斌 / 晋久,80705,8.3,韩国,21世纪00年代
72,即使这样也不是我做的 それでもボクはやってない,剧情,周防正行,加濑亮 / 濑户朝香 / 山本耕史,9036,8.3,日本,21世纪00年代
73,紫色 The Color Purple,剧情,史蒂文·斯皮尔伯格,丹尼·格洛弗 / 乌比·戈德堡 / 玛格丽特·艾弗瑞,19807,8.5,美国,20世纪80年代
74,东方快车谋杀案 Murder on the Orient Express,剧情 / 犯罪 / 悬疑,西德尼·吕美特,阿尔伯特·芬尼 / 劳伦·白考尔 / 马丁·鲍尔萨姆,84680,8.4,英国,20世纪70年代
75,日落黄沙 The Wild Bunch,动作 / 西部,萨姆·佩金帕,威廉·霍尔登 / 欧内斯特·博格宁 / 罗伯特·瑞安,7668,8.3,美国,20世纪60年代
76,双重赔偿 Double Indemnity,剧情 / 犯罪 / 悬疑 / 惊悚 / 黑色电影,比利·怀德,弗莱德·麦克莫瑞 / 芭芭拉·斯坦威克 / 爱德华·罗宾逊,25675,8.5,美国,20世纪40年代
77,M就是凶手 M - Eine Stadt sucht einen Mörder,剧情 / 犯罪 / 惊悚 / 黑色电影,弗里茨·朗,彼得·洛 / 艾伦·维德曼 / 因格·兰德特,23711,8.3,德国,20世纪30年代
78,周围的事 ぐるりのこと。,剧情 / 家庭,桥口亮辅,木村多江 / 中川雅也 / 倍赏美津子,10770,8.4,日本,21世纪00年代
79,金色梦乡 ゴールデンスランバー,剧情 / 悬疑,中村义洋,堺雅人 / 竹内结子 / 吉冈秀隆,62596,8.4,日本,21世纪10年代
80,单身男子 A Single Man,剧情 / 同性,汤姆·福特,科林·费尔斯 / 朱丽安·摩尔 / 尼古拉斯·霍尔特,94063,8.5,美国,21世纪00年代
81,谜一样的双眼 El secreto de sus ojos,剧情 / 爱情 / 犯罪 / 悬疑,胡安·何塞·坎帕内利亚,里卡多·达林 / 索蕾达·维拉米尔 / 巴勃罗·拉戈,75045,8.3,阿根廷/西班牙,21世纪00年代
82,月球 Moon,剧情 / 科幻 / 悬疑,邓肯·琼斯,山姆·洛克威尔 / 凯文·史派西 / 多米妮克·麦克艾丽戈特,226948,8.5,英国,21世纪00年代
83,我杀了我妈妈 J'ai tué ma mère,剧情 / 传记 / 同性 / 家庭,泽维尔·多兰,泽维尔·多兰 / 安娜·多尔瓦尔 / 弗朗索瓦·阿诺德,54511,8.3,加拿大,21世纪00年代
84,两生花 La double vie de Véronique,剧情 / 爱情 / 奇幻,克日什托夫·基耶斯洛夫斯基,伊莲娜·雅各布 / 哈丽娜·格雷格拉谢夫斯卡 / 卡里娜·谢鲁斯克,65781,8.4,法国/波兰/挪威,20世纪90年代
85,恐惧吞噬灵魂 Angst essen Seele auf,剧情 / 爱情,赖纳·维尔纳·法斯宾德,布里吉特·米拉 / 埃尔·赫迪·本·萨利姆 / 芭芭拉·瓦伦汀,10658,8.5,西德,20世纪70年代
86,金玉盟 An Affair to Remember,喜剧 / 剧情 / 爱情,莱奥·麦卡雷,加里·格兰特 / 黛博拉·蔻儿 / 理查德·邓宁,8759,8.3,美国,20世纪50年代
87,秋天的故事 Conte d'automne,剧情 / 爱情,埃里克·侯麦,玛丽·里维埃 / 碧翠丝·罗曼德 / 艾莉西亚·波特尔,23114,8.4,法国,20世纪90年代
88,二手狮王 Secondhand Lions,喜剧 / 剧情 / 家庭,蒂姆·麦肯莱斯,迈克尔·凯恩 / 罗伯特·杜瓦尔 / 海利·乔·奥斯蒙,15227,8.5,美国,21世纪00年代
89,美国丽人 American Beauty,剧情 / 爱情 / 家庭,萨姆·门德斯,凯文·史派西 / 安妮特·贝宁 / 索拉·伯奇,284962,8.5,美国,20世纪90年代
90,变脸 Face/Off,动作 / 科幻 / 犯罪 / 惊悚,吴宇森,约翰·特拉沃尔塔 / 尼古拉斯·凯奇 / 琼·艾伦,333326,8.5,美国,20世纪90年代
91,香水 Perfume: The Story of a Murderer,剧情 / 犯罪 / 奇幻,汤姆·提克威,本·卫肖 / 艾伦·瑞克曼 / 蕾切儿·哈伍德,454413,8.5,德国/法国/西班牙/美国,21世纪00年代
92,精武门 精武門,动作 / 剧情 / 爱情 / 惊悚,罗维,李小龙 / 苗可秀 / 田俊,33099,8.5,中国香港,20世纪70年代
93,大河恋 A River Runs Through It,剧情 / 家庭,罗伯特·雷德福,克莱格·谢佛 / 布拉德·皮特 / 汤姆·斯凯里特,62530,8.5,美国,20世纪90年代
94,速度与激情5 Fast Five,动作 / 犯罪,林诣彬,范·迪塞尔 / 保罗·沃克 / 乔丹娜·布鲁斯特,313905,8.4,美国,21世纪10年代
95,开心家族 헬로우 고스트,剧情 / 喜剧 / 家庭,金永卓,车太贤 / 高昌锡 / 张荣男,175756,8.6,韩国,21世纪10年代
96,第八日 Le huitième jour,喜剧 / 剧情,雅克·范·多梅尔,丹尼尔·奥特伊 / 帕斯卡·杜奎奈 / 缪缪,7229,8.3,比利时/法国/英国,20世纪90年代
97,和声 하모니,剧情,康大奎,金允珍 / 罗文姬 / 郑秀英,58350,8.5,韩国,21世纪10年代
98,八部半 8½,剧情,费德里科·费里尼,马塞洛·马斯楚安尼 / 克劳迪娅·卡汀娜 / 阿努克·艾梅,41879,8.5,意大利/法国,20世纪60年代
99,蓝 Blue,剧情 / 传记 / 同性,德里克·贾曼,约翰·昆汀 / 尼吉尔·特瑞 / 德里克·贾曼,6697,8.5,英国/日本,20世纪90年代
100,朝圣之路 The Way,剧情 / 喜剧 / 冒险,艾米利奥·艾斯特维兹,马丁·辛 / 艾米利奥·艾斯特维兹 / 黛博拉·卡拉·安格,29048,8.4,美国/西班牙,21世纪10年代
101,蓝白红三部曲之蓝 Trois couleurs: Bleu,剧情 / 爱情 / 音乐,克日什托夫·基耶斯洛夫斯基,朱丽叶·比诺什 / 贝努特·里格恩特 / 弗罗伦斯·派梅尔,103940,8.5,法国/波兰/瑞士,20世纪90年代
102,意大利人在俄罗斯的奇遇 Невероятные приключения итальянцев в России,喜剧 / 冒险,埃利达尔·梁赞诺夫 / 佛朗哥·普罗斯佩里,安德烈·米罗诺夫 / 尼内托·达沃利 / 安冬尼娅·桑提利,11329,8.5,意大利/苏联,20世纪70年代
103,"黑猫白猫 Црна мачка, бели мачор",喜剧 / 音乐 / 爱情,埃米尔·库斯图里卡,斯尔詹·托多罗维奇 / 布兰卡·卡蒂奇 / 巴伊拉姆·瑟瓦丹,14383,8.5,南斯拉夫/法国/德国/奥地利/希腊,20世纪90年代
104,情键四分钟 Vier Minuten,剧情 / 音乐,克里斯·克劳斯,莫妮卡·布莱布特罗伊 / 汉娜·赫茨施普龙 / 里奇·穆勒,8324,8.5,德国,21世纪00年代
105,独行杀手 Le samouraï,犯罪 / 剧情 / 悬疑 / 惊悚,让-皮埃尔·梅尔维尔,阿兰·德龙 / 弗朗索瓦·佩里埃 / 娜塔丽·德隆,17488,8.4,法国/意大利,20世纪60年代
106,祖与占 Jules et Jim,剧情 / 爱情,弗朗索瓦·特吕弗,让娜·莫罗 / 奥斯卡·威内尔 / 亨利·赛尔,35642,8.4,法国,20世纪60年代
107,水牛城66 Buffalo '66,喜剧 / 犯罪 / 剧情 / 爱情,文森特·加洛,文森特·加洛 / 克里斯蒂娜·里奇 / 本·戈扎那,39167,8.5,美国/加拿大,20世纪90年代
108,小公主 A Little Princess,剧情 / 奇幻,阿方索·卡隆,利塞尔·马修斯 / 伊莲诺·布罗 / 利亚姆·坎宁安,24164,8.5,美国,20世纪90年代
109,邦尼和琼 Benny & Joon,喜剧 / 剧情 / 爱情,耶利米·S·谢奇克,约翰尼·德普 / 玛丽·斯图尔特·马斯特森 / 艾丹·奎因,18758,8.5,美国,20世纪90年代
110,关于我母亲的一切 Todo sobre mi madre,剧情,佩德罗·阿莫多瓦,塞西莉亚·罗特 / 玛丽萨·帕雷德斯 / 坎德拉·佩尼亚,51608,8.5,西班牙/法国,20世纪90年代
111,美国X档案 American History X,犯罪 / 剧情,托尼·凯耶,爱德华·诺顿 / 爱德华·福隆 / 比佛莉·德安姬罗,83244,8.5,美国,20世纪90年代
112,我的名字叫可汗 My Name Is Khan,剧情 / 爱情,卡伦·乔哈尔,沙鲁克·汗 / 卡卓儿 / 肖恩·哈珀,55065,8.4,印度,21世纪10年代
113,狗镇 Dogville,剧情 / 悬疑 / 惊悚,拉斯·冯·提尔,妮可·基德曼 / 哈里特·安德森 / 劳伦·白考尔,124938,8.4,丹麦/瑞典/挪威/芬兰/英国/法国/德国/荷兰/意大利,21世纪00年代
114,茜茜公主 Sissi,喜剧 / 剧情 / 历史 / 爱情,恩斯特·马里施卡,罗密·施奈德 / 卡尔海因茨·伯姆 / 玛格达·施奈德,93661,8.5,奥地利,20世纪50年代
115,穆赫兰道 Mulholland Dr.,剧情 / 悬疑 / 惊悚,大卫·林奇,娜奥米·沃茨 / 劳拉·哈灵 / 安·米勒,355568,8.4,法国/美国,21世纪00年代
116,艺术家 The Artist,剧情 / 喜剧 / 爱情,米歇尔·阿扎纳维西于斯,让·杜雅尔丹 / 贝热尼丝·贝乔 / 约翰·古德曼,89123,8.4,法国/比利时/美国,21世纪10年代
117,飓风 The Hurricane,传记 / 剧情 / 运动,诺曼·杰威森,丹泽尔·华盛顿 / 维斯勒·夏农 / 黛博拉·卡拉·安格,10323,8.5,美国,20世纪90年代
118,恶魔 Les diaboliques,剧情 / 犯罪 / 悬疑 / 惊悚,亨利-乔治·克鲁佐,西蒙·西涅莱 / 薇拉·克劳佐 / 保罗·默里斯,12804,8.4,法国,20世纪50年代
119,最长的一天 The Longest Day,动作 / 剧情 / 历史 / 战争,肯·安纳金 / 安德鲁·马顿 / 伯恩哈德·维基 / 达里尔·F·扎努克,理查德·伯顿 / 肖恩·康纳利 / 亨利·方达,10688,8.5,美国,20世纪60年代
120,好家伙 GoodFellas,剧情 / 传记 / 犯罪,马丁·斯科塞斯,罗伯特·德尼罗 / 雷·利奥塔 / 乔·佩西,90323,8.4,美国,20世纪90年代
121,大逃亡 The Great Escape,剧情 / 历史 / 冒险,约翰·斯特奇斯,史蒂夫·麦奎因 / 詹姆斯·加纳 / 理查德·阿滕伯勒,7738,8.3,美国,20世纪60年代
122,投奔怒海,剧情,许鞍华,林子祥 / 缪骞人 / 马斯晨,13760,8.5,中国香港,20世纪80年代
123,喜福会 The Joy Luck Club,剧情 / 爱情,王颖,周采芹 / 温明娜 / 俞飞鸿,40418,8.4,美国,20世纪90年代
124,玛丽娅·布劳恩的婚姻 Die Ehe der Maria Braun,剧情,赖纳·维尔纳·法斯宾德,汉娜·许古拉 / 克劳斯·洛维奇 / 伊凡·德斯尼,5802,8.3,西德,20世纪70年代
125,少年斯派维的奇异旅行 The Young and Prodigious T.S. Spivet,剧情 / 家庭 / 冒险,让-皮埃尔·热内,凯尔·凯特莱特 / 海伦娜·伯翰·卡特 / 朱迪·戴维斯,93089,8.5,法国/加拿大,21世纪10年代
126,逃离索比堡 Escape from Sobibor,剧情 / 战争 / 惊悚,杰克·高德,艾伦·阿金 / 乔安娜·帕库拉 / 鲁特格尔·哈尔,2515,8.5,英国/南斯拉夫,20世纪80年代
127,405谋杀案,悬疑 / 惊悚,沈耀庭,仲星火 / 徐敏 / 严翔,11262,8.4,中国大陆,20世纪80年代
128,高地战 고지전,剧情 / 战争,张勋,申河均 / 高修 / 金玉彬,32542,8.5,韩国,21世纪10年代
129,白色严冬 Into the White,剧情 / 历史 / 战争,彼特·纳斯,弗洛里安·卢卡斯 / 大卫·克劳斯 / 斯蒂格·亨里克·霍夫,16263,8.4,挪威/瑞典/法国,21世纪10年代
130,流浪的尤莱克 Lauf Junge lauf,剧情,佩波·丹科瓦特,赖纳·博克 / 詹妮特·海因 / 塞巴斯蒂安·胡克,6599,8.4,德国,21世纪10年代
131,少年时代 Boyhood,剧情 / 家庭,理查德·林克莱特,埃拉·科尔特兰 / 帕特丽夏·阿奎特 / 伊桑·霍克,194885,8.5,美国,21世纪10年代
132,爱乐之城 La La Land,剧情 / 爱情 / 歌舞,达米恩·查泽雷,瑞恩·高斯林 / 艾玛·斯通 / 约翰·传奇,655453,8.4,美国,21世纪10年代
133,误杀瞒天记 Drishyam,剧情 / 犯罪 / 悬疑,尼西卡特·卡马特,阿贾耶·德乌干 / 塔布 / 施芮娅·萨兰,139390,8.5,印度,21世纪10年代
134,雏菊 Sedmikrásky,喜剧 / 剧情,维拉·希蒂洛娃,伊特卡·采尔霍娃 / 伊万娜·卡尔班诺娃 / Julius Albert,6010,8.4,捷克斯洛伐克,20世纪60年代
135,香蕉天堂,剧情,王童,钮承泽 / 李昆 / 曾庆瑜,3442,8.4,中国台湾,20世纪80年代
136,死亡医生 You Don't Know Jack,剧情 / 传记,巴瑞·莱文森,阿尔·帕西诺 / 布伦达·瓦卡罗 / 约翰·古德曼,25411,8.5,美国,21世纪10年代
137,圣诞快乐 Joyeux Noël,剧情 / 历史 / 战争 / 音乐,克里斯蒂安·卡里翁,黛安·克鲁格 / 纳塔莉·德赛 / 本诺·菲尔曼,5775,8.5,法国/德国/英国/比利时/罗马尼亚/挪威/日本/美国,21世纪00年代
138,假如我是真的,剧情,王童,谭咏麟 / 胡冠珍 / 崔福生,3381,8.3,中国台湾,20世纪80年代
139,天涯沦落女 Sans toit ni loi,剧情,阿涅斯·瓦尔达,桑德里娜·博内尔 / Setti Ramdane / Francis Balchère,5141,8.3,法国,20世纪80年代
140,轻松自由 Libre et assoupi,喜剧,本杰明·格德杰,巴普蒂斯特·勒卡普兰 / 夏洛特·勒·邦 / 费利克斯·莫阿蒂,26575,8.3,法国,21世纪10年代
