"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
367,致命ID Identity,剧情 / 悬疑 / 惊悚,詹姆斯·曼高德,约翰·库萨克 / 雷·利奥塔 / 阿曼达·皮特,634531,8.8,美国,21世纪00年代
368,黑天鹅 Black Swan,剧情 / 惊悚,达伦·阿伦诺夫斯基,娜塔莉·波特曼 / 米拉·库尼斯 / 文森特·卡索,675095,8.6,美国,21世纪10年代
369,朗读者 The Reader,剧情 / 爱情,史蒂芬·戴德利,凯特·温丝莱特 / 大卫·克劳斯 / 拉尔夫·费因斯,390650,8.6,美国/德国,21世纪00年代
370,全金属外壳 Full Metal Jacket,剧情 / 战争,斯坦利·库布里克,马修·莫迪恩 / 亚当·鲍德温 / 文森特·多诺费奥,105607,8.6,英国/美国,20世纪80年代
371,光荣之路 Glory Road,剧情 / 传记 / 运动,詹姆斯·加特纳,乔什·卢卡斯 / Wes Brown / 德里克·卢克,39470,8.6,美国,21世纪00年代
372,十月的天空 October Sky,传记 / 剧情 / 家庭,乔·庄斯顿,杰克·吉伦哈尔 / 克里斯·库珀 / 劳拉·邓恩,30980,8.7,美国,20世纪90年代
373,狐狸与我 Le renard et l'enfant,剧情 / 儿童 / 冒险,吕克·雅盖,贝蒂•若耶-布萝 / 伊莎贝尔·卡雷 / Thomas Laliberté,26657,8.5,法国,21世纪00年代
374,鸳梦重温 Random Harvest,剧情 / 爱情,茂文·勒鲁瓦,罗纳德·考尔曼 / 葛丽亚·嘉逊 / 菲利普·多恩,3796,8.6,美国,20世纪40年代
375,音乐会 Le concert,喜剧 / 剧情 / 音乐,拉杜·米哈伊列亚努,梅拉尼·罗兰 / 阿列克塞·古斯科夫 / Dimitry Nazarov,15018,8.5,法国/意大利/罗马尼亚/比利时,21世纪00年代
376,禁闭岛 Shutter Island,剧情 / 悬疑 / 惊悚,马丁·斯科塞斯,莱昂纳多·迪卡普里奥 / 马克·鲁弗洛 / 本·金斯利,751881,8.8,美国,21世纪10年代
377,无耻混蛋 Inglourious Basterds,剧情 / 犯罪,昆汀·塔伦蒂诺,布拉德·皮特 / 梅拉尼·罗兰 / 克里斯托弗·瓦尔兹,382095,8.6,德国/美国,21世纪00年代
378,倩女幽魂,爱情 / 奇幻 / 武侠 / 古装,程小东,张国荣 / 王祖贤 / 午马,582893,8.7,中国香港,20世纪80年代
379,麻将 麻將,喜剧 / 剧情,杨德昌,柯宇纶 / 张震 / 林海象,32870,8.6,中国台湾,20世纪90年代
380,恐怖分子 恐怖份子,剧情 / 犯罪,杨德昌,缪骞人 / 李立群 / 金士杰,37038,8.9,中国台湾,20世纪80年代
381,甘地传 Gandhi,传记 / 剧情 / 历史,理查德·阿滕伯勒,本·金斯利 / 坎迪斯·伯根 / 爱德华·福克斯,30401,8.6,英国/印度/美国,20世纪80年代
382,弗里达 Frida,传记 / 剧情 / 爱情,朱丽·泰莫,萨尔玛·海耶克 / 阿尔弗雷德·莫里纳 / 米娅·麦斯特罗,54344,8.7,美国/墨西哥/加拿大,21世纪00年代
383,雨月物语 雨月物語,剧情 / 战争 / 奇幻,沟口健二,田中绢代 / 森雅之 / 小泽荣太郎,17746,8.6,日本,20世纪50年代
384,笑之大学 笑の大学,喜剧 / 剧情,星护,役所广司 / 稻垣吾郎 / 高桥昌也,16969,8.5,日本,21世纪00年代
385,奇迹 奇跡,剧情 / 家庭,是枝裕和,前田航基 / 前田旺志郎  / 大塚宁宁,56486,8.8,日本,21世纪10年代
