boxDesc,movieId,movieName
365086,1182552,红海行动
339773,344990,唐人街探案2
310000,1200486,我不是药神
254763,1212592,西虹市首富
239049,248170,复仇者联盟3：无限战争
223713,346272,捉妖记2
187012,42964,毒液：致命守护者
185218,249342,海王
169590,341628,侏罗纪世界2
164671,344929,前任3：再见前任
139667,341178,头号玩家
136152,343720,后来的我们
135505,1203084,一出好戏
127377,342166,无双
124522,341737,碟中谍6：全面瓦解
105178,346178,巨齿鲨
100396,341624,狂暴巨兽
89985,1208942,超时空同居
83155,343208,蚁人2：黄蜂女现身
79408,1208282,无名之辈
75431,71946,无问西东
74707,1208122,神秘巨星
72739,338463,西游记女儿国
66981,1203528,摩天营救
66259,341138,黑豹
63323,78460,环太平洋：雷霆再起
62898,1203437,影
60636,341516,狄仁杰之四大天王
60551,1211482,熊出没·变形记
60437,1217402,李茶的姑妈
58351,248566,邪不压正
55543,1175253,爱情公寓
50966,1198178,动物世界
49748,257739,古墓丽影：源起之战
49194,341897,勇敢者游戏：决战丛林
48058,1217637,厉害了，我的国
44299,1203575,反贪风暴3
39887,577564,神奇动物：格林德沃之罪
37531,1216446,快把我哥带走
35861,346637,幕后玩家
35664,1217236,悲伤逆流成河
35438,338385,超人总动员2
35426,1212512,蜘蛛侠：平行宇宙
31748,1204774,黄金兄弟
31528,248639,移动迷宫3：死亡解药
28559,343136,小萝莉的猴神大叔
28528,1209159,找到你
27345,1240159,来电狂响
27117,341213,无敌破坏王2：大闹互联网
26794,247948,星球大战：最后的绝地武士
26580,345036,地球最后的夜晚
26106,1210830,胖子行动队
23504,1170264,芳华
23449,338493,南极之恋
22361,343070,精灵旅社3：疯狂假期
22089,1203554,寂静之地
21686,342062,铁血战士
21038,881837,起跑线
20928,1207042,哆啦A梦：大雄的金银岛
20364,1139994,猛虫过江
19151,672130,奇迹男孩
17230,1207271,憨豆特工3
17201,828745,公牛历险记
16985,1211538,祖宗十九代
16839,343762,比得兔
15954,123,龙猫
15822,1220713,新大头儿子和小头爸爸3：俄罗斯奇遇记
15321,248162,欧洲攻略
14939,1229020,嗝嗝老师
14630,1218190,大师兄
13097,248907,新乌龙院之笑闹江湖
12736,1225632,名侦探柯南：零的执行人
12295,344649,天气预爆
12259,368135,二代妖精之今生有幸
12156,345655,云南虫谷
11570,1200265,叶问外传：张天志
11456,344292,阿尔法：狼伴归途
11284,1217513,风语咒
11257,346015,胡桃夹子和四个王国
11153,1200984,妖铃铃
11013,344950,21克拉
10630,341944,游侠索罗：星球大战外传
10542,1204622,水形物语
