boxDesc,movieId,movieName
568253,344264,战狼2
267088,248700,速度与激情8
221345,1198214,羞羞的铁拳
174866,248933,功夫瑜伽
165206,248904,西游伏妖篇
155123,248645,变形金刚5：最后的骑士
129912,588362,摔跤吧！爸爸
118793,1170264,芳华
117990,246012,加勒比海盗5：死无对证
115891,249898,金刚：骷髅岛
115301,342068,寻梦环游记
112516,334590,极限特工：终极回归
110949,246065,生化危机：终章
104604,1170255,乘风破浪
103779,249900,神偷奶爸3
77475,334620,蜘蛛侠：英雄归来
75611,248935,大闹天竺
74370,249894,雷神3：诸神黄昏
74049,246377,猩球崛起3：终极之战
73008,247875,金刚狼3：殊死一战
69653,341375,悟空传
69055,341195,正义联盟
68611,248683,银河护卫队2
62559,249895,新木乃伊
61009,247731,神奇女侠
60693,342858,一条狗的使命
59029,247658,美女与野兽
57720,1176763,追龙
54937,1188324,情圣
53980,345420,英伦对决
53473,246896,三生三世十里桃花
52262,342176,杀破狼·贪狼
52110,1189089,熊出没·奇幻空间
47718,247185,星球大战外传：侠盗一号
47427,341173,王牌特工2：黄金圈
46883,345862,妖猫传
45932,1198177,缝纫机乐队
43402,338402,全球风暴
40952,249008,星际特工：千星之城
40360,345011,建军大业
40185,343012,嫌疑人x的献身
40049,346103,拆弹专家
33990,342598,敦刻尔克
31898,346189,空天猎
31385,341201,太空旅客
31116,78888,异形：契约
30415,342381,心理罪
29906,344183,奇门遁甲
29517,344929,前任3：再见前任
29292,345672,记忆大师
29183,655258,机器之血
27131,1204596,天才枪手
27022,248916,铁道飞虎
26570,341189,绣春刀II：修罗战场
25162,1200984,妖铃铃
24725,338436,爱乐之城
23709,1183619,侠盗联盟
23015,344422,东方快车谋杀案
21885,344236,京城81号2
21568,344258,欢乐好声音
21393,1197732,心理罪之城市之光
21075,672175,喜欢·你
20248,246969,攻壳机动队
20126,342364,逆时营救
19842,343905,帕丁顿熊2
19499,246267,长城
17555,672114,春娇救志明
17506,158,大话西游之大圣娶亲
17391,78610,蓝精灵：寻找神秘村
17257,458721,看不见的客人
17053,615739,二十二
16965,368135,二代妖精之今生有幸
16072,78608,刺客信条
15635,342906,非凡任务
15236,343945,解忧杂货店
14889,1183351,哆啦A梦：大雄的南极冰冰凉大冒险
13978,344055,王牌保镖
13711,342067,赛车总动员3：极速挑战
13576,345719,异星觉醒
13388,346308,十万个冷笑话2
12613,1197753,大卫贝肯之倒霉特工熊
12526,1196180,父子雄兵
12425,343669,傲娇与偏见
12167,346106,决战食神
11369,245938,鲛珠传
10894,338387,降临
10883,341894,极盗车神
10738,1209085,十八洞村
10602,248075,追捕
10583,344032,东北往事之破马张飞
10371,618704,七十七天
10344,1201161,赛尔号大电影6：圣者无敌
10295,345658,游戏规则
10127,1196168,绝世高手
10009,342601,冈仁波齐
9565,344451,绑架者
9176,246019,降魔传
8760,344682,大护法
8143,1144681,银魂 真人版
7954,338328,密战
7866,1198813,烟花
7695,247784,银翼杀手2049
7647,246388,摆渡人
7544,1163084,原谅他77次
7484,338349,血战钢锯岭
7371,1197625,血战湘江
6951,567982,反转人生
6781,344500,狂兽
6684,1156890,欢乐喜剧人
6631,337443,至爱梵高·星空之谜
6534,1181801,龙之战
6511,338486,荡寇风云
6485,1132316,闪光少女
6464,346740,破·局
6370,1132987,疯岳撬佳人
6295,342173,明月几时有
5938,341126,合约男女
