boxDesc,movieId,movieName
338626,246063,美人鱼
152767,246286,疯狂动物城
146873,78421,魔兽
124386,246234,美国队长3
119853,79202,西游记之孙悟空三打白骨精
118243,338391,湄公河行动
111636,248006,澳门风云3
100278,79203,盗墓笔记
100053,78535,功夫熊猫3
97800,246267,长城
97663,246970,奇幻森林
88746,246307,绝地逃亡
81320,246390,从你的全世界路过
81058,78536,星球大战：原力觉醒
80071,246177,X战警：天启
78523,247575,北京遇上西雅图之不二情书
76933,76365,叶问3
75008,246124,奇异博士
67743,247300,唐人街探案
67647,341289,寒战2
63761,246333,惊天魔盗团2
61818,78439,蝙蝠侠大战超人：正义黎明
60531,334722,使徒行者
58828,248918,神奇动物在哪里
56476,344881,你的名字。
56392,246591,大鱼海棠
51288,246188,愤怒的小鸟
50212,246375,独立日：卷土重来
48266,341749,我不是潘金莲
44655,78637,冰川时代5：星际碰撞
44644,249875,谍影重重5
44016,246461,星际迷航3：超越星辰
43098,246211,老炮儿
42889,248916,铁道飞虎
40608,246388,摆渡人
39258,13511,忍者神龟2：破影而出
38861,338351,爱宠大机密
38622,248680,爱丽丝梦游仙境2：镜中奇遇记
38247,248616,爵迹
37673,247220,荒野猎人
36995,341515,火锅英雄
36538,247259,大话西游3
35093,338349,血战钢锯岭
33908,248896,伦敦陷落
33833,338443,机械师2：复活
33606,246575,致青春·原来你还在这里
32397,246152,我的特工爷爷
30696,78701,寻龙诀
30535,341240,泰山归来：险战丛林
28754,341750,熊出没之熊心归来
28324,247186,封神传奇
27543,246897,微微一笑很倾城
25995,345257,王牌逗王牌
25365,246366,海底总动员2：多莉去哪儿
23494,338412,神战：权力之眼
21404,246222,海洋奇缘
21302,338506,赏金猎人
20885,341655,反贪风暴2
19160,341603,陆垚知马俐
17962,247401,最后的巫师猎人
17959,246582,谁的青春不迷茫
17276,410612,驴得水
16711,247713,危城
16672,341120,七月与安生
16486,247736,比利·林恩的中场战事
16023,343761,神探夏洛克：可恶的新娘
15625,246231,夏有乔木 雅望天堂
14301,246430,圆梦巨人
13562,341502,追凶者也
13402,248911,但丁密码
12970,342795,高跟鞋先生
12911,343413,28岁未成年
12760,248881,睡在我上铺的兄弟
12530,342871,极限挑战之皇家宝藏
12188,338406,分歧者3：忠诚世界
11806,246373,佩小姐的奇幻城堡
11508,246261,罗曼蒂克消亡史
11413,248553,惊天破
11186,248876,九条命
10852,1188324,情圣
10715,344902,航海王之黄金城
10606,247184,猎神：冬日之战
10336,343930,哆啦A梦：新·大雄的日本诞生
10334,257720,超脑48小时
10305,336868,火影忍者剧场版：博人传
10156,341896,鲨滩
10040,79088,三少爷的剑
10028,246972,三人行
9373,246051,卧虎藏龙：青冥宝剑
9069,246047,云中行走
9001,672356,新大头儿子和小头爸爸2一日成才
8828,247790,魔宫魅影
8671,248260,百鸟朝凤
8092,343379,所以……和黑粉结婚了
8084,248967,梦想合伙人
7845,248909,惊天大逆转
7761,344961,逗鸟外传：萌宝满天飞
7263,247899,小门神
7256,248675,深海浩劫
7137,346299,捉迷藏
6640,337226,我们诞生在中国
6534,346478,神秘世界历险记3
6409,248835,消失爱人
6327,248828,女汉子真爱公式
6256,246380,鼠来宝4：萌在囧途
6146,343866,超级快递
6118,342003,萨利机长
6099,249003,侠探杰克：永不回头
6029,342427,外公芳龄38
6004,345830,他是龙
5465,338401,魔发精灵
5398,345075,过年好
