boxDesc,movieId,movieName
92,1302136,追梦险途
91,1250729,漫长的告别
91,1321157,封口者
90,1212608,站住！小偷
89,1203046,坂本龙一：终曲
89,79232,超能陆战队
87,1244277,白狮奇缘
85,1215767,极寒风暴
84,345161,风雨日昇昌
84,1263828,天池水怪
82,342858,一条狗的使命
80,1359764,扑蝶
77,1217236,悲伤逆流成河
77,1211698,碟仙
75,1290049,一日成交
73,1283507,半条被子
72,337705,初恋这首情歌
69,1217125,勇敢者游戏2：再战巅峰
68,1250610,乡村青年
68,1302288,妈妈不再摇滚
68,1355963,橙妹儿的时代
68,1216383,比悲伤更悲伤的故事
67,1214493,大傩·董春女
67,1301196,朝颜
67,1301108,碧血锦衣卫
66,1284821,坚守1200秒
66,893,十二生肖
65,1229534,银河补习班
65,1277644,两只老虎
62,1227754,无线信号
61,78403,狼图腾
59,49,大闹天宫
58,343473,龙牌之谜
58,1263312,爱情呼叫等待
57,1277982,决胜时刻
56,1353263,小破孩大状元
54,1296649,黄花塘往事
53,1263074,红星照耀中国
52,1243904,动物出击
51,1291961,迷失的心
50,1280654,活着唱着
49,1247400,致命复活
47,482971,以寡敌众
47,1211727,反贪风暴4
45,1302432,再见，陌生人
44,1336366,极限父子
43,1278147,古窑迷踪
41,1217041,南方车站的聚会
41,1339798,带你归家
41,1351740,神探罗蒙
40,1215605,速度与激情：特别行动
37,1370629,光语者
37,580298,新喜剧之王
