boxDesc,movieId,movieName
500340,1211270,哪吒之魔童降世
468111,248906,流浪地球
424899,248172,复仇者联盟4：终局之战
312333,1277939,我和我的祖国
290354,1230121,中国机长
221177,344869,疯狂的外星人
172623,1218091,飞驰人生
170317,1243361,烈火英雄
155607,1218029,少年的你
143424,1215605,速度与激情：特别行动
141740,1198925,蜘蛛侠：英雄远征
131135,1218141,扫毒2天地对决
114945,1206875,大黄蜂
109499,1250700,攀登者
103495,341139,惊奇队长
95774,1216383,比悲伤更悲伤的故事
93721,246061,哥斯拉2：怪兽之王
89677,410629,阿丽塔：战斗天使
87765,1229534,银河补习班
83372,1189879,狮子王
83177,1218273,误杀
82272,247949,冰雪奇缘2
79857,1211727,反贪风暴4
76350,1190122,叶问4：完结篇
71707,1243239,熊出没·原始时代
70181,1197417,使徒行者2：谍影行动
64058,346629,大侦探皮卡丘
62714,580298,新喜剧之王
48821,1212,千与千寻
47861,1206605,绿皮书
45494,1235560,白蛇：缘起
41719,1242431,最好的我们
40914,344328,X战警：黑凤凰
40468,360504,诛仙1
37986,1174518,“大”人物
37475,1218727,何以为家
36814,1207959,阿拉丁
36793,247295,驯龙高手3
36791,1240159,来电狂响
35540,1212492,老师·好
35528,247730,终结者：黑暗命运
34612,345419,沉睡魔咒2
32519,1239544,调音师
31500,359377,罗小黑战记
30906,1218215,追龙Ⅱ
30796,346559,黑衣人：全球追缉
29472,248123,雷霆沙赞！
29397,1163219,决战中途岛
28869,1250952,天气之子
28857,1217125,勇敢者游戏2：再战巅峰
28680,345808,死侍2：我爱我家
27882,1227611,小小的愿望
25491,342146,犯罪现场
23577,503342,双子杀手
23276,1238846,密室逃生
23198,1258394,名侦探柯南：绀青之拳
22743,1250662,大约在冬季
22380,1277644,两只老虎
21905,1250690,受益人
20493,1249366,航海王：狂热行动
20251,1217041,南方车站的聚会
20072,246264,玩具总动员4
19911,1258163,利刃出鞘
19679,1254277,一条狗的使命2
18108,1207237,沉默的证人
17387,344262,一吻定情
17349,1279731,宠爱
16353,1238837,天·火
16088,249342,海王
15422,1211345,爱宠大机密2
15377,1206836,神探蒲松龄
15136,1297995,只有芸知道
