,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
104,天生爱情狂 Don Juan DeMarco,喜剧 / 剧情 / 爱情,杰里米·莱文,约翰尼·德普 / 马龙·白兰度 / 费·唐纳薇,16904,8.1,美国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1710894798.jpg
105,欢迎来北方 Bienvenue chez les Ch'tis,喜剧,丹尼·伯恩,凯德·麦拉德 / 丹尼·伯恩 / 佐伊·费利克斯,27466,8.1,法国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2557468422.jpg
106,成为简·奥斯汀 Becoming Jane,传记 / 剧情 / 爱情,朱里安·杰拉德,安妮·海瑟薇 / 詹姆斯·麦卡沃伊 / 朱丽·沃特斯,218750,8.3,英国/爱尔兰,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1284506783.jpg
107,老枪 Le vieux fusil,剧情 / 惊悚 / 战争,罗贝尔·恩里科,菲利普·努瓦雷 / 罗密·施奈德 / 让·布伊兹,6814,8.2,法国/西德,20世纪70年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2219594603.jpg
108,成为约翰·马尔科维奇 Being John Malkovich,喜剧 / 剧情 / 奇幻 / 爱情,斯派克·琼斯,约翰·库萨克 / 卡梅隆·迪亚兹 / 凯瑟琳·基纳,54294,8.3,美国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1087658057.jpg
109,心动 心動,爱情,张艾嘉,金城武 / 梁咏琪 / 莫文蔚,76326,8.2,中国香港/日本,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p482116733.jpg
110,喋血街头 喋血街頭,剧情 / 动作 / 犯罪 / 惊悚,吴宇森,梁朝伟 / 张学友 / 李子雄,39918,8.2,中国香港,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1329107141.jpg
111,不夜城,剧情 / 爱情,李志毅,金城武 / 山本未来 / 椎名桔平,22546,8.2,中国香港/日本,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p643108501.jpg
112,童梦失魂夜 La cité des enfants perdus,科幻 / 奇幻,马克·卡罗 / 让-皮埃尔·热内,朗·普尔曼 / 丹尼尔·埃米尔福克 / 嘉蒂斯·维泰特,8928,7.9,法国/德国/西班牙/比利时/美国,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p660534785.jpg
113,天才一族 The Royal Tenenbaums,剧情 / 喜剧 / 家庭,韦斯·安德森,吉恩·哈克曼 / 安杰丽卡·休斯顿 / 本·斯蒂勒,36883,8.1,美国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p456224494.jpg
114,红色沙漠 Il deserto rosso,剧情,米开朗基罗·安东尼奥尼,莫尼卡·维蒂 / 理查德·哈里斯 / Carlo Chionetti,14324,8.0,意大利/法国,20世纪60年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2248487533.jpg
115,野战排 Platoon,动作 / 剧情 / 战争,奥利佛·斯通,威廉·达福 / 查理·辛 / 汤姆·贝伦杰,37082,8.2,美国/英国,20世纪80年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1596877271.jpg
116,男孩A Boy A,剧情 / 犯罪,约翰·克劳利,安德鲁·加菲尔德 / 彼得·穆兰 / 希欧布罕·芬内朗,23769,8.2,英国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p574349406.jpg
117,夺魂索 Rope,犯罪 / 悬疑 / 惊悚,阿尔弗雷德·希区柯克,约翰·道尔 / 法利·格兰杰 / 詹姆斯·斯图尔特,39842,8.1,美国,20世纪40年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2154845412.jpg
118,东京奏鸣曲 トウキョウソナタ,剧情,黑泽清,香川照之 / 小泉今日子 / 井之胁海,19621,8.1,日本/荷兰/中国香港,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1287238832.jpg
119,卡蜜儿·克劳岱尔 Camille Claudel,传记 / 剧情 / 历史 / 爱情,布鲁诺·努坦,伊莎贝尔·阿佳妮 / 热拉尔·德帕迪约 / 玛德琳尼·罗宾森,25261,8.2,法国,20世纪80年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2388254938.jpg
120,对话尼克松 Frost/Nixon,剧情 / 传记 / 历史,朗·霍华德,弗兰克·兰格拉 / 麦克·辛 / 山姆·洛克威尔,15113,8.0,美国/英国/法国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1375467209.jpg
121,几近成名 Almost Famous,剧情 / 音乐,卡梅伦·克罗,比利·克鲁德普 / 弗兰西斯·麦克多蒙德 / 凯特·哈德森,26103,8.0,美国,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2453284980.jpg
122,红色小提琴 Le violon rouge,剧情 / 爱情 / 悬疑 / 音乐,弗朗索瓦·吉拉德,卡洛·切基 / 让-吕克·比多 / 张艾嘉,15350,8.2,加拿大/意大利/英国,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1486350295.jpg
