,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
248,色，戒,剧情 / 爱情 / 情色,李安,梁朝伟 / 汤唯 / 陈冲,573086,8.5,中国台湾/中国大陆/美国/中国香港,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg
249,我亲爱的甜橙树 Meu Pé de Laranja Lima,剧情,马科斯·伯恩斯坦,João Guilherme de Ávila / José de Abreu / Fernanda Vianna,5375,8.4,巴西,21世纪10年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2010287500.jpg
250,无依之地 Nomadland,剧情,赵婷,弗兰西斯·麦克多蒙德 / 大卫·斯特雷泽恩 / 德里克·贾尼斯,112006,8.3,美国/德国,21世纪20年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2630453887.jpg
251,极地重生 So weit die Füße tragen,剧情 / 战争,哈迪·马汀斯,伯恩哈德·贝特曼,8045,8.3,德国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1004180093.jpg
252,波斯语课 Persischstunden,剧情,瓦迪姆·佩尔曼,纳威尔·佩雷兹·毕斯卡亚特 / 拉斯·艾丁格 / 约纳斯·奈伊,166307,8.2,俄罗斯/德国/白俄罗斯,21世纪20年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2637021404.jpg
253,风声,犯罪 / 剧情 / 惊悚 / 战争,陈国富 / 高群书,周迅 / 李冰冰 / 张涵予,476877,8.3,中国大陆,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1599059779.jpg
254,"四月三周两天 4 luni, 3 săptămâni și 2 zile",剧情,克里斯蒂安·蒙吉,安娜玛丽亚·玛琳卡 / 劳拉·瓦西里 / 弗拉德·伊凡诺夫,30799,8.3,罗马尼亚,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2445800653.jpg
255,菲洛梅娜 Philomena,剧情 / 传记 / 同性 / 家庭,斯蒂芬·弗雷斯,朱迪·丹奇 / 史蒂夫·库根 / 苏菲·肯尼迪·克拉克,24106,8.4,英国/美国/法国,21世纪10年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2119792764.jpg
256,面纱 The Painted Veil,剧情 / 爱情,约翰·卡兰,爱德华·诺顿 / 娜奥米·沃茨 / 托比·琼斯,140014,8.3,美国/中国大陆/加拿大,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2562672848.jpg
257,亲爱的同志 Дорогие товарищи,剧情 / 历史,安德烈·康查洛夫斯基,朱莉娅·维斯托斯卡亚 / 弗拉迪斯拉夫·科马罗夫 / Andrey Gusev,16810,8.5,俄罗斯,21世纪20年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2630627669.jpg
258,孝子贤孙伺候着,喜剧,陈佩斯 / 曾剑锋,陈佩斯 / 赵丽蓉 / 丁嘉丽,10935,8.5,中国大陆,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2376859119.jpg
259,抓壮丁,喜剧,陈戈 / 沈剡,吴雪 / 陈戈 / 尹文媛,2199,8.5,中国大陆,20世纪60年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2582157018.jpg
