,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
497,杀手没有假期 In Bruges,剧情 / 喜剧 / 犯罪,马丁·麦克唐纳,科林·法瑞尔 / 布莱丹·格里森 / 克蕾曼丝·波西,121258,8.1,英国/美国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173386253.jpg
498,葬礼上的死亡 Death at a Funeral,喜剧,弗兰克·奥兹,马修·麦克费登 / 凯莉·霍威 / 安迪·尼曼,68330,8.1,英国/美国/德国/荷兰,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501057857.jpg
499,X战警：第一战 X-Men: First Class,动作 / 剧情 / 科幻,马修·沃恩,詹姆斯·麦卡沃伊 / 迈克尔·法斯宾德 / 凯文·贝肯,302778,8.2,美国/英国,21世纪10年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p956878707.jpg
500,姐姐的守护者 My Sister's Keeper,剧情 / 家庭,尼克·卡萨维蒂,卡梅隆·迪亚兹 / 阿比盖尔·布雷斯林 / 苏菲亚·威希涅瓦,56045,8.2,美国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p650019299.jpg
501,木兰花 Magnolia,剧情,保罗·托马斯·安德森,朱丽安·摩尔 / 威廉姆·H·梅西 / 约翰·C·赖利,26023,8.2,美国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2189098969.jpg
502,破浪 Breaking the Waves,剧情 / 爱情,拉斯·冯·提尔,艾米丽·沃森 / 斯特兰·斯卡斯加德 / 凯特琳·卡特利吉,13865,8.1,丹麦/瑞典/法国/荷兰/挪威/冰岛/西班牙/英国,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p762255833.jpg
503,离魂异客 Dead Man,剧情 / 西部 / 奇幻 / 冒险,吉姆·贾木许,约翰尼·德普 / 加利·法梅尔 / 克里斯平·格洛弗,18272,8.1,美国/德国/日本,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2155134187.jpg
504,魂断威尼斯 Morte a Venezia,剧情 / 同性,卢基诺·维斯康蒂,德克·博加德 / 罗慕洛·瓦利 / 马克·伯恩斯,22086,8.2,意大利/法国,20世纪70年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2003694039.jpg
505,阿黛尔·雨果的故事 L'histoire d'Adèle H.,传记 / 剧情 / 历史,弗朗索瓦·特吕弗,伊莎贝尔·阿佳妮 / 布鲁斯·罗宾逊 / Sylvia Marriott,16146,8.0,法国,20世纪70年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1483320569.jpg
506,罗拉快跑 Lola rennt,动作 / 犯罪 / 惊悚,汤姆·提克威,弗朗卡·波滕特 / 莫里兹·布雷多 / 赫伯特·克瑙普,206504,8.1,德国,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2574867081.jpg
507,巴顿·芬克 Barton Fink,剧情 / 喜剧 / 惊悚,乔尔·科恩 / 伊桑·科恩,约翰·特托罗 / 约翰·古德曼 / 朱迪·戴维斯,29288,8.1,美国/英国,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1058380546.jpg
508,情定日落桥 A Little Romance,喜剧 / 爱情,乔治·罗伊·希尔,戴安·琳恩 / 劳伦斯·奥利弗 / 特罗尼亚斯·伯纳德,8099,8.2,法国/美国,20世纪70年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1126290487.jpg
509,茶之味 茶の味,喜剧 / 剧情,石井克人,浅野忠信 / 坂野真弥 / 佐藤贵广,5799,8.2,日本,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661324770.jpg
510,小小的白色谎言 Les petits mouchoirs,喜剧 / 剧情,吉约姆·卡内,玛丽昂·歌迪亚 / 伯努瓦·马吉梅尔 / 弗朗索瓦·克鲁塞,14783,8.2,法国,21世纪10年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p693375939.jpg
511,听说 聽說,剧情 / 爱情,郑芬芬,彭于晏 / 陈意涵 / 陈妍希,356029,8.1,中国台湾,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2250788664.jpg
512,纯真年代 The Age of Innocence,剧情 / 爱情,马丁·斯科塞斯,丹尼尔·戴-刘易斯 / 米歇尔·菲佛 / 薇诺娜·瑞德,48030,8.2,美国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2217023868.jpg
513,非常公寓 L'appartement,剧情 / 悬疑 / 爱情,吉勒斯·米莫尼,罗曼娜·波琳热 / 文森特·卡索 / 让-菲利普·艾科菲,19230,8.2,法国/西班牙/意大利,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p581851559.jpg
514,去年在马里昂巴德 L'année dernière à Marienbad,剧情 / 爱情 / 悬疑,阿伦·雷乃,德菲因·塞里格 / 乔治·阿尔贝塔齐 / 萨夏·皮托埃夫,16004,8.2,法国/意大利,20世纪60年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2186651056.jpg
515,小鬼当街 Baby's Day Out,喜剧 / 冒险,帕特里克·里德·约翰逊,亚当·罗伯特·沃顿 / 雅各布·约瑟夫·沃顿 / 乔·曼特纳,44127,8.2,美国,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2539524010.jpg
516,第三人 The Third Man,黑色电影 / 悬疑 / 惊悚,卡罗尔·里德,约瑟夫·科顿 / 阿莉达·瓦利 / 奥逊·威尔斯,17775,8.2,英国,20世纪40年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2193745066.jpg
517,不准掉头 U Turn,犯罪 / 剧情 / 惊悚,奥利佛·斯通,西恩·潘 / 尼克·诺特 / 詹妮弗·洛佩兹,12727,8.0,法国/美国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p462535118.jpg
518,死亡实验 Das Experiment,剧情 / 惊悚,奥利弗·希施比格尔,莫里兹·布雷多 / 克里斯蒂安·贝克尔 / 奥列佛·斯托科斯基,27633,8.0,德国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2212665365.jpg
519,为黛西小姐开车 Driving Miss Daisy,喜剧 / 剧情,布鲁斯·贝尔斯福德,摩根·弗里曼 / 杰西卡·坦迪 / 丹·艾克罗伊德,28785,8.2,美国,20世纪80年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p861513408.jpg
520,龙纹身的女孩 The Girl with the Dragon Tattoo,剧情 / 犯罪 / 悬疑 / 惊悚,大卫·芬奇,丹尼尔·克雷格 / 鲁妮·玛拉 / 克里斯托弗·普卢默,205600,8.0,美国/瑞典/挪威,21世纪10年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1473779689.jpg
521,复仇者联盟 The Avengers,动作 / 科幻 / 奇幻 / 冒险,乔斯·韦登,小罗伯特·唐尼 / 克里斯·埃文斯 / 斯嘉丽·约翰逊,580782,8.2,美国,21世纪10年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1469137689.jpg
522,花魁 さくらん,剧情 / 历史,蜷川实花,土屋安娜 / 木村佳乃 / 安藤政信,74221,8.1,日本,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p656858958.jpg
523,万世魔星 Life of Brian,喜剧,特瑞·琼斯,格雷厄姆·查普曼 / 约翰·克里斯 / 特瑞·吉列姆,9282,8.0,英国,20世纪70年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1425774362.jpg
524,睁开你的双眼 Abre los ojos,剧情 / 爱情 / 科幻 / 悬疑 / 惊悚,亚历杭德罗·阿梅纳瓦尔,爱德华多·诺列加 / 佩内洛普·克鲁兹 / 费雷·马丁内兹,15083,8.0,西班牙/法国/意大利,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p828428718.jpg
525,爱疯狂 C.R.A.Z.Y.,喜剧 / 同性 / 家庭,让-马克·瓦雷,米歇尔·寇特 / 马克-安德烈·格隆丁 / 丹妮尔·普罗克斯,5960,8.0,加拿大,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p490646072.jpg
526,人咬狗 C'est arrivé près de chez vous,喜剧 / 犯罪 / 剧情 / 惊悚,Rémy Belvaux / André Bonzel / 伯努瓦·波尔沃德,伯努瓦·波尔沃德 / Jacqueline Poelvoorde-Pappaert / Jenny Drye,6772,8.0,比利时,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2204694302.jpg
527,变形金刚 Transformers,动作 / 科幻,迈克尔·贝,希亚·拉博夫 / 梅根·福克斯 / 乔什·杜哈明,406435,8.3,美国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1188042816.jpg
528,疯狂店员 Clerks,喜剧,凯文·史密斯,布莱恩·奥哈罗兰 / 杰夫·安德森 / 玛丽琳·吉格洛尔蒂,20101,8.1,美国,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1203262182.jpg
529,没有我的日子 My Life Without Me,剧情 / 爱情,伊莎贝尔·科赛特,萨拉·波莉 / 阿曼达·普拉莫 / 马克·鲁弗洛,4988,8.0,加拿大/西班牙,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p563068558.jpg
530,穿越美国 Transamerica,剧情 / 喜剧 / 冒险,邓肯·塔克,菲丽西提·霍夫曼 / 凯文·席格斯 / 丹尼·伯斯坦,11145,8.2,美国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2342279728.jpg
531,"养子十五岁 Patrik 1,5",剧情 / 喜剧 / 同性,埃拉·列姆哈根,古斯塔·斯卡斯加德 / 托克尔·彼特森 / 汤姆·柳恩格曼,16030,8.1,瑞典,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2365512421.jpg
532,幸福的黄手帕 幸福の黄色いハンカチ,喜剧 / 剧情,山田洋次,高仓健 / 倍赏千惠子 / 桃井薰,11321,8.2,日本,20世纪70年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1864688186.jpg
533,和莎莫的500天 (500) Days of Summer,剧情 / 喜剧 / 爱情,马克·韦布,约瑟夫·高登-莱维特 / 佐伊·丹斯切尔 / 吉奥弗瑞·阿伦德,401103,8.0,美国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p455251312.jpg
534,第九区 District 9,动作 / 剧情 / 科幻 / 惊悚,尼尔·布洛姆坎普,沙尔托·科普雷 / 詹森·库伯 / 娜塔莉·博尔特,378452,8.3,美国/新西兰/加拿大/南非,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1086352249.jpg
535,成事在人 Invictus,传记 / 剧情 / 历史 / 运动,克林特·伊斯特伍德,摩根·弗里曼 / 马特·达蒙 / 托尼·戈罗奇,40669,8.2,美国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1054037032.jpg
536,珍爱 Precious,剧情,李·丹尼尔斯,加布蕾·丝迪贝 / 莫妮克 / 宝拉·巴顿,34356,8.1,美国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p558068336.jpg
537,囚室211 Celda 211,动作 / 剧情,丹尼尔·蒙宗,路易斯·托萨尔 / 阿尔维托·阿曼 / 安东尼奥·雷西内斯,38064,8.0,西班牙/法国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1622684528.jpg
538,爸...你好吗？ 爸... 你好嗎？,剧情,张作骥,高捷 / 纪培慧 / 张捷,7584,8.2,中国台湾,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p459565569.jpg
539,尽情游戏 Micmacs à tire-larigot,喜剧 / 犯罪,让-皮埃尔·热内,丹尼·伯恩 / 安德烈·杜索里埃 / 多米尼克·皮侬,28101,8.0,法国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p471709282.jpg
540,无姓之人 Mr. Nobody,剧情 / 爱情 / 科幻 / 奇幻,雅克·范·多梅尔,杰瑞德·莱托 / 萨拉·波莉 / 黛安·克鲁格,101866,8.2,加拿大/比利时/法国/德国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2133687605.jpg
541,蕾蒙娜和姐姐 Ramona and Beezus,喜剧 / 家庭,伊丽莎白·艾伦,乔伊·金 / 赛琳娜·戈麦斯 / 约翰·考伯特,20920,8.0,美国,21世纪10年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p544485781.jpg
542,127小时 127 Hours,剧情 / 传记 / 冒险,丹尼·博伊尔,詹姆斯·弗兰科 / 丽兹·卡潘 / 凯特·玛拉,121012,8.1,美国/英国,21世纪10年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p839469694.jpg
543,弟弟 おとうと,剧情,山田洋次,苍井优 / 加濑亮 / 石田百合子,10012,8.1,日本,21世纪10年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p544551472.jpg
544,社交网络 The Social Network,剧情 / 传记,大卫·芬奇,杰西·艾森伯格 / 安德鲁·加菲尔德 / 贾斯汀·汀布莱克,396065,8.2,美国,21世纪10年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2553756806.jpg
545,甜言蜜语 甜言蜜語,爱情,赵崇基,古天乐 / 蒙嘉慧 / 黄浩然,8811,8.2,中国香港,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1327882479.jpg
546,心灵驿站 The Station Agent,喜剧 / 剧情,汤姆·麦卡锡,彼特·丁拉基 / 乔什·帕斯 / 保罗·本杰明,6754,8.0,美国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p831480464.jpg
547,性爱宝典 Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,喜剧 / 情色,伍迪·艾伦,伍迪·艾伦 / 约翰·卡拉丁 / 托尼·霍尔特,17292,8.0,美国,20世纪70年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2506003739.jpg
548,罗塞塔 Rosetta,剧情,让-皮埃尔·达内 / 吕克·达内,艾米莉·德奎恩 / 法布里齐奥·隆吉奥内 / 安妮·耶和诺,11238,8.2,法国/比利时,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187719666.jpg
549,弹簧折刀 Sling Blade,剧情,比利·鲍伯·松顿,比利·鲍伯·松顿 / 卢卡斯·布莱克 / 约翰·瑞特,6848,8.1,美国,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2320535786.jpg
550,爱你长久 Il y a longtemps que je t'aime,剧情 / 悬疑,菲利浦·克洛代尔,克里斯汀·斯科特·托马斯 / 艾尔莎·泽贝斯坦 / 塞尔奇·哈赛纳维奇,14890,8.2,法国/德国,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p459545990.jpg
551,我们的幸福时光 우리들의 행복한 시간,爱情,宋海星,李奈映 / 姜栋元 / 姜信日,25460,8.1,韩国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p472182473.jpg
552,西北偏北 North by Northwest,悬疑 / 惊悚 / 冒险,阿尔弗雷德·希区柯克,加里·格兰特 / 爱娃·玛丽·森特 / 詹姆斯·梅森,81316,8.3,美国,20世纪50年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1769720671.jpg
553,黑店狂想曲 Delicatessen,喜剧 / 奇幻,马克·卡罗 / 让-皮埃尔·热内,帕斯卡尔·贝内泽 / 多米尼克·皮侬 / 玛丽-洛尔·杜尼亚克,42588,8.0,法国,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1969387376.jpg
554,欢迎来到东莫村 웰컴 투 동막골,喜剧 / 剧情 / 战争,朴光铉,申河均 / 郑在咏 / 姜惠贞,54105,8.2,韩国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1171939157.jpg
555,华尔街 Wall Street,犯罪 / 剧情,奥利佛·斯通,查理·辛 / 迈克尔·道格拉斯 / 达丽尔·汉纳,49296,8.2,美国,20世纪80年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2215746342.jpg
556,如月疑云 キサラギ,喜剧 / 悬疑,佐藤祐市,小栗旬 / 中山裕介 / 小出惠介,47958,8.1,日本,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p655393674.jpg
557,处刑人 The Boondock Saints,动作 / 犯罪 / 剧情 / 惊悚,特洛伊·达菲,威廉·达福 / 肖恩·派特里克·弗兰纳里 / 诺曼·瑞杜斯,42953,8.2,美国/加拿大,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p921876170.jpg
558,香料共和国 Πολίτικη κουζίνα,剧情 / 喜剧,Tassos Boulmetis,Georges Corraface / Ieroklis Michaelidis / Renia Louizidou,4678,8.1,希腊/土耳其,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2134761381.jpg
559,新桥恋人 Les amants du Pont-Neuf,剧情 / 爱情,莱奥·卡拉克斯,朱丽叶·比诺什 / 德尼·拉旺,39974,8.1,法国,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p581792602.jpg
560,叶塞尼亚 Yesenia,剧情 / 爱情,阿尔弗雷多·克雷维纳,杰奎琳·安德瑞 / 乔治·拉瓦特 / 艾尔玛·洛扎诺,6834,8.2,墨西哥,20世纪70年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560631154.jpg
561,偷龙转凤 How to Steal a Million,喜剧 / 犯罪 / 爱情,威廉·惠勒,奥黛丽·赫本 / 彼得·奥图尔 / 埃里·瓦拉赫,9732,8.1,美国,20世纪60年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1077594334.jpg
562,惊曝内幕 The Insider,传记 / 剧情 / 惊悚,迈克尔·曼,阿尔·帕西诺 / 罗素·克劳 / 克里斯托弗·普卢默,21123,8.2,美国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p827331728.jpg
563,深渊 The Abyss,剧情 / 科幻 / 惊悚 / 冒险,詹姆斯·卡梅隆,艾德·哈里斯 / 玛丽·伊丽莎白·马斯特兰托尼奥 / 迈克尔·比恩,32098,8.0,美国,20世纪80年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209378207.jpg
564,天生爱情狂 Don Juan DeMarco,喜剧 / 剧情 / 爱情,杰里米·莱文,约翰尼·德普 / 马龙·白兰度 / 费·唐纳薇,16904,8.1,美国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1710894798.jpg
565,欢迎来北方 Bienvenue chez les Ch'tis,喜剧,丹尼·伯恩,凯德·麦拉德 / 丹尼·伯恩 / 佐伊·费利克斯,27466,8.1,法国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2557468422.jpg
566,成为简·奥斯汀 Becoming Jane,传记 / 剧情 / 爱情,朱里安·杰拉德,安妮·海瑟薇 / 詹姆斯·麦卡沃伊 / 朱丽·沃特斯,218750,8.3,英国/爱尔兰,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1284506783.jpg
567,老枪 Le vieux fusil,剧情 / 惊悚 / 战争,罗贝尔·恩里科,菲利普·努瓦雷 / 罗密·施奈德 / 让·布伊兹,6814,8.2,法国/西德,20世纪70年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2219594603.jpg
568,成为约翰·马尔科维奇 Being John Malkovich,喜剧 / 剧情 / 奇幻 / 爱情,斯派克·琼斯,约翰·库萨克 / 卡梅隆·迪亚兹 / 凯瑟琳·基纳,54294,8.3,美国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1087658057.jpg
569,心动 心動,爱情,张艾嘉,金城武 / 梁咏琪 / 莫文蔚,76326,8.2,中国香港/日本,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p482116733.jpg
570,喋血街头 喋血街頭,剧情 / 动作 / 犯罪 / 惊悚,吴宇森,梁朝伟 / 张学友 / 李子雄,39918,8.2,中国香港,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1329107141.jpg
571,不夜城,剧情 / 爱情,李志毅,金城武 / 山本未来 / 椎名桔平,22546,8.2,中国香港/日本,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p643108501.jpg
572,童梦失魂夜 La cité des enfants perdus,科幻 / 奇幻,马克·卡罗 / 让-皮埃尔·热内,朗·普尔曼 / 丹尼尔·埃米尔福克 / 嘉蒂斯·维泰特,8928,7.9,法国/德国/西班牙/比利时/美国,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p660534785.jpg
